date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,ADANIENT,,,437.2,454,433,451.6,285126,127945906.05
2010-01-05,ADANIENT,,,453,463.95,453,462.05,349511,160899988.4
2010-01-06,ADANIENT,,,463,517,460,507.65,1122953,556440771.45
2010-01-07,ADANIENT,,,519.4,519.4,483,486.7,729468,365023035.3
2010-01-08,ADANIENT,,,489.8,508,482.2,492.85,509498,253558010.9
2010-01-11,ADANIENT,,,494,506.95,494,501.65,183421,92155908.05
2010-01-12,ADANIENT,,,504.5,512,461.65,468.65,578227,286883213.5
2010-01-13,ADANIENT,,,474.9,478.9,458,463.4,728048,339145239.5
2010-01-14,ADANIENT,,,469.7,487,467.1,482.5,482105,232988217.25
2010-01-15,ADANIENT,,,485,487.4,472.65,482.4,208602,100204082.5
2010-01-18,ADANIENT,,,476.15,482.4,474.2,476.65,563744,269359621.75
2010-01-19,ADANIENT,,,479.85,487.95,470,474.75,82478,39420639.3
2010-01-20,ADANIENT,,,480,482.75,471.05,478.15,113360,53918289.05
2010-01-21,ADANIENT,,,470,479.8,465,467.65,82925,38910392.65
2010-01-22,ADANIENT,,,463,472,445,463.55,94469,43322972
2010-01-25,ADANIENT,,,455,462,446.25,454.3,769461,348622760.15
2010-01-27,ADANIENT,,,456,458.85,432.6,445.1,481788,214935301.9
2010-01-28,ADANIENT,,,445.1,453,441,444.85,400075,177993734.3
2010-01-29,ADANIENT,,,437,446,430.1,443.25,120703,53469405.9
2010-02-01,ADANIENT,,,437,463.9,437,457.75,109156,49638961.95
2010-02-02,ADANIENT,,,462,479.9,454.1,466.85,467237,218412822.1
2010-02-03,ADANIENT,,,470,488,467.05,486.55,207410,99798215.1
2010-02-04,ADANIENT,,,480,484.2,473,478.5,101076,48437328.65
2010-02-05,ADANIENT,,,460,472,442,466.9,175861,82074841.7
2010-02-08,ADANIENT,,,460,480,460,472.05,600302,281813964.95
2010-02-09,ADANIENT,,,472.05,484.5,467.55,478.75,601822,289509655.9
2010-02-10,ADANIENT,,,470,485.9,470,481.1,57191,27504747.15
2010-02-11,ADANIENT,,,477,493,477,485.7,357663,173646931.15
2010-02-15,ADANIENT,,,490,496,486,489.25,168811,82648150.5
2010-02-16,ADANIENT,,,495,500.85,491.05,497.7,129018,64025613.5
2010-02-17,ADANIENT,,,510.1,525.9,502.4,518.65,748471,385176406.9
2010-02-18,ADANIENT,,,518.4,518.4,496.05,503.9,245760,124671547.25
2010-02-19,ADANIENT,,,491,504.4,480,494.5,231152,114589367.8
2010-02-22,ADANIENT,,,501,502,485.05,491.95,253894,124726405.5
2010-02-23,ADANIENT,,,491.95,497.4,487.15,491.25,148058,72749281.75
2010-02-24,ADANIENT,,,488,492.05,485,490.8,137367,67449134.3
2010-02-25,ADANIENT,,,480,492.9,480,486.4,273827,133588366.25
2010-02-26,ADANIENT,,,487,495.7,480.15,486.6,455452,221590501.4
2010-03-02,ADANIENT,,,490,490,418.5,485.6,572930,276559923.1
2010-03-03,ADANIENT,,,486,501.4,486,495.3,426944,211590990.6
2010-03-04,ADANIENT,,,497,509.9,488.4,494.4,405879,203341040
2010-03-05,ADANIENT,,,495,506.65,493.25,503.9,193989,97449716.6
2010-03-08,ADANIENT,,,508,509.9,502,505.6,181276,91778606.75
2010-03-09,ADANIENT,,,505.3,506.8,499.1,504.75,72742,36643521.5
2010-03-10,ADANIENT,,,505,505,482,486.25,135787,66946857.9
2010-03-11,ADANIENT,,,452.25,484.95,452.25,474.6,167827,79973642.35
2010-03-12,ADANIENT,,,477,487.7,475,479.95,95945,46122898.5
2010-03-15,ADANIENT,,,481,484,474.1,480.2,69449,33362579.85
2010-03-16,ADANIENT,,,484.45,490,480,487,92962,45214339.65
2010-03-17,ADANIENT,,,493.8,493.8,479,481.65,328831,158537986.4
2010-03-18,ADANIENT,,,497.9,497.9,475,480,104272,50101363.3
2010-03-19,ADANIENT,,,470,482.75,470,480.1,140904,67362948
2010-03-22,ADANIENT,,,479,479,463.05,465.7,287443,134284374.2
2010-03-23,ADANIENT,,,467,472.5,456.15,464.7,89324,41702210.65
2010-03-25,ADANIENT,,,457.25,475,457,470.4,141002,66140587.15
2010-03-26,ADANIENT,,,465,477.5,465,473.75,77016,36496818.85
2010-03-29,ADANIENT,,,474.05,485,467.15,471.5,290199,136956170.5
2010-03-30,ADANIENT,,,478,488,468,473.95,321786,153743816.95
2010-03-31,ADANIENT,,,462.1,482,462.1,469.7,195397,92740897.35
2010-04-01,ADANIENT,,,472,481.4,472,479.15,207637,99228258.3
2010-04-05,ADANIENT,,,484,488.9,478.05,486.75,280418,136031745.25
