exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2010-03-23,2010-03-25,rights,1,16,,,,Rights 1:16 @Prem Rs.474
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2010-08-12,,dividend,,,1,,,Annual General Meeting And Dividend Re.1/- Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2011-08-03,,dividend,,,1,,,Dividend-Re.1/- Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2012-08-02,,dividend,,,1,,,Annual General Meeting And Dividend Re.1/- Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2013-07-30,,dividend,,,1.4,,,Annual General Meeting And Dividend Rs.1.40 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2014-07-31,,dividend,,,1.4,,,Annual General Meeting/Dividend Rs 1.40/- Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2015-06-03,2015-06-04,other,,,,,,Scheme Of Arrangement
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2015-07-31,,dividend,,,1.4,,,Annual General Meeting/ Dividend - Rs 1.40/- Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2016-03-22,2016-03-23,dividend,,,0.4,,,Interim Dividend - Re 0.40/- Per Share (Purpose Revised)
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2016-08-01,,agm,,,,,,Annual General Meeting
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2017-07-31,,dividend,,,0.4,,,Annual General Meeting/Dividend - Re 0.40 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2018-04-05,2018-04-06,other,,,,,,Scheme Of Arrangement
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2018-07-27,,dividend,,,0.4,,,Annual General Meeting/Dividend Re 0.40 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2018-09-06,2018-09-07,other,,,,,,Scheme Of Arrangement
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2019-07-29,,dividend,,,0.4,,,Annual General Meeting/Dividend - Rs 0.40 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2020-03-23,2020-03-25,dividend,,,1,,,Interim Dividend - Re 1 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2020-06-17,,agm,,,,,,Annual General Meeting
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2021-07-01,2021-07-02,dividend,,,1,,,Dividend - Re 1 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2022-07-14,2022-07-15,dividend,,,1,,,Dividend - Re 1 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2023-07-07,2023-07-07,dividend,,,1.2,,,Dividend - Rs 1.20 Per Share
BSE,ADANIENT,INE423A01024,Adani Enterprises Ltd,2024-06-14,2024-06-14,dividend,,,1.3,,,Final Dividend - Rs. - 1.3000
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2024-06-14,2024-06-14,dividend,,,1.3,,,Dividend - Rs 1.30 Per Share
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2025-06-13,2025-06-13,dividend,,,1.3,,,Dividend - Rs 1.30 Per Share
BSE,ADANIENT,INE423A01024,Adani Enterprises Ltd,2025-06-13,2025-06-13,dividend,,,1.3,,,Final Dividend - Rs. - 1.3000
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2025-11-17,2025-11-17,rights,3,25,,,,Rights 3:25 @ Premium Rs 1799/-
BSE,ADANIENT,INE423A01024,Adani Enterprises Ltd,2025-11-17,2025-11-17,rights,,,,,,Right Issue of Equity Shares
NSE,ADANIENT,INE423A01024,Adani Enterprises Limited,2026-06-12,2026-06-12,dividend,,,1.3,,,Dividend - Rs 1.30 Per Share
BSE,ADANIENT,INE423A01024,Adani Enterprises Ltd,2026-06-12,2026-06-12,dividend,,,1.3,,,Final Dividend - Rs. - 1.3000
