date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,AXISBANK,,,993.9,999.95,988.1,992.1,874302,868766920.7
2010-01-05,AXISBANK,,,998,1020,995.7,1012.8,1525876,1544129676.05
2010-01-06,AXISBANK,,,1020,1028.7,992.55,995.8,1190717,1193675134
2010-01-07,AXISBANK,,,996.45,1006,989.1,1002.85,992905,992354131.25
2010-01-08,AXISBANK,,,1003,1019.9,996.35,1015.95,1586285,1603177642.45
2010-01-11,AXISBANK,,,1019,1053,1015.1,1049.4,2019301,2098023096.25
2010-01-12,AXISBANK,,,1048,1075,1031,1049.3,2870381,3022191032.9
2010-01-13,AXISBANK,,,1041.5,1048.85,1026.55,1040.3,2100740,2177056179.4
2010-01-14,AXISBANK,,,1044.8,1079,1041.9,1066.1,2149282,2291459507.85
2010-01-15,AXISBANK,,,1080,1093.4,1065.2,1077.8,3272539,3530331347.5
2010-01-18,AXISBANK,,,1070,1113,1060.7,1107.65,2006720,2197314623.95
2010-01-19,AXISBANK,,,1177.7,1177.7,1093.1,1105.75,1613897,1780437524.15
2010-01-20,AXISBANK,,,1107,1118.85,1080.2,1083.75,1316969,1437660868.35
2010-01-21,AXISBANK,,,1085,1091,1050,1061.25,1462619,1554411146.95
2010-01-22,AXISBANK,,,1045,1057.9,1025,1031.65,1455147,1511814085.05
2010-01-25,AXISBANK,,,1026,1029.65,1005.15,1018.7,1048612,1065018154.95
2010-01-27,AXISBANK,,,1003.1,1009.65,965.15,972.75,2425515,2381625319.15
2010-01-28,AXISBANK,,,978,1030,978,1018.8,2869552,2883198388
2010-01-29,AXISBANK,,,1009.95,1045,988.2,1025.7,3078497,3132570087.3
2010-02-01,AXISBANK,,,1026,1072,1005,1062.55,2136090,2232729930.45
2010-02-02,AXISBANK,,,1065.2,1082,1030.25,1037.3,1776677,1859963583.35
2010-02-03,AXISBANK,,,1045.55,1077,1024.05,1071,2652143,2815719227.55
2010-02-04,AXISBANK,,,1059.9,1068.95,1045,1048.45,1317167,1393133558.4
2010-02-05,AXISBANK,,,1033.7,1038,995.1,1025.7,2442482,2472884434.25
2010-02-08,AXISBANK,,,1025,1041.7,1001,1022.7,1485293,1519219554
2010-02-09,AXISBANK,,,1025,1057,1013.2,1038.55,1845165,1916220464.65
2010-02-10,AXISBANK,,,1044,1045.5,1020.1,1024.65,1657271,1711708416.6
2010-02-11,AXISBANK,,,1030,1044.9,1028.4,1033.2,815759,845825679.8
2010-02-15,AXISBANK,,,1033,1044.5,1010,1028.85,909866,938499662.25
2010-02-16,AXISBANK,,,1032,1041.7,1018.35,1026.15,1327251,1359934186.3
2010-02-17,AXISBANK,,,1034,1073.85,1032,1067.3,2273282,2406245764
2010-02-18,AXISBANK,,,1067,1116.3,1065.55,1098.5,4971386,5447535668.65
2010-02-19,AXISBANK,,,1072,1102.25,1071,1094.5,2771256,3013487986.65
2010-02-22,AXISBANK,,,1103.5,1115,1081.25,1107.45,1743098,1927394598
2010-02-23,AXISBANK,,,1100,1129.8,1088.7,1098.15,2249941,2513008476.15
2010-02-24,AXISBANK,,,1095,1110.95,1065.05,1093.8,1720318,1874874724.5
2010-02-25,AXISBANK,,,1096.1,1102.95,1081.55,1096.25,1547763,1692701893.2
2010-02-26,AXISBANK,,,1104,1137,1085,1124.5,1623356,1815690766.95
2010-03-02,AXISBANK,,,1131,1175,1130,1155,2992706,3467892918.85
2010-03-03,AXISBANK,,,1164,1174.95,1140.8,1148.9,2273136,2630040406.9
2010-03-04,AXISBANK,,,1150,1152.45,1112.5,1121.65,2223723,2501603042.15
2010-03-05,AXISBANK,,,1125,1139.5,1100.4,1103.35,2632950,2932282097.8
2010-03-08,AXISBANK,,,1144.25,1144.25,1107.1,1129.3,3179385,3557803378.75
2010-03-09,AXISBANK,,,1045,1133.4,1045,1117.65,904991,1010945987.6
2010-03-10,AXISBANK,,,1117.65,1135,1117,1131.5,1239377,1398651154.55
2010-03-11,AXISBANK,,,1127.4,1154.9,1127.4,1151.35,1809188,2074134097.7
2010-03-12,AXISBANK,,,1151,1161.6,1141.55,1151.05,1948477,2247855824.65
2010-03-15,AXISBANK,,,1128.6,1154.3,1128.6,1142.7,901565,1029786549.9
2010-03-16,AXISBANK,,,1139,1148.9,1132.5,1144.9,1345188,1534675136.2
2010-03-17,AXISBANK,,,1155,1157.45,1139.05,1149.2,2425033,2784873902.2
2010-03-18,AXISBANK,,,1145.3,1172,1144.1,1163.8,1537854,1791101946.1
2010-03-19,AXISBANK,,,1172,1172,1151.55,1156,1226644,1418322191.65
2010-03-22,AXISBANK,,,1100,1152.35,1100,1146.5,1098538,1253000221.95
2010-03-23,AXISBANK,,,1153.5,1171.9,1152,1161.95,1252603,1456249748.9
2010-03-25,AXISBANK,,,1152.1,1165.2,1146.8,1154.8,1513156,1749668663.65
2010-03-26,AXISBANK,,,1155.1,1197.95,1151.5,1193.25,1805457,2121894804.05
2010-03-29,AXISBANK,,,1197,1215,1185,1198.95,1205706,1452193115.45
