date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,BHARTIARTL,,,329.85,332.1,323.85,325.2,2952340,965208868.35
2010-01-05,BHARTIARTL,,,328.25,332,325.5,330.35,4302024,1416923854.6
2010-01-06,BHARTIARTL,,,332.95,335.15,326.1,326.85,4409919,1460756180.4
2010-01-07,BHARTIARTL,,,328.35,334,328,329.4,3868937,1280269972.6
2010-01-08,BHARTIARTL,,,329.75,331.45,324.65,325.05,2655707,871309206
2010-01-11,BHARTIARTL,,,331,331,325.5,328.95,3143217,1030019974.1
2010-01-12,BHARTIARTL,,,330.1,333.9,320.4,322.25,6507716,2139658743.05
2010-01-13,BHARTIARTL,,,321.5,321.95,315.25,318.4,4299714,1369784307.55
2010-01-14,BHARTIARTL,,,319.2,322.6,317.2,318.05,3920034,1251244148.9
2010-01-15,BHARTIARTL,,,318,322.5,316,317.4,4407407,1404572902.1
2010-01-18,BHARTIARTL,,,317,322.7,316.15,320.7,3918998,1256985333.95
2010-01-19,BHARTIARTL,,,321,325.8,318.1,320.55,3884885,1250289824.1
2010-01-20,BHARTIARTL,,,321.55,332.3,321.55,331.5,9116756,3004527763.6
2010-01-21,BHARTIARTL,,,330,333,321.2,322.4,3955328,1294404451.1
2010-01-22,BHARTIARTL,,,318.7,330,315,322.15,8696121,2806312528.2
2010-01-25,BHARTIARTL,,,322.15,331.75,318.4,330.9,5398902,1763179080.55
2010-01-27,BHARTIARTL,,,329.5,331.8,320,322.9,5044367,1646071261.85
2010-01-28,BHARTIARTL,,,324,327.85,311,313.65,7620843,2413807063.15
2010-01-29,BHARTIARTL,,,311,313.9,304.15,306.4,6845712,2104442796.45
2010-02-01,BHARTIARTL,,,305,313.7,305,311.2,3865282,1198095474.7
2010-02-02,BHARTIARTL,,,314.5,315.7,306.1,307.65,4593595,1423592868.95
2010-02-03,BHARTIARTL,,,310,312.75,306.5,309,3649370,1129176993.4
2010-02-04,BHARTIARTL,,,307,309,300.5,304.1,2578956,788179174.15
2010-02-05,BHARTIARTL,,,302,304.45,294.4,300.05,3915719,1174822037.5
2010-02-08,BHARTIARTL,,,302.1,310.5,299.4,308.35,4808575,1470257709.3
2010-02-09,BHARTIARTL,,,310,316.5,307,313.15,6126301,1911104104.95
2010-02-10,BHARTIARTL,,,315,318.4,308.2,315.3,5417799,1708044430.3
2010-02-11,BHARTIARTL,,,315.5,317.9,310.75,314.5,3372725,1061508079.3
2010-02-15,BHARTIARTL,,,317,317,284.4,285.6,18972593,5557134580.55
2010-02-16,BHARTIARTL,,,286,289.5,269.35,271.6,45045191,12400776000.65
2010-02-17,BHARTIARTL,,,273.4,281.75,273.4,279.15,16132351,4493550488.85
