exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2010-08-18,,dividend,,,1,,,Annual General Meeting And Dividend Re.1/- Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2011-08-17,,dividend,,,1,,,Annual General Meeting And Dividend Re.1/- Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2012-08-16,,dividend,,,1,,,Annual General Meeting / Dividend Rs 1 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2013-05-23,,dividend,,,1,,,Annual General Meeting / Dividend Re 1 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2014-08-21,,dividend,,,3.43,,,Annual General Meeting / Final Dividend - Rs 1.80/- Per Share / Interim Dividend - Rs 1.63/- Per Share (Purpose Revised)
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2015-08-13,,dividend,,,2.22,,,Dividend - Rs 2.22/- Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2016-08-11,,dividend,,,1.36,,,Annual General Meeting/ Dividend - Rs 1.36/- Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2017-07-13,,dividend,,,1,,,Annual General Meeting/Dividend - Re 1 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2018-01-30,2018-01-31,dividend,,,2.84,,,Interim Dividend - Rs 2.84 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2018-08-02,,dividend,,,2.5,,,Annual General Meeting/Dividend Rs 2.50 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2018-11-05,2018-11-06,dividend,,,2.5,,,Interim Dividend Rs - 2.50 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2019-04-23,2019-04-24,rights,19,67,,,,Rights 19:67 @ Premium Rs 215 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2020-08-06,2020-08-07,dividend,,,2,,,Dividend - Rs 2 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2021-09-27,2021-09-28,rights,1,14,,,,Rights 1:14 @ Premium Rs 530/-
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2022-08-01,2022-08-02,dividend,,,3,,,Dividend - Rs 3 Per Share
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2023-08-11,2023-08-11,dividend,,,4,,,Dividend - Rs 4 Per Share
BSE,BHARTIARTL,INE397D01024,Bharti Airtel Ltd,2024-08-07,2024-08-07,dividend,,,8,,,Dividend - Rs. - 8.0000
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2024-08-07,2024-08-07,dividend,,,8,,,Dividend - Rs 8 Per Share
BSE,BHARTIARTL,INE397D01024,Bharti Airtel Ltd,2025-07-18,2025-07-18,dividend,,,16,,,Final Dividend - Rs. - 16.0000
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2025-07-18,2025-07-18,dividend,,,16,,,Dividend - Rs 16 Per Share
BSE,BHARTIARTL,INE397D01024,Bharti Airtel Ltd,2026-07-24,2026-07-24,dividend,,,24,,,Final Dividend - Rs. - 24.0000
NSE,BHARTIARTL,INE397D01024,Bharti Airtel Limited,2026-07-24,2026-07-24,dividend,,,24,,,Dividend - Rs 24 Per Share
