exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,CIPLA,INE059A01026,Cipla Limited,2010-07-23,,dividend,,,2,,,Annual General Meeting And Dividend Rs.2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2010-09-03,2010-09-06,dividend,,,0.8,,,Special Interim Dividend Re.0.80 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2011-08-09,,dividend,,,2,,,Annual General Meeting And Dividend Rs.2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2012-08-01,,dividend,,,2,,,Annual General Meeting And Dividend - Rs.2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2013-08-06,,dividend,,,2,,,Annual General Meeting/Dividend Rs 2/- Per Equity Share
NSE,CIPLA,INE059A01026,Cipla Limited,2014-08-06,,dividend,,,2,,,Annual General Meeting/Dividend Rs 2/- Per Equity Share
NSE,CIPLA,INE059A01026,Cipla Limited,2015-08-11,,dividend,,,2,,,Annual General Meeting/Dividend - Rs 2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2016-09-12,,dividend,,,2,,,Annual General Meeting/Dividend Rs 2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2017-07-26,,dividend,,,2,,,Annual General Meeting/Dividend - Rs 2/- Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2018-08-13,,dividend,,,3,,,Annual General Meeting/Dividend- Rs 3 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2019-07-31,,dividend,,,3,,,Annual General Meeting/Dividend - Rs 3 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2020-03-19,2020-03-20,dividend,,,4,,,Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2020-08-11,,agm,,,,,,Annual General Meeting
NSE,CIPLA,INE059A01026,Cipla Limited,2021-08-09,,dividend,,,5,,,Annual General Meeting/Dividend - Rs 5 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2022-08-08,2022-08-10,dividend,,,5,,,Dividend - Rs 5 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2023-07-21,2023-07-21,dividend,,,8.5,,,Dividend - Rs 8.50 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2024-08-02,2024-08-02,dividend,,,13,,,Dividend - Rs 13 Per Share
BSE,CIPLA,INE059A01026,Cipla Ltd,2024-08-02,2024-08-02,dividend,,,13,,,Final Dividend - Rs. - 13.0000
BSE,CIPLA,INE059A01026,Cipla Ltd,2025-06-27,2025-06-27,dividend,,,3,,,Special Dividend - Rs. - 3.0000
BSE,CIPLA,INE059A01026,Cipla Ltd,2025-06-27,2025-06-27,dividend,,,13,,,Final Dividend - Rs. - 13.0000
NSE,CIPLA,INE059A01026,Cipla Limited,2025-06-27,2025-06-27,dividend,,,16,,,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share
NSE,CIPLA,INE059A01026,Cipla Limited,2026-06-05,2026-06-05,dividend,,,13,,,Dividend - Rs 13 Per Share
BSE,CIPLA,INE059A01026,Cipla Ltd,2026-06-05,2026-06-05,dividend,,,13,,,Final Dividend - Rs. - 13.0000
