date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,DRREDDY,,,1140,1149.45,1126.15,1142.15,329988,375420498.95
2010-01-05,DRREDDY,,,1150,1181,1150,1177.45,411658,483039411.5
2010-01-06,DRREDDY,,,1186.2,1232.5,1183.35,1207.65,1289786,1561159339.4
2010-01-07,DRREDDY,,,1190.1,1214.85,1178.1,1188.95,298340,356782529.05
2010-01-08,DRREDDY,,,1200,1210.9,1180,1194.1,240469,288497821.7
2010-01-11,DRREDDY,,,1225,1225,1165.65,1200.15,410803,496339871.75
2010-01-12,DRREDDY,,,1205,1230,1200.2,1209.5,480939,584869760.15
2010-01-13,DRREDDY,,,1200,1235,1200,1228.25,381222,464960787.15
2010-01-14,DRREDDY,,,1239,1257,1232.25,1237.1,233748,290790215.2
2010-01-15,DRREDDY,,,1238,1247.8,1223.2,1229.95,237785,292602000.7
2010-01-18,DRREDDY,,,1221.05,1249.5,1220.1,1223,143020,176709525
2010-01-19,DRREDDY,,,1230,1232.95,1177.5,1180.5,430429,513564154.8
2010-01-20,DRREDDY,,,1182,1221,1142.25,1201.4,1197566,1414419147.9
2010-01-21,DRREDDY,,,1205.15,1205.15,1115,1123.6,1149131,1316738414.4
2010-01-22,DRREDDY,,,1115,1134.35,1083.15,1127.4,618108,685316507.4
2010-01-25,DRREDDY,,,1115.85,1134.8,1065.65,1121.9,529022,592976323.3
2010-01-27,DRREDDY,,,1107,1127.9,1091,1106.5,783457,871516209.35
2010-01-28,DRREDDY,,,1127,1172,1115,1152.9,1129127,1298382956.3
2010-01-29,DRREDDY,,,1127,1134,1089.25,1119.6,688149,761872578.4
2010-02-01,DRREDDY,,,1139,1139,1107.3,1123.5,174831,195813471.4
2010-02-02,DRREDDY,,,1127,1192,1127,1165.6,926468,1083895266.55
2010-02-03,DRREDDY,,,1170,1179.3,1146.25,1152.25,299794,348515158.75
2010-02-04,DRREDDY,,,1155,1171.8,1132.1,1161.9,419819,484902040.9
2010-02-05,DRREDDY,,,1130,1158,1115,1150.5,591945,674243218.7
