date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,HCLTECH,,,374.25,375,368.05,371.1,408037,151536104.5
2010-01-05,HCLTECH,,,372.5,381,370.55,379.45,1259474,474241084.15
2010-01-06,HCLTECH,,,380.1,382.9,365,368,998080,374114020.95
2010-01-07,HCLTECH,,,371.9,371.9,359.2,360.15,916485,331946055.9
2010-01-08,HCLTECH,,,363,363,349.25,351.75,1560373,549774463.8
2010-01-11,HCLTECH,,,351.8,361.5,351.8,355.25,1435583,512844555.6
2010-01-12,HCLTECH,,,357,373.8,355,367.85,2262867,833644171.75
2010-01-13,HCLTECH,,,367.85,379,360.1,377.95,2016126,750129284.45
2010-01-14,HCLTECH,,,379.9,383.75,365.6,370.1,1940811,722311813.5
2010-01-15,HCLTECH,,,371.5,373.9,366.15,369.4,687333,254564874.7
2010-01-18,HCLTECH,,,367,378,367,376.55,760554,284769550.35
2010-01-19,HCLTECH,,,377,379.9,370,376.8,815335,305446897.6
2010-01-20,HCLTECH,,,378.35,384.9,374.25,381,2694075,1025800095.2
2010-01-21,HCLTECH,,,381.4,386.8,366.55,370.5,1055745,399716991.55
2010-01-22,HCLTECH,,,368.75,388.9,355.05,382.65,1894439,708445485.35
2010-01-25,HCLTECH,,,378.15,378.15,356.4,361.2,2116291,766324188.1
2010-01-27,HCLTECH,,,354,361.2,325.15,330.2,1546653,530762523.25
2010-01-28,HCLTECH,,,335,353,334.1,347.35,2535317,879896204.65
2010-01-29,HCLTECH,,,332.15,354,318.9,346.8,1965223,658847389.65
2010-02-01,HCLTECH,,,344,354,336.15,347.7,737490,256661948.05
2010-02-02,HCLTECH,,,353,359,337,342.15,1317103,459930308.65
2010-02-03,HCLTECH,,,346.95,350.7,343.25,348.95,556915,193692086.3
2010-02-04,HCLTECH,,,340.55,347.75,333.15,337.15,862927,294824551.6
2010-02-05,HCLTECH,,,317.55,342.9,317.55,337.15,1068463,359634008.3
2010-02-08,HCLTECH,,,342,345.45,332.9,341.6,470394,159932371.2
2010-02-09,HCLTECH,,,344,350,340,346.75,771804,267994554.45
2010-02-10,HCLTECH,,,347,352.75,346.05,348.1,948024,331592742.65
2010-02-11,HCLTECH,,,349,354,347.2,348.85,410074,143701976.7
2010-02-15,HCLTECH,,,352,364.9,352,361.4,2064098,742955928.1
2010-02-16,HCLTECH,,,362.55,365.1,355,360.7,1021864,369496076.65
