exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2010-01-29,2010-02-01,other,,,,,,2nd Int Div-Re.1/- Per Shpurpose Revised
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2010-04-26,2010-04-27,other,,,,,,Int Div-Re.1/- Per Share Purpose Revised
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2010-10-22,,dividend,,,2.5,,,Annual General Meeting/Final Dividend Re.1/- Per Share/Interim Dividend Rs.1.50 Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2011-01-24,2011-01-25,dividend,,,2,,,2nd Interim Dividend-Rs.2/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2011-04-25,2011-04-26,dividend,,,2,,,3rd Interim Dividend-Rs.2/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2011-10-21,,dividend,,,6,,,Final Dividend Rs.2/- Per Share/Interim Dividend Rs.2/- Per Share/Special Dividend Rs.2/- Per Share/Annual General Meeting (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2012-01-20,2012-01-23,dividend,,,2,,,Interim Dividend Rs.2/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2012-04-23,2012-04-24,dividend,,,2,,,Interim Dividend Rs.2/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2012-10-19,,dividend,,,6,,,Final Dividend Rs.4/- Per Share And Interim Dividend Rs.2/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2013-01-21,2013-01-22,dividend,,,2,,,Interim Dividend Of Rs 2/- Per Equity Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2013-04-22,2013-04-23,dividend,,,2,,,Interim Dividend Of Rs 2/- Per Equity Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2013-10-22,2013-10-23,dividend,,,2,,,Interim Dividend Rs 2/- Per Share
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2013-12-18,,dividend,,,6,,,Annual General Meeting / Final Dividend - Rs 6/- Per Share
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2014-01-22,2014-01-23,dividend,,,4,,,Second Interim Dividend Rs. 4/- Per Share
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2014-04-22,2014-04-23,dividend,,,4,,,Interim Dividend - Rs 4/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2014-08-05,2014-08-06,dividend,,,12,,,Interim Dividend - Rs 12/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2014-10-21,2014-10-23,dividend,,,6,,,Interim Dividend Rs.6/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2014-11-20,,agm,,,,,,Annual General Meeting
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-02-04,2015-02-05,dividend,,,8,,,Interim Dividend - Rs 8/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-03-19,2015-03-20,bonus,1,1,,,,Bonus 1 : 1
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-04-24,2015-04-27,dividend,,,4,,,Interim Dividend - Rs 4/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-08-07,2015-08-10,dividend,,,5,,,Interim Dividend - Rs 5/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-10-23,2015-10-26,dividend,,,5,,,Interim Dividend - Rs 5/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2015-12-17,,agm,,,,,,Annual General Meeting
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2016-01-27,2016-01-28,dividend,,,6,,,Interim Dividend Rs 6/- Per Share (Purpose Revised)
NSE,HCLTECH,INE860A01027,HCL Technologies Limited,2016-05-05,2016-05-06,dividend,,,6,,,Interim Dividend - Rs 6/- Per Share (Purpose Revised)
