date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,HDFCBANK,,,1700,1728.5,1692.55,1705.7,305049,519995688.8
2010-01-05,HDFCBANK,,,1710,1725,1705,1707.2,838660,1437405390.45
2010-01-06,HDFCBANK,,,1714,1720,1688.1,1708.35,663984,1129770373.15
2010-01-07,HDFCBANK,,,1768.4,1768.4,1701.6,1712.8,612398,1049720927.9
2010-01-08,HDFCBANK,,,1712,1723.4,1701,1715.05,708590,1215296568.7
2010-01-11,HDFCBANK,,,1748.65,1748.65,1702.5,1708.15,1376661,2361886598.25
2010-01-12,HDFCBANK,,,1708,1711.8,1678.6,1695.2,490705,832145462.8
2010-01-13,HDFCBANK,,,1684.95,1694.8,1665.55,1689.3,1034675,1739601586.45
2010-01-14,HDFCBANK,,,1710,1713.8,1670,1683.8,1017264,1712183507.15
2010-01-15,HDFCBANK,,,1698.4,1699,1671,1694.15,1158173,1956640782.8
2010-01-18,HDFCBANK,,,1690,1778,1682.1,1766.65,2350146,4126131797.6
2010-01-19,HDFCBANK,,,1765,1788.8,1752.9,1779.2,1666422,2958573135.1
2010-01-20,HDFCBANK,,,1785,1790,1743,1756.1,1365211,2401661675.3
2010-01-21,HDFCBANK,,,1760.9,1760.9,1705.1,1711.65,1252347,2154579097.35
2010-01-22,HDFCBANK,,,1696,1700,1654,1677.1,947370,1593832454.8
2010-01-25,HDFCBANK,,,1660,1677.9,1631.3,1656.7,602879,992561005.65
2010-01-27,HDFCBANK,,,1661.1,1661.1,1586.9,1597.2,1210779,1961463619.95
2010-01-28,HDFCBANK,,,1610,1619,1576.8,1593.25,1743223,2776497423.8
2010-01-29,HDFCBANK,,,1580,1637,1552.5,1631.05,1643517,2622180729.85
2010-02-01,HDFCBANK,,,1628,1628,1585,1599.75,751733,1206819749.2
2010-02-02,HDFCBANK,,,1607,1614.9,1572,1579.1,1033470,1636075135.75
2010-02-03,HDFCBANK,,,1600,1632.4,1578,1622.75,772767,1246641850.5
2010-02-04,HDFCBANK,,,1618,1624.9,1585.5,1616.75,860524,1386379610
2010-02-05,HDFCBANK,,,1598,1598,1565,1573.35,934694,1472727432.8
2010-02-08,HDFCBANK,,,1585,1588.85,1549,1567.4,759060,1189382310.05
2010-02-09,HDFCBANK,,,1566.8,1577.9,1551.5,1571.65,1197375,1876735545.9
2010-02-10,HDFCBANK,,,1575,1617.45,1564,1593.55,1386668,2203849006.95
2010-02-11,HDFCBANK,,,1604,1633,1590,1598,726969,1173929293.65
2010-02-15,HDFCBANK,,,1597,1619.7,1582.5,1613.8,480249,770019984.5
2010-02-16,HDFCBANK,,,1605,1622.7,1590,1606.4,717485,1148013081.05
2010-02-17,HDFCBANK,,,1618,1660.95,1614.9,1655.95,1239834,2036584429.35
2010-02-18,HDFCBANK,,,1664.9,1690,1650.75,1683.75,1000442,1675797762
2010-02-19,HDFCBANK,,,1670,1700,1656.1,1693.9,734599,1236289853.5
2010-02-22,HDFCBANK,,,1701,1719.7,1690,1696.6,664017,1131315502.65
2010-02-23,HDFCBANK,,,1685.05,1708.85,1682.35,1701,647289,1100019890
2010-02-24,HDFCBANK,,,1690,1710,1687.5,1700.5,560569,953075864
2010-02-25,HDFCBANK,,,1701,1704,1682,1691.05,583697,987976410.6
2010-02-26,HDFCBANK,,,1690,1734.75,1680,1704.8,935103,1600750178.8
2010-03-02,HDFCBANK,,,1724,1756,1706,1744.95,771465,1335005941.9
2010-03-03,HDFCBANK,,,1742.55,1781,1742.55,1776.65,1114796,1965346437.8
2010-03-04,HDFCBANK,,,1775,1787,1753.1,1781.15,1351442,2396327276.65
2010-03-05,HDFCBANK,,,1785.55,1795,1771,1784,1044965,1862448683.2
2010-03-08,HDFCBANK,,,1810,1810,1772.9,1784.2,737296,1317043268.3
2010-03-09,HDFCBANK,,,1775,1815,1775,1811.2,1239769,2237345494.75
2010-03-10,HDFCBANK,,,1812,1819.9,1729.9,1814.45,1496056,2711821024.45
2010-03-11,HDFCBANK,,,1816,1835,1803.1,1826.95,774523,1409972539.3
2010-03-12,HDFCBANK,,,1827,1830.4,1786.35,1801.25,747244,1346383624.6
2010-03-15,HDFCBANK,,,1780,1820,1780,1812.55,751296,1361559366.9
2010-03-16,HDFCBANK,,,1805,1809.9,1764,1804.6,1043625,1864041884.25
2010-03-17,HDFCBANK,,,1804.6,1824.8,1798.1,1807.7,479484,866923869.7
2010-03-18,HDFCBANK,,,1812.4,1812.4,1790.5,1800.9,350197,629902292.7
2010-03-19,HDFCBANK,,,1814.8,1824.8,1797.65,1819.85,633984,1151386113.55
2010-03-22,HDFCBANK,,,1802,1855,1798,1837.1,1530561,2816585673.65
2010-03-23,HDFCBANK,,,1835,1890,1835,1884,1015438,1900938605.75
2010-03-25,HDFCBANK,,,1880,1930,1870.2,1926.15,2329640,4452589013.65
2010-03-26,HDFCBANK,,,1931,1965.6,1913.1,1951.45,1155286,2235263997.9
2010-03-29,HDFCBANK,,,1628.85,1990,1628.85,1965.05,1322671,2602697352.15
