date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,HINDUNILVR,,,264.8,266.2,264.1,264.7,668858,177173707.05
2010-01-05,HINDUNILVR,,,265.75,266.4,262.5,263.85,1392726,367440410.3
2010-01-06,HINDUNILVR,,,264.75,266,262.6,265.35,1682107,444825799.4
2010-01-07,HINDUNILVR,,,265.1,267.25,264.15,264.8,2723548,722890739.9
2010-01-08,HINDUNILVR,,,265.1,267,264.15,265.95,4000986,1060757449.25
2010-01-11,HINDUNILVR,,,266.6,268.35,265.6,266.1,2251471,601211584.15
2010-01-12,HINDUNILVR,,,266,266.75,260.55,262.15,3826930,1005553272.05
2010-01-13,HINDUNILVR,,,262,263.75,260.75,262.5,1917571,502866619.9
2010-01-14,HINDUNILVR,,,262.6,263.6,255.3,256.05,3583983,925186696.75
2010-01-15,HINDUNILVR,,,257.75,258.75,255.9,256.4,4361271,1121070727.9
2010-01-18,HINDUNILVR,,,256.5,258.35,254.55,257.3,1088348,278328934.7
2010-01-19,HINDUNILVR,,,257.75,257.75,254.6,255.45,1122943,287088244.1
2010-01-20,HINDUNILVR,,,256,258.6,253.5,257.8,2198874,562443848.5
2010-01-21,HINDUNILVR,,,258,261.1,255.65,256.75,3093875,800676460.4
2010-01-22,HINDUNILVR,,,253,259.15,251.95,257.95,5117085,1314884425.7
2010-01-25,HINDUNILVR,,,258.7,264.55,255.5,263.95,4355123,1140984758.4
2010-01-27,HINDUNILVR,,,263,263,254.7,259.35,9203979,2389099661
2010-01-28,HINDUNILVR,,,258.2,261.75,253.35,255.3,5049389,1299912339.75
2010-01-29,HINDUNILVR,,,251.55,252.2,241.05,242.3,6496604,1588100371.15
2010-02-01,HINDUNILVR,,,243.8,243.8,234.75,237.25,4987343,1183924191.6
2010-02-02,HINDUNILVR,,,238.5,240,235,236.5,6004275,1421786712.2
2010-02-03,HINDUNILVR,,,237.75,238.5,235.3,236.45,1595241,377389716.4
2010-02-04,HINDUNILVR,,,237.1,239.35,230.5,231.05,3017883,708151539.2
2010-02-05,HINDUNILVR,,,229.5,234.4,227,229.05,4345866,1003020413.45
2010-02-08,HINDUNILVR,,,231,238.2,229.75,236.5,3139856,734929406
2010-02-09,HINDUNILVR,,,238,238,232.3,232.6,2435031,570394136.4
2010-02-10,HINDUNILVR,,,233.5,233.95,229.15,230.1,2864300,661160659.4
2010-02-11,HINDUNILVR,,,230.5,234.45,230.5,233.4,2299826,534911485.1
2010-02-15,HINDUNILVR,,,233.4,234.85,229,229.75,1594781,368200104.45
2010-02-16,HINDUNILVR,,,230,238.55,229.3,237.15,2253497,528573009
2010-02-17,HINDUNILVR,,,238.5,244.65,238.5,240.55,3428957,829179020.25
2010-02-18,HINDUNILVR,,,240.6,243.9,238.3,242.5,955635,230544220.1
2010-02-19,HINDUNILVR,,,242,245.45,237.15,241,4582596,1103888862.5
2010-02-22,HINDUNILVR,,,244,247.35,242,246.15,2280787,557246760.05
2010-02-23,HINDUNILVR,,,244,245.9,242.75,244.9,908983,222153437.6
2010-02-24,HINDUNILVR,,,244,245.2,241,242.15,1102320,268033698.1
2010-02-25,HINDUNILVR,,,241.15,242.95,232.65,235.2,2791186,656595372.7
2010-02-26,HINDUNILVR,,,239.85,241.45,235,236.2,1519988,361040205.15
2010-03-02,HINDUNILVR,,,234,238,232.9,234.45,1784738,418187559.95
2010-03-03,HINDUNILVR,,,235,240,235,239.1,2569749,612290326.1
2010-03-04,HINDUNILVR,,,239.1,244.35,235.8,243.45,2585303,623732420.05
2010-03-05,HINDUNILVR,,,242.1,244.4,241.15,243,588200,142890833.85
2010-03-08,HINDUNILVR,,,243,244.7,237.55,238.75,2970886,713956356.2
2010-03-09,HINDUNILVR,,,238,239.95,235,236.05,1719797,407055309.55
2010-03-10,HINDUNILVR,,,235.4,240,235.4,239.75,1600336,382002295
2010-03-11,HINDUNILVR,,,236.35,239.45,228.15,228.8,5414907,1249358300.35
2010-03-12,HINDUNILVR,,,228.8,228.8,218.4,219.4,10125660,2252978798.4
2010-03-15,HINDUNILVR,,,221.4,227,218,225.55,6329071,1415856504.45
2010-03-16,HINDUNILVR,,,226.15,227.7,225.05,226.7,1801538,408379299.65
2010-03-17,HINDUNILVR,,,227.5,228.75,222.8,223.9,5445508,1220412427.1
2010-03-18,HINDUNILVR,,,224,226.95,223.6,224.85,2260551,509095039.3
2010-03-19,HINDUNILVR,,,224.85,229.9,224.5,228.95,2391153,544347705.55
2010-03-22,HINDUNILVR,,,228,229.5,226,228.25,1821015,416242774.55
2010-03-23,HINDUNILVR,,,228.75,230.3,227.6,228.5,2591544,594096785.6
2010-03-25,HINDUNILVR,,,226,234,226,232,5722411,1325268799.9
2010-03-26,HINDUNILVR,,,233.8,239.4,232.1,238.5,5921814,1404134679.45
2010-03-29,HINDUNILVR,,,238.8,240.4,238,239.7,2712461,650271185.3
2010-03-30,HINDUNILVR,,,240,242.3,239.15,241.85,3422200,826717229.25
2010-03-31,HINDUNILVR,,,241.1,242,238.05,239.55,2407315,577693285.5
2010-04-01,HINDUNILVR,,,240.4,240.45,230,230.4,3320590,769961057.65
2010-04-05,HINDUNILVR,,,231.1,232.35,226.65,229.1,3860534,883304894.2
2010-04-06,HINDUNILVR,,,229.7,231.65,228.7,229.9,2068525,475935832.6
2010-04-07,HINDUNILVR,,,230,231.45,224.5,225,3120048,706397456.05
2010-04-08,HINDUNILVR,,,224.35,226.85,222,222.7,2270759,507708372.6
2010-04-09,HINDUNILVR,,,222.75,224.8,220.7,221.35,2420707,537227573.85
2010-04-12,HINDUNILVR,,,221.5,225.45,221.5,224.5,3422928,767146820.6
2010-04-13,HINDUNILVR,,,225,225.1,222.75,223.55,1993094,446151231.6
2010-04-15,HINDUNILVR,,,224.7,227.65,223.7,225.45,4342086,980485045.3
2010-04-16,HINDUNILVR,,,225.45,227.7,223.35,227,3524900,797984956.5
2010-04-19,HINDUNILVR,,,226,226.5,223.8,224.75,1595067,359407008.35
2010-04-20,HINDUNILVR,,,226.5,228.6,224,227.8,2193926,496841228.65
2010-04-21,HINDUNILVR,,,228.2,234.75,228.2,232.85,4182139,971607813.9
2010-04-22,HINDUNILVR,,,231.9,239.95,231.55,237.35,6037737,1433152493.4
2010-04-23,HINDUNILVR,,,236.9,241.2,235.05,239.1,1959845,468187187.45
2010-04-26,HINDUNILVR,,,239.5,242,239,241.5,1822070,438183561.95
2010-04-27,HINDUNILVR,,,242.6,243.9,239.5,242.65,2814625,680015395.05
2010-04-28,HINDUNILVR,,,240.85,244,239,241.95,2948610,714544246.35
2010-04-29,HINDUNILVR,,,242.2,243.05,231.35,235.6,6704079,1588444951.05
2010-04-30,HINDUNILVR,,,240.85,241,236,239.8,1941014,462511852.1
2010-05-03,HINDUNILVR,,,240.9,240.9,232.8,233.75,1013619,238373682
2010-05-04,HINDUNILVR,,,236.8,236.8,231,232.35,1444286,337267125.55
2010-05-05,HINDUNILVR,,,242,242,227.6,228.75,1614615,371736779.65
2010-05-06,HINDUNILVR,,,227,235.5,227,232.15,2426265,564806741.1
2010-05-07,HINDUNILVR,,,236.7,238,230,234.6,2899346,683321650.95
2010-05-10,HINDUNILVR,,,257,257,234,236.95,1103808,263037127
2010-05-11,HINDUNILVR,,,237.35,237.35,233.35,236.85,940517,221598559.75
2010-05-12,HINDUNILVR,,,239,239.5,236.1,238.5,1439799,343219498.95
2010-05-13,HINDUNILVR,,,243.35,243.35,237.5,238.2,3055333,730416701.85
2010-05-14,HINDUNILVR,,,242.75,242.75,233.35,233.9,1605986,382367674.8
2010-05-17,HINDUNILVR,,,237.1,241.35,230.8,240.05,1367158,321819478.7
2010-05-18,HINDUNILVR,,,239.25,243.2,236.9,240.05,1430937,343253042.85
2010-05-19,HINDUNILVR,,,246,246,232.2,233.35,1398580,330283406.8
2010-05-20,HINDUNILVR,,,233.5,238.2,232.5,236.95,1826430,432063597.5
2010-05-21,HINDUNILVR,,,238.1,238.1,229.15,230.7,2123795,494147161.4
2010-05-24,HINDUNILVR,,,236.9,236.9,228.75,231.7,1414202,328399407.55
2010-05-25,HINDUNILVR,,,230.9,231.6,226.25,230.55,1202978,275522464
2010-05-26,HINDUNILVR,,,232,232.6,227.9,231.55,2730655,627710141.3
2010-05-27,HINDUNILVR,,,232,234.85,230.5,233,1709736,398544070.4
2010-05-28,HINDUNILVR,,,239.8,239.8,232.35,236.35,888460,208840774.65
2010-05-31,HINDUNILVR,,,237,239.7,235.25,237.2,1813271,431317494.55
2010-06-01,HINDUNILVR,,,237.95,238.2,232.35,233.8,1042836,246126532.85
2010-06-02,HINDUNILVR,,,233.9,239,232.4,237.75,758161,178927652.85
2010-06-03,HINDUNILVR,,,238.1,250.5,238.1,247.05,2712932,665900179.5
2010-06-04,HINDUNILVR,,,252.75,257.2,249.1,251.7,5072279,1282356848.65
2010-06-07,HINDUNILVR,,,234,253.4,234,251.05,1864062,466896684.2
2010-06-08,HINDUNILVR,,,245,256.55,245,251.4,2482809,629124118.05
2010-06-09,HINDUNILVR,,,245,253,245,249.55,1604824,402365767.55
2010-06-10,HINDUNILVR,,,247,252.5,247,252,1728521,434642164.9
2010-06-11,HINDUNILVR,,,255,255,252.1,252.75,1635866,413971713.95
2010-06-14,HINDUNILVR,,,255,259.4,251.6,255.45,1971808,503453670.95
2010-06-15,HINDUNILVR,,,256.4,261.3,254.45,260.15,2864416,739134776.4
2010-06-16,HINDUNILVR,,,260,261,255.3,255.9,1387595,356181638.5
2010-06-17,HINDUNILVR,,,255,256.7,248.55,253,2499448,627645465.4
2010-06-18,HINDUNILVR,,,255,258.65,250.3,257.75,2233551,570219217.65
2010-06-21,HINDUNILVR,,,259.85,260,256.1,258.75,2056026,531574912.2
2010-06-22,HINDUNILVR,,,258.15,265.45,258.15,261.75,4306917,1130541235.1
2010-06-23,HINDUNILVR,,,260,269.2,260,266.2,3854534,1019611124.15
2010-06-24,HINDUNILVR,,,266.6,274.35,266.1,270.9,5356066,1446217389.95
2010-06-25,HINDUNILVR,,,267.2,270.55,264.25,266.25,920634,246127067.1
2010-06-28,HINDUNILVR,,,266.25,269.7,265.35,266.75,1198030,319915477.5
2010-06-29,HINDUNILVR,,,266.75,269.7,261.1,262.65,1065270,280951792.4
2010-06-30,HINDUNILVR,,,263.75,269,261.3,267.55,1434286,380461197.9
2010-07-01,HINDUNILVR,,,267,273.15,264.35,272.5,2551949,690435892.4
2010-07-02,HINDUNILVR,,,272.5,273.5,267.2,268.4,1734300,469517762.85
2010-07-05,HINDUNILVR,,,269.2,269.35,265.35,266.15,844054,224764343
2010-07-06,HINDUNILVR,,,267.7,268.25,265.5,267.35,1054052,281691246.35
2010-07-07,HINDUNILVR,,,268.8,268.8,264.65,267.6,1001367,266651889.55
2010-07-08,HINDUNILVR,,,266.6,268.55,264.1,266.45,1340864,357355952.3
2010-07-09,HINDUNILVR,,,267,267.85,261.2,262.4,1159054,305104723.05
2010-07-12,HINDUNILVR,,,264.75,265.2,261.15,262.15,1133170,298292791.4
2010-07-13,HINDUNILVR,,,262.15,262.5,258.35,259.8,1313668,341743725.4
2010-07-14,HINDUNILVR,,,260,261.4,255.5,257.6,1281275,332132841.5
2010-07-15,HINDUNILVR,,,258.75,264,257.6,263.35,1134558,297423054.8
2010-07-16,HINDUNILVR,,,263.1,266.9,261.8,266.15,2734672,723047428.65
2010-07-19,HINDUNILVR,,,265.2,269.1,263.7,264.6,1103384,294664792.85
2010-07-20,HINDUNILVR,,,264.6,265,261,262.65,731859,191997680.75
2010-07-21,HINDUNILVR,,,262.65,267,260.9,261.75,1312784,346043597.15
2010-07-22,HINDUNILVR,,,261.9,263.45,259.55,262.3,1046091,273661415.9
2010-07-23,HINDUNILVR,,,262.4,264.15,260.3,261.95,1082091,283717068.75
2010-07-26,HINDUNILVR,,,262.95,263.9,260.6,261.95,1255536,329066401.45
2010-07-27,HINDUNILVR,,,263.2,266,259.4,260.4,1910751,501559743.35
2010-07-28,HINDUNILVR,,,260.75,262,251.1,252.35,1542725,396577387.2
2010-07-29,HINDUNILVR,,,253.2,259.8,250,256.5,3682710,942811214.35
2010-07-30,HINDUNILVR,,,257,258.25,249.6,251.45,1941787,493529366.9
2010-08-02,HINDUNILVR,,,250,254.9,250,253.45,1131419,286870360.8
2010-08-03,HINDUNILVR,,,253.45,255.4,252.55,253.35,911243,231242698.05
2010-08-04,HINDUNILVR,,,253.35,258.5,251.2,256.65,1957529,498877453.15
2010-08-05,HINDUNILVR,,,256.65,259.4,254.4,255.3,995609,255890743.7
2010-08-06,HINDUNILVR,,,257,257,254.7,255.05,693299,176943938.8
2010-08-09,HINDUNILVR,,,255.4,257.9,254.15,256.05,578268,147690580
2010-08-10,HINDUNILVR,,,256.5,261,254.15,260.2,1342358,346724521.95
2010-08-11,HINDUNILVR,,,260.2,265.2,260.2,261.25,1939262,510489425.05
2010-08-12,HINDUNILVR,,,261.5,267.4,259,266,2907430,772107957.25
2010-08-13,HINDUNILVR,,,266,267.8,265.1,265.8,1392182,370822695.5
2010-08-16,HINDUNILVR,,,266.9,271.95,266.35,269.9,1816654,489998481.15
2010-08-17,HINDUNILVR,,,270,271,264.35,265.65,1059553,282720825.3
2010-08-18,HINDUNILVR,,,265.65,270.4,263.35,269.25,1543787,414222585.95
2010-08-19,HINDUNILVR,,,270.85,274.45,269.1,274.05,1525384,415999640.05
2010-08-20,HINDUNILVR,,,275,275,268.05,268.9,974087,263879665.5
2010-08-23,HINDUNILVR,,,268,270.85,266.8,268.85,956531,257546095
2010-08-24,HINDUNILVR,,,267.25,271.95,267.1,269.65,1378329,371152045.6
2010-08-25,HINDUNILVR,,,270,272.5,267.1,268,1593133,430266901.15
2010-08-26,HINDUNILVR,,,268.15,269.15,264,265.65,1932725,514360102.45
2010-08-27,HINDUNILVR,,,265,265.85,263.05,263.95,1440447,380372884.45
2010-08-30,HINDUNILVR,,,265,265,261.5,263.65,1358795,356824938.65
2010-08-31,HINDUNILVR,,,263.2,265,262.65,264.5,1474262,389179164.35
2010-09-01,HINDUNILVR,,,264.5,267.35,264,266.55,3097428,823751488.9
2010-09-02,HINDUNILVR,,,267.85,272.2,266.3,269.9,1370949,369394183.85
2010-09-03,HINDUNILVR,,,270,274,269,272.9,2525693,686309382
2010-09-06,HINDUNILVR,,,274.2,274.3,270.55,271.65,1221034,332383425.25
2010-09-07,HINDUNILVR,,,272.5,272.5,269.3,270.65,1591280,430145867.3
