date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,ICICIBANK,,,877,885,875,879.7,1665852,1466228891.9
2010-01-05,ICICIBANK,,,888,899.75,881.5,888.05,2665454,2368571770.6
2010-01-06,ICICIBANK,,,895,907.35,890.1,894.85,3710919,3338141818.7
2010-01-07,ICICIBANK,,,896.75,896.75,876.5,886.4,1973143,1744296781.4
2010-01-08,ICICIBANK,,,889.1,890,871,873.95,3741988,3282861380.75
2010-01-11,ICICIBANK,,,878,881.8,865.95,869.4,3306304,2890135512.85
2010-01-12,ICICIBANK,,,869.4,872,840,842.75,4142170,3526622598.85
2010-01-13,ICICIBANK,,,821.65,844.2,821.65,840.65,5760883,4791167305.25
2010-01-14,ICICIBANK,,,847,861,831.2,835.3,6156026,5225416472.5
2010-01-15,ICICIBANK,,,840.25,848.6,830.45,842.45,3549441,2983230639.35
2010-01-18,ICICIBANK,,,834,868.8,830.3,863.35,4165370,3565431317.45
2010-01-19,ICICIBANK,,,864,876,859,865.5,3782571,3285437809.95
2010-01-20,ICICIBANK,,,869.8,884.6,868.95,877.95,4996526,4384609706.1
2010-01-21,ICICIBANK,,,869.85,873,842.3,852.7,6132204,5240490688.45
2010-01-22,ICICIBANK,,,829,847,820.85,840.7,5931119,4963801205.15
2010-01-25,ICICIBANK,,,831.6,839.15,825.25,830.8,2884574,2396541900.05
2010-01-27,ICICIBANK,,,820,827.4,780,787.3,6911548,5515628200.9
2010-01-28,ICICIBANK,,,800,807.8,779.25,788.05,10276194,8127264866.15
2010-01-29,ICICIBANK,,,775,839,775,830.35,10773920,8741675808.9
2010-02-01,ICICIBANK,,,820.1,848.4,815,835.8,5197735,4340721645.95
2010-02-02,ICICIBANK,,,841,842.45,815.8,819,5301734,4390419663.65
2010-02-03,ICICIBANK,,,825.1,845,823.25,839.45,3302936,2763063245.3
2010-02-04,ICICIBANK,,,834.8,849,825.5,828.8,3322918,2783007115.85
2010-02-05,ICICIBANK,,,809.8,809.8,790,798.15,4973182,3973691499.2
2010-02-08,ICICIBANK,,,850,850,786,805.35,4176793,3354641111.15
2010-02-09,ICICIBANK,,,806,818,791.4,812.4,3795374,3067967561.85
