date,symbol,series,isin,open,high,low,close,volume,turnover
2011-06-29,INFY,,,2868,2907,2868,2881.75,600094,1732005042.3
2011-06-30,INFY,,,2886.05,2919,2881.5,2910.45,1417730,4116331796.9
2011-07-01,INFY,,,2935,2969.95,2924.1,2934.15,800308,2354984926.8
2011-07-04,INFY,,,2966.65,2977,2935,2938.95,514324,1516229154.65
2011-07-05,INFY,,,2957,2969.9,2926,2956.45,802966,2370122227.25
2011-07-06,INFY,,,2947,2972.45,2937.1,2953.7,430028,1270130012.65
2011-07-07,INFY,,,2955.2,3000,2943,2995.7,718934,2138882305.35
2011-07-08,INFY,,,3000,3023.9,2967.25,2976.55,708724,2124589696.75
2011-07-11,INFY,,,2953.9,2976.1,2888.55,2921.15,1150815,3357121889.25
2011-07-12,INFY,,,2850,2850,2746.8,2791.55,3706582,10288243312.9
2011-07-13,INFY,,,2766,2807.35,2761.05,2777.3,1667271,4633541979.85
2011-07-14,INFY,,,2760.25,2764,2731,2740.35,1361403,3733324187.15
2011-07-15,INFY,,,2744,2762.95,2720,2731.35,799078,2184706123.6
2011-07-18,INFY,,,2735,2743.25,2707.35,2713.4,1176082,3196869135.5
2011-07-19,INFY,,,2721,2762,2716.65,2750.5,1040553,2852627971.25
2011-07-20,INFY,,,2772.8,2772.8,2745,2752.45,777839,2141877865.5
2011-07-21,INFY,,,2745.2,2784.5,2736.8,2768.1,737136,2038782014.1
2011-07-22,INFY,,,2784.3,2844,2770,2828.25,968703,2732423644.75
2011-07-25,INFY,,,2818,2825.05,2791.1,2807.75,925532,2597171267.45
2011-07-26,INFY,,,2809,2824,2787.5,2801.8,856092,2399752847.9
2011-07-27,INFY,,,2801,2835.9,2791.2,2796.65,1063305,2983630087.75
2011-07-28,INFY,,,2765,2773.9,2734.5,2751.1,1185172,3257377350.95
2011-07-29,INFY,,,2741,2782.45,2725.4,2775.9,1219699,3373433129.75
2011-08-01,INFY,,,2780.1,2823.8,2780.1,2815.1,761869,2142165734.5
2011-08-02,INFY,,,2798.55,2798.55,2745,2750.95,616566,1703336361.45
2011-08-03,INFY,,,2735,2739.7,2708.5,2732.6,705761,1923305128.7
2011-08-04,INFY,,,2740,2759.95,2704,2709.15,816236,2234599895.75
2011-08-05,INFY,,,2643.6,2643.6,2525,2591.2,1969759,5094113237.1
2011-08-08,INFY,,,2500,2500,2431,2470.5,2021280,4988238841.4
2011-08-09,INFY,,,2351,2439.95,2350.2,2374.55,2106218,5027836391.7
2011-08-10,INFY,,,2448,2476.4,2411.1,2447.1,1744495,4267894188.75
2011-08-11,INFY,,,2432,2469,2414.95,2440.6,1025779,2504194980.05
2011-08-12,INFY,,,2488,2488,2342.35,2375.2,1762260,4205870031.4
2011-08-16,INFY,,,2430,2438.25,2372.3,2399.3,1268338,3042398652.15
2011-08-17,INFY,,,2396,2465.5,2396,2448.95,1066416,2598315460.2
2011-08-18,INFY,,,2465,2468.1,2343,2354.1,1334333,3170740174.85
2011-08-19,INFY,,,2274,2274,2171.6,2224.7,3612400,7974712910.15
2011-08-22,INFY,,,2213.9,2245.1,2175,2194.6,1963509,4341687819.2
2011-08-23,INFY,,,2201.25,2302.65,2194,2276.95,2142930,4823516417.9
2011-08-24,INFY,,,2280,2284.95,2230,2250.9,1075768,2421530186.35
2011-08-25,INFY,,,2250.2,2265.1,2161.5,2183.4,3356719,7368166870.55
2011-08-26,INFY,,,2186.5,2252.9,2182.65,2202.55,2627745,5834295429.7
2011-08-29,INFY,,,2239,2312.25,2232,2296.25,1402816,3210809450.55
