exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,INFY,INE009A01021,Infosys Limited,2010-05-26,,agm,,,,,,Agm/Div-Rs.15/- Per Share
NSE,INFY,INE009A01021,Infosys Limited,2010-10-21,2010-10-22,dividend,,,40,,,Interim Dividend Rs.10/- Per Share And Special Dividend Rs.30/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2011-05-26,,dividend,,,20,,,Annual General Meeting And Final Dividend Rs.20/- Per Share
NSE,INFY,INE009A01021,Infosys Limited,2011-10-20,2011-10-21,dividend,,,15,,,Interim Dividend - Rs.15 Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2012-05-24,,dividend,,,32,,,Annual General Meeting / Dividend - Final Rs 22 + Special Rs 10
NSE,INFY,INE009A01021,Infosys Limited,2012-10-18,2012-10-19,dividend,,,15,,,Interim Dividend Rs.15/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2013-05-30,,dividend,,,27,,,Annual General Meeting/Final Dividend Rs.27 Per Share
NSE,INFY,INE009A01021,Infosys Limited,2013-10-17,2013-10-18,dividend,,,20,,,Interim Dividend Rs.20/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2014-05-29,,dividend,,,43,,,Annual General Meeting / Final Dividend - Rs 43/- Per Share
NSE,INFY,INE009A01021,Infosys Limited,2014-10-16,2014-10-17,dividend,,,30,,,Interim Dividend Rs.30/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2014-12-02,2014-12-03,bonus,1,1,,,,Bonus 1:1
NSE,INFY,INE009A01021,Infosys Limited,2015-06-15,,bonus,1,1,,,,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1
NSE,INFY,INE009A01021,Infosys Limited,2015-10-16,2015-10-19,dividend,,,10,,,Interim Dividend Rs.10/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2016-06-09,,dividend,,,14.25,,,Annual General Meeting And Final Dividend Rs.14.25 Per Share
NSE,INFY,INE009A01021,Infosys Limited,2016-10-21,2016-10-24,dividend,,,11,,,Interim Dividend Rs 11/- Per Share (Purpose Revised)
NSE,INFY,INE009A01021,Infosys Limited,2017-06-01,,dividend,,,14.75,,,Annual General Meeting/Dividend - Rs 14.75 Per Share
