exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2010-06-30,,dividend,,,0.85,,,Annual General Meeting And Dividend Re.0.85 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2010-09-13,2010-09-14,split,,,,10,5,Face Value Split From Rs.10/- To Rs.5/-
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2011-07-12,,dividend,,,0.5,,,Annual General Meeting And Dividend Re.0.50 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2012-07-06,,dividend,,,0.6,,,Annual General Meeting / Dividend Re 0.60 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2013-07-04,,dividend,,,0.7,,,Annual General Meeting/Dividend Re 0.70/- Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2014-07-04,,dividend,,,0.8,,,Annual General Meeting/Dividend Re 0.80/- Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2015-06-18,,dividend,,,0.9,,,Annual General Meeting/Dividend Re 0.90/- Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2015-07-08,2015-07-09,bonus,1,1,,,,Bonus 1: 1
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2016-07-14,,agm,,,,,,Annual General Meeting/ Divdend - Re 0.50/- Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2017-07-12,,dividend,,,0.6,,,Annual General Meeting/Dividend-Re 0.60 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2018-07-11,,dividend,,,0.7,,,Annual General Meeting/Dividend- Re 0.70 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2019-07-12,,dividend,,,0.8,,,Annual General Meeting/Dividend Rs 0.80 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2021-08-11,2021-08-12,dividend,,,0.9,,,Dividend - Rs 0.90 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2022-08-11,2022-08-12,dividend,,,1.1,,,Dividend - Rs 1.10 Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2023-08-04,2023-08-04,dividend,,,1.5,,,Dividend - Rs 1.50 Per Sh
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2024-07-19,2024-07-19,dividend,,,2,,,Dividend - Rs 2 Per Share
BSE,KOTAKBANK,INE237A01036,Kotak Mahindra Bank Ltd,2024-07-19,2024-07-19,dividend,,,2,,,Final Dividend - Rs. - 2.0000
BSE,KOTAKBANK,INE237A01036,Kotak Mahindra Bank Ltd,2025-07-18,2025-07-18,dividend,,,2.5,,,Final Dividend - Rs. - 2.5000
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2025-07-18,2025-07-18,dividend,,,2.5,,,Dividend - Rs 2.50 Per Share
BSE,KOTAKBANK,INE237A01036,Kotak Mahindra Bank Ltd,2026-01-14,2026-01-14,split,,,,5,1,Stock  Split From Rs.5/- to Rs.1/-
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2026-01-14,2026-01-14,split,,,,5,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
NSE,KOTAKBANK,INE237A01010,Kotak Mahindra Bank Limited,2026-07-17,2026-07-17,dividend,,,0.65,,,Dividend - Rs 0.65 Per Share
BSE,KOTAKBANK,INE237A01036,Kotak Mahindra Bank Ltd,2026-07-17,2026-07-17,dividend,,,0.65,,,Final Dividend - Rs. - 0.6500
