date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,LT,,,1683,1696.85,1683,1691.4,471122,796515715.15
2010-01-05,LT,,,1705,1710.4,1684.15,1694.4,1192884,2022382255.8
2010-01-06,LT,,,1657.85,1706.9,1657.85,1675.65,1367204,2300719659.15
2010-01-07,LT,,,1673.95,1688.5,1660.05,1667.6,903565,1508423394.7
2010-01-08,LT,,,1670.5,1696.85,1670.5,1678.15,1307102,2204286844.5
2010-01-11,LT,,,1691,1700,1673.2,1677.3,993580,1675888986.95
2010-01-12,LT,,,1682,1696.9,1663,1679.25,1387134,2332110898.45
2010-01-13,LT,,,1670,1689,1661.7,1673.2,810134,1354252445.65
2010-01-14,LT,,,1680.2,1680.2,1653,1668.4,1737040,2893605250.45
2010-01-15,LT,,,1674.05,1674.05,1645,1651.2,1434130,2368743490.05
2010-01-18,LT,,,1654.8,1673,1640,1654.75,710463,1179003430.2
2010-01-19,LT,,,1660,1666.8,1635.55,1642.5,1023989,1694772059.55
2010-01-20,LT,,,1651,1651.9,1630.5,1635.95,1013877,1663127692.15
2010-01-21,LT,,,1634.8,1638,1518.2,1524.1,4949907,7746062919.55
2010-01-22,LT,,,1524.15,1524.15,1436.35,1471.7,5763805,8475870682.85
2010-01-25,LT,,,1473,1499,1456,1490.45,1770554,2627151414.3
2010-01-27,LT,,,1477.9,1489,1438,1458.05,2353699,3437397670.95
2010-01-28,LT,,,1470,1486.6,1410,1431.5,4143325,5924383301.25
2010-01-29,LT,,,1425,1451.5,1401,1423.85,3588972,5103917805
2010-02-01,LT,,,1444.7,1444.7,1408,1417.25,2660622,3784638514.85
2010-02-02,LT,,,1430,1438,1390,1396.4,2378325,3349674519.3
2010-02-03,LT,,,1401.35,1457,1390,1450.15,2680499,3855988094.65
2010-02-04,LT,,,1440,1456.9,1425.6,1444.8,1617455,2335466507.05
2010-02-05,LT,,,1415,1442.6,1389.9,1424,2206654,3130656100
2010-02-08,LT,,,1440,1462,1413.5,1444.45,1563230,2243218940.65
2010-02-09,LT,,,1449,1464.85,1433.25,1461.85,1615138,2346857954.45
2010-02-10,LT,,,1471,1477,1431,1436.2,1132684,1641241331.85
2010-02-11,LT,,,1441,1460,1441,1448.1,521455,756766344.9
2010-02-15,LT,,,1458,1458.7,1424,1433.05,737982,1059139771.85
2010-02-16,LT,,,1414.4,1463,1410,1445.7,876159,1262305463.9
2010-02-17,LT,,,1460.25,1484,1458.9,1474.3,886469,1307228810.4
2010-02-18,LT,,,1483.55,1483.55,1463,1476.25,692086,1020599756.25
2010-02-19,LT,,,1469.8,1494,1443.3,1478.45,945815,1386193495.55
2010-02-22,LT,,,1490,1501.9,1477.7,1491.55,677119,1008506492.55
2010-02-23,LT,,,1485,1494.85,1465.55,1489.6,937518,1391591971.85
2010-02-24,LT,,,1485,1516,1471,1501.15,1773600,2668958410.25
2010-02-25,LT,,,1510,1543,1503.55,1535.6,2427026,3705415437.2
2010-02-26,LT,,,1535,1583,1529,1564.3,1871234,2919842867.4
2010-03-02,LT,,,1628.7,1628.7,1571,1585.4,1067285,1691411343.85
2010-03-03,LT,,,1580.25,1590,1566.5,1578.15,831704,1310468656.7
2010-03-04,LT,,,1574.8,1592.35,1562.4,1589.05,808966,1276590230.7
2010-03-05,LT,,,1593,1614.9,1582.35,1587.5,1086205,1734514921.55
2010-03-08,LT,,,1605,1614.7,1589,1603.2,1277722,2050748171.6
2010-03-09,LT,,,1606,1615.25,1582.65,1588.9,1063125,1697997096.25
2010-03-10,LT,,,1589,1600,1566.3,1576.15,758363,1198215730.95
2010-03-11,LT,,,1578.5,1584.9,1560.55,1572.6,864020,1354932664.2
2010-03-12,LT,,,1575.25,1584.75,1556.7,1564.75,1456043,2277658023.4
2010-03-15,LT,,,1564,1579.45,1543,1553.8,1297098,2015983891.65
2010-03-16,LT,,,1555,1610.55,1552.2,1599.2,964908,1529959283.85
2010-03-17,LT,,,1601.35,1630.9,1591.65,1626.95,1606905,2607698770.9
2010-03-18,LT,,,1624,1635,1601,1615.8,1028499,1657352731.35
2010-03-19,LT,,,1616.1,1629.9,1605.55,1621.3,1006147,1628688525.15
2010-03-22,LT,,,1610,1623.05,1586.55,1614.35,903648,1458321242.35
2010-03-23,LT,,,1620,1626,1602.6,1615.15,768080,1241653031.9
2010-03-25,LT,,,1614,1651.8,1600,1641.55,1654128,2692697297.6
2010-03-26,LT,,,1639,1649.65,1627.75,1632.9,879441,1440566900.65
2010-03-29,LT,,,1638.8,1670,1625.1,1663.95,1282105,2121875487.85
2010-03-30,LT,,,1670,1670,1626.55,1637.3,667106,1099878903.25
2010-03-31,LT,,,1639,1645,1616.25,1630.85,1382500,2255792447.65
2010-04-01,LT,,,1642.1,1656.5,1632.05,1650.7,695768,1143662888.85
2010-04-05,LT,,,1657.25,1659,1638.05,1646.35,799350,1316660909.2
2010-04-06,LT,,,1650,1661.85,1637,1652.05,1563743,2582194943.5
2010-04-07,LT,,,1655,1659,1641.3,1646,1605660,2649389041.35
2010-04-08,LT,,,1644.7,1647.8,1616.7,1625.9,925464,1507480201.65
2010-04-09,LT,,,1627,1650,1616.25,1640.75,1302431,2132396265.75
2010-04-12,LT,,,1645,1645,1597,1605.4,1523840,2452232327.9
2010-04-13,LT,,,1608,1613.7,1591.35,1598.25,1115977,1786876966.05
2010-04-15,LT,,,1610,1618.85,1565.2,1572,1522936,2417464240.85
2010-04-16,LT,,,1570,1581,1560,1574,1095293,1719420123.65
2010-04-19,LT,,,1566.35,1583.4,1546.9,1576.35,945725,1480300779.7
2010-04-20,LT,,,1575,1604.05,1566.5,1588.9,1181818,1877163518.25
2010-04-21,LT,,,1597,1599.1,1565,1577.8,907380,1428777928.1
2010-04-22,LT,,,1569,1606,1558.15,1572.3,1525380,2410997216.1
2010-04-23,LT,,,1580,1622,1575.05,1617.6,1649922,2648705216.65
2010-04-26,LT,,,1625,1636.45,1612.1,1620,509139,827099826.65
2010-04-27,LT,,,1618,1639.7,1611.2,1629.55,777400,1266896730.95
2010-04-28,LT,,,1605,1625,1582.5,1592.65,975545,1563359517.25
2010-04-29,LT,,,1592,1615,1585,1599.55,1030097,1641127981.65
2010-04-30,LT,,,1610,1625,1602,1615.05,652128,1052411434.45
2010-05-03,LT,,,1603,1604,1575.9,1591.9,563111,895278080.1
2010-05-04,LT,,,1594,1610,1533.4,1549.35,1179732,1861506988.05
2010-05-05,LT,,,1540,1543.45,1514.9,1538.85,982854,1502272340.7
2010-05-06,LT,,,1531.3,1539,1502,1526.9,1251603,1899406154.55
2010-05-07,LT,,,1515,1534,1484,1517.35,1401904,2108416961.15
2010-05-10,LT,,,1544,1653.55,1521,1546.8,1232252,1900219805.25
2010-05-11,LT,,,1545.25,1559.9,1536.1,1544.25,851246,1317755401.3
2010-05-12,LT,,,1555,1569,1544,1563.9,967712,1506612815.9
2010-05-13,LT,,,1570,1582,1551.35,1571,719116,1128894175.25
2010-05-14,LT,,,1561.2,1585,1521,1529.35,763975,1188706805.55
2010-05-17,LT,,,1525.05,1619.75,1475.1,1606.9,3586404,5580986578.55
2010-05-18,LT,,,1615,1684.7,1615,1661.05,4689055,7764366751.2
2010-05-19,LT,,,1650,1672.85,1615,1633.6,3659930,6033730311.35
2010-05-20,LT,,,1635,1665,1617,1642.1,1962709,3220894781.95
2010-05-21,LT,,,1630,1630,1592.5,1608.55,1342618,2158006342.8
2010-05-24,LT,,,1630,1649,1616.3,1631.4,1212306,1983987034.4
2010-05-25,LT,,,1628,1628,1555.25,1558.5,1857701,2926284135.65
2010-05-26,LT,,,1580,1620,1571.3,1607.75,1103092,1756935622.5
2010-05-27,LT,,,1610,1638.75,1605,1628.85,1632871,2653445397.05
2010-05-28,LT,,,1635,1645,1616.35,1626.55,859922,1399199093.55
2010-05-31,LT,,,1626,1639.9,1620,1631.35,853102,1391942445.2
2010-06-01,LT,,,1627.9,1627.9,1589.8,1593.6,804833,1291388518.5
2010-06-02,LT,,,1605,1638,1585,1631.55,1184074,1911880570.85
2010-06-03,LT,,,1631.55,1670,1631.55,1666.75,1265178,2104408997.2
2010-06-04,LT,,,1676,1676,1644.2,1672,683935,1136026643.3
2010-06-07,LT,,,1640,1655,1623.8,1640.2,547079,895207910.75
2010-06-08,LT,,,1645,1653.5,1619,1627.4,905463,1482372722.8
2010-06-09,LT,,,1636,1650,1615.5,1642.75,997332,1632905184.6
2010-06-10,LT,,,1647.2,1675,1647,1672.4,1360977,2267088010.25
2010-06-11,LT,,,1682,1685,1671,1677.05,1008628,1693828140.65
2010-06-14,LT,,,1682,1709.8,1678.9,1703.9,1334314,2264328419.95
2010-06-15,LT,,,1723.65,1728.5,1700,1724.45,1378523,2368529053.85
2010-06-16,LT,,,1740,1740,1710.05,1721.2,881704,1516708355.7
2010-06-17,LT,,,1720,1782,1711,1777,2772966,4871307372.05
2010-06-18,LT,,,1780,1817.5,1780,1798.5,2484248,4477379520.45
2010-06-21,LT,,,1805.55,1843,1801.25,1836.35,1338236,2455850781.7
2010-06-22,LT,,,1832,1840,1806.35,1825.15,1451144,2641976290.3
2010-06-23,LT,,,1824,1825.15,1757.05,1765.05,2502581,4438105267.15
2010-06-24,LT,,,1778,1797.75,1765.55,1791.65,1668364,2984087162.25
