date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,M&M,,,1085.5,1138,1085.5,1129.85,934837,1049974390.25
2010-01-05,M&M,,,1135,1176,1121,1150.65,1299341,1504982832.5
2010-01-06,M&M,,,1159.7,1186.9,1152.3,1178.25,1706808,1997692572.95
2010-01-07,M&M,,,1183,1184.45,1141.15,1155.8,826099,954734202.8
2010-01-08,M&M,,,1165,1166,1146.55,1155.9,631818,729655957.2
2010-01-11,M&M,,,1162,1176,1150,1159.2,791967,919650453.9
2010-01-12,M&M,,,1142.55,1199,1142.55,1192.2,1235617,1450443610.65
2010-01-13,M&M,,,1182.1,1190,1134.6,1153.6,1146225,1326859485.3
2010-01-14,M&M,,,1160,1182,1151.1,1171.65,1027371,1204212182.5
2010-01-15,M&M,,,1175.55,1182.1,1150.05,1157.2,766740,889112516.9
2010-01-18,M&M,,,1155,1190.9,1150.15,1183.65,890516,1049220603.4
2010-01-19,M&M,,,1179,1184.9,1150.7,1159.6,624251,724561051.95
2010-01-20,M&M,,,1165,1174.9,1140.25,1145.45,847629,979855009.4
2010-01-21,M&M,,,1143,1172,1139,1144.85,1245541,1439021177.7
2010-01-22,M&M,,,1127,1143.8,1099,1133.1,968435,1090400239.55
2010-01-25,M&M,,,1140,1152.55,1056.1,1071.25,2706125,2983132066.75
2010-01-27,M&M,,,1064.8,1074,995,1010.9,2752932,2802020431.15
2010-01-28,M&M,,,1020,1046.7,1016.75,1022.3,1122843,1154534409.5
2010-01-29,M&M,,,1020,1032,987.75,1017.55,979543,989455980.95
2010-02-01,M&M,,,1021.2,1055.4,1007.4,1047.15,840047,873940104.25
2010-02-02,M&M,,,1055,1065.5,1015,1019.8,632825,659504817.6
2010-02-03,M&M,,,1025,1057.65,1024.2,1054.2,657639,686735497.05
2010-02-04,M&M,,,1052.7,1053.4,1006,1017,751323,774120590.3
2010-02-05,M&M,,,999,1005,965.9,976.25,937944,927946066.3
2010-02-08,M&M,,,995,1010,967.2,999.8,991231,981516308.65
2010-02-09,M&M,,,981.3,1014.35,981.3,991.2,592548,593806606.2
2010-02-10,M&M,,,1003,1005,950,958.35,1064646,1038484617.7
2010-02-11,M&M,,,969.9,996,963,986.8,741581,726522476.9
2010-02-15,M&M,,,1000,1009.75,990,995.65,778347,776682541.8
2010-02-16,M&M,,,996.3,1023,990.5,1015.55,324982,327144380
2010-02-17,M&M,,,1026,1040.85,1022,1029.05,582138,601077079.1
2010-02-18,M&M,,,1034.8,1034.8,1001.1,1013.2,464353,470713141.35
2010-02-19,M&M,,,1001,1017,993.15,1001.7,537462,539089141.35
2010-02-22,M&M,,,1010,1024.9,986.1,992.4,685315,681995974.45
2010-02-23,M&M,,,989,994.05,972,980.6,758293,744151938.05
2010-02-24,M&M,,,975,978.9,951,957.3,949872,910626675.15
2010-02-25,M&M,,,953.2,972.8,952.5,957.1,911196,877120836.4
2010-02-26,M&M,,,965,1031.85,957.35,1007.75,2035515,2037463430.25
2010-03-02,M&M,,,1018,1066.5,1018,1057,1527368,1606695968.45
2010-03-03,M&M,,,1062,1081.65,1046.75,1076.4,945433,1007006179.1
2010-03-04,M&M,,,1074,1084.6,1057.1,1077.5,656076,700886035.75
2010-03-05,M&M,,,1077,1089.8,1068,1076.65,538499,581844729.9
2010-03-08,M&M,,,1085,1132,1085,1122.1,1824490,2038744118.6
2010-03-09,M&M,,,1122,1140.5,1109.1,1129.6,1339745,1513110651.75
2010-03-10,M&M,,,1120,1139.65,1120,1132.6,850516,961110331.6
2010-03-11,M&M,,,1112.3,1133.9,1112.3,1125.05,1393469,1568696992.55
2010-03-12,M&M,,,1125,1154.95,1125,1140.85,1004291,1149997249.2
2010-03-15,M&M,,,1140,1140,1101.1,1105,664173,741164320.4
2010-03-16,M&M,,,1104,1140,1094,1134.25,611858,685247890.4
2010-03-17,M&M,,,1125,1149,1071.3,1123.3,582048,657945317.15
2010-03-18,M&M,,,1123.5,1123.5,1076.25,1088.05,1311454,1431821381.35
2010-03-19,M&M,,,1075.1,1099,1068.4,1073.45,1108049,1194818103.8
2010-03-22,M&M,,,1065,1069,1043,1048.55,980708,1031251373.5
2010-03-23,M&M,,,1055,1059,1031,1048.95,784875,817881518.55
2010-03-25,M&M,,,1049.6,1068,1038.3,1056.9,1608934,1692395687.4
2010-03-26,M&M,,,1068,1088.9,1060,1080.9,901359,972368896.2
2010-03-29,M&M,,,546.2,565,515,553.6,1644904,913793431.1
2010-03-30,M&M,,,558,570,545,549.65,1249613,702976837.45
2010-03-31,M&M,,,556.9,559,533.25,541.35,2174664,1188696604.9
2010-04-01,M&M,,,552,555.9,528.55,534.25,2835029,1521625439.1
2010-04-05,M&M,,,537,549.9,533.7,548.8,1370878,745524922.35
2010-04-06,M&M,,,551.05,553.9,532.6,533.5,1730628,932945264.75
2010-04-07,M&M,,,538.2,541.25,524.4,529.9,1868243,996258457
2010-04-08,M&M,,,536,543.7,520.6,524,2141450,1137581113.3
2010-04-09,M&M,,,527,532.5,521.8,528.95,1520209,801967468.95
