exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2010-03-29,2010-03-30,split,,,,,,Fv Split Rs.10 To Rs.5
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2010-07-08,,dividend,,,9.5,,,Annual General Meeting/Final Dividend Rs.8.75 Per Share And Special Dividend Re.0.75 Per Share (Purpose Revised)
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2011-07-14,,dividend,,,11.5,,,Annual General Meeting/Final Dividend Rs.10.50 Per Share And Special Dividend Re.1/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2012-07-12,,dividend,,,12.5,,,Annual General Meeting And Dividend - Rs.12.50 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2013-07-18,,dividend,,,,,,Annual General Meeting/Dividend 12.50/-+Special Dividend 0.50/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2014-07-17,,dividend,,,14,,,Annual General Meeting / Dividend - Rs 13.50/- Per Share + Special Dividend - Re 0.50/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2015-07-16,,dividend,,,12,,,Annual General Meeting/Dividend - Rs 12/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2016-07-21,,dividend,,,12,,,Annual General Meeting/ Dividend - Rs 12/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2017-07-13,,dividend,,,13,,,Annual General Meeting/Dividend - Rs 13/- Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2017-12-21,2017-12-23,bonus,1,1,,,,Bonus 1:1
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2018-07-12,,dividend,,,7.5,,,Annual General Meeting/Dividend- Rs 7.50 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2019-07-18,,dividend,,,8.5,,,Annual General Meeting/Dividend - Rs 8.50 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2020-07-16,,dividend,,,2.35,,,Annual General Meeting/Dividend - Rs 2.35 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2021-07-15,,dividend,,,8.75,,,Annual General Meeting/Dividend - Rs 8.75 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2022-07-14,,dividend,,,11.55,,,Annual General Meeting/Dividend - Rs 11.55 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2023-07-14,,dividend,,,16.25,,,Annual General Meeting/Dividend - Rs 16.25 Per Share
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2024-07-05,,dividend,,,21.1,,,Annual General Meeting/Dividend - Rs 21.10 Per Share
BSE,M&M,INE101A01026,Mahindra & Mahindra Ltd,2024-07-05,,dividend,,,21.1,,,Final Dividend - Rs. - 21.1000
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2025-07-04,2025-07-04,dividend,,,25.3,,,Dividend - Rs 25.30 Per Share
BSE,M&M,INE101A01026,Mahindra & Mahindra Ltd,2025-07-04,2025-07-04,dividend,,,25.3,,,Dividend - Rs. - 25.3000
NSE,M&M,INE101A01026,Mahindra & Mahindra Limited,2026-07-03,2026-07-03,dividend,,,33,,,Dividend - Rs 33 Per Share
BSE,M&M,INE101A01026,Mahindra & Mahindra Ltd,2026-07-03,2026-07-03,dividend,,,33,,,Final Dividend - Rs. - 33.0000
