date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,MARUTI,,,1565,1586.7,1546.15,1551.45,534231,832988541.45
2010-01-05,MARUTI,,,1563.5,1567.55,1510,1515.85,1407407,2153559340.25
2010-01-06,MARUTI,,,1518,1522.8,1460,1461.65,1571353,2316258235.95
2010-01-07,MARUTI,,,1468,1485,1450,1453.3,901165,1319864360.3
2010-01-08,MARUTI,,,1459,1463.8,1421.1,1433.15,1294429,1860132265.5
2010-01-11,MARUTI,,,1442,1462.25,1438,1454.75,478942,697111959
2010-01-12,MARUTI,,,1454.75,1462,1435,1441,767986,1110491530.1
2010-01-13,MARUTI,,,1437,1449.5,1410.8,1428.75,612474,874919857.5
2010-01-14,MARUTI,,,1439,1443.25,1411,1414.85,480493,685110725.75
2010-01-15,MARUTI,,,1410,1442.9,1408.15,1413.45,723389,1031365931.15
2010-01-18,MARUTI,,,1409,1447,1407,1429.35,916180,1312907219.6
2010-01-19,MARUTI,,,1435,1450,1413.1,1419.3,1009858,1444625652.7
2010-01-20,MARUTI,,,1428.8,1465,1421,1458.35,1376326,1988403870.35
2010-01-21,MARUTI,,,1445,1480,1440,1452.75,1220211,1783746740.95
2010-01-22,MARUTI,,,1440,1457,1405,1444.45,650256,932634815
2010-01-25,MARUTI,,,1412,1475,1412,1446.2,851324,1237717063.6
2010-01-27,MARUTI,,,1431,1447,1350.3,1369.8,1180230,1647997954.05
2010-01-28,MARUTI,,,1377,1399,1362.05,1378.3,835498,1153736670.65
2010-01-29,MARUTI,,,1374.4,1399,1332,1389.45,468949,645324680.8
2010-02-01,MARUTI,,,1389,1419.7,1375.25,1398.95,584347,818810790.45
2010-02-02,MARUTI,,,1418.25,1418.25,1360,1373.55,573306,796861711.7
2010-02-03,MARUTI,,,1365,1384.9,1360.2,1377.25,594119,816539293.35
2010-02-04,MARUTI,,,1370,1385,1355,1365.15,453970,622458238.75
2010-02-05,MARUTI,,,1349.5,1378.05,1320.25,1358.9,471270,637415363.2
2010-02-08,MARUTI,,,1375.1,1388.8,1347.2,1362.05,555655,758306035.9
2010-02-09,MARUTI,,,1355,1374,1342.5,1352.75,491001,666276041.75
2010-02-10,MARUTI,,,1355,1368.6,1328.25,1333.9,433681,585353496.95
2010-02-11,MARUTI,,,1330.1,1363.5,1330.1,1356.35,289022,390748150.15
2010-02-15,MARUTI,,,1364,1368.8,1330.1,1336,288768,389126006.55
2010-02-16,MARUTI,,,1339.7,1370.45,1334,1357.35,322869,434847697.75
2010-02-17,MARUTI,,,1369.95,1386.9,1365.3,1380.25,371999,512794303.85
2010-02-18,MARUTI,,,1390,1390,1349,1359.65,323684,440083872.3
2010-02-19,MARUTI,,,1354,1381,1335,1371,399798,547464142.55
2010-02-22,MARUTI,,,1380,1403,1378.3,1386.25,385247,536626244.85
2010-02-23,MARUTI,,,1369.85,1389,1317.7,1335.75,484780,657212436
2010-02-24,MARUTI,,,1325,1388.85,1317.65,1365.4,827260,1115283371.35
2010-02-25,MARUTI,,,1374.2,1407.9,1358,1399.9,794244,1099196907.75
2010-02-26,MARUTI,,,1398.8,1490,1375,1459.95,1711733,2460957705.3
2010-03-02,MARUTI,,,1472,1501,1462.55,1491.1,1321957,1966384074.2
2010-03-03,MARUTI,,,1496,1500.9,1460.65,1476.5,809671,1194894152.1
2010-03-04,MARUTI,,,1477,1489,1452.1,1457.15,413804,604529528.35
2010-03-05,MARUTI,,,1467,1474.4,1447.7,1457.05,353414,515948659.8
2010-03-08,MARUTI,,,1473.7,1492.3,1463,1478.15,515595,760588040.3
2010-03-09,MARUTI,,,1480,1509.15,1471,1499.5,875543,1311014704.15
2010-03-10,MARUTI,,,1508,1519.8,1470,1479.85,976355,1460072510.75
2010-03-11,MARUTI,,,1470.05,1484.95,1455,1464.2,554034,812948498.75
2010-03-12,MARUTI,,,1470,1487.5,1460,1463.6,334671,492610994.7
2010-03-15,MARUTI,,,1464,1464.8,1426.15,1446.1,445078,642419690
2010-03-16,MARUTI,,,1459.8,1462.8,1436.45,1458.8,256298,371704413.65
2010-03-17,MARUTI,,,1465,1473.75,1428.65,1433.5,648678,938843570.7
2010-03-18,MARUTI,,,1444,1446,1409,1421.7,631915,897452353.2
2010-03-19,MARUTI,,,1428,1434.3,1421,1429.3,286967,410131965
2010-03-22,MARUTI,,,1420,1423.8,1391,1397.45,470482,661483696.05
2010-03-23,MARUTI,,,1404.95,1412.2,1388,1393.4,313873,439123737.5
2010-03-25,MARUTI,,,1390,1397.85,1360,1370.15,656336,900849248.8
2010-03-26,MARUTI,,,1372,1413,1368.05,1396.85,576501,806923897.25
2010-03-29,MARUTI,,,1409.8,1437.8,1397.2,1427.45,628028,890579326.2
2010-03-30,MARUTI,,,1400,1446,1400,1407.65,354798,505415151.3
2010-03-31,MARUTI,,,1391.55,1423.5,1349,1417.95,320921,453798520.45
2010-04-01,MARUTI,,,1425,1429,1386.25,1393.15,477130,667846651.7
2010-04-05,MARUTI,,,1399.5,1409,1386.3,1397.35,409185,570824875.65
2010-04-06,MARUTI,,,1410,1410,1373.25,1376.65,343707,475436110.25
2010-04-07,MARUTI,,,1389.7,1407,1368,1402.9,634823,884911390.3
2010-04-08,MARUTI,,,1247.7,1412,1247.7,1384.1,410233,572553790.35
2010-04-09,MARUTI,,,1396,1399,1370.25,1377.65,441989,610530043.7
2010-04-12,MARUTI,,,1398,1408.8,1363.5,1371.55,401803,553660708.55
2010-04-13,MARUTI,,,1375,1376.8,1352.8,1363.3,309664,421623422.8
