date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-08,NESTLEIND,,,2555,2575,2475.2,2494.65,648,1639316.3
2010-01-11,NESTLEIND,,,2401,2515,2400,2498.95,825,2057909.05
2010-01-12,NESTLEIND,,,2540,2540,2471.35,2502.85,68346,169854940.95
2010-01-13,NESTLEIND,,,2502.85,2540,2480,2489.35,1032,2571682.4
2010-01-14,NESTLEIND,,,2535,2595,2470,2568.2,330361,829295643.05
2010-01-15,NESTLEIND,,,2580,2580,2500.05,2513.5,8229,20970372.85
2010-01-18,NESTLEIND,,,2574,2574,2514,2536.15,883,2238188.9
2010-01-19,NESTLEIND,,,2567,2570,2531,2556.1,688,1760481.6
2010-01-20,NESTLEIND,,,2550,2575,2540,2542.5,641,1636038.5
2010-01-21,NESTLEIND,,,2539.9,2569,2499.9,2526.2,831,2109380.15
2010-01-22,NESTLEIND,,,2500,2530,2478,2529,681,1713680.4
2010-01-25,NESTLEIND,,,2665.35,2665.35,2510,2522.25,1955,4943576.7
2010-01-27,NESTLEIND,,,2570,2574.9,2498.6,2566.9,5302,13506872.55
2010-01-28,NESTLEIND,,,2568,2610,2535.5,2586.85,1048,2693702
2010-01-29,NESTLEIND,,,2526,2580,2526,2533,787,2011634
2010-02-01,NESTLEIND,,,2599.95,2599.95,2515.1,2532.2,614,1563502.7
2010-02-02,NESTLEIND,,,2599.1,2599.1,2540,2560.1,831,2131995.9
2010-02-03,NESTLEIND,,,2588,2600,2556,2564.6,8681,22393700.5
2010-02-04,NESTLEIND,,,2548,2583.8,2548,2568.35,442,1134602
2010-02-05,NESTLEIND,,,2582,2582,2442,2549.1,1651,4198864.85
2010-02-08,NESTLEIND,,,2570,2672,2570,2645.5,8181,21614899.85
2010-02-09,NESTLEIND,,,2600.1,2824,2600.1,2792.6,8861,24306575.15
2010-02-10,NESTLEIND,,,2802,3244,2738.6,2750.2,44699,125025528.75
2010-02-11,NESTLEIND,,,2819,2819,2726.1,2737.25,31881,88144293.15
2010-02-15,NESTLEIND,,,2815,2815,2614,2719.25,4504,12260329.2
2010-02-16,NESTLEIND,,,2792,2814.7,2697.05,2701.85,6120,16628102.3
2010-02-17,NESTLEIND,,,2705.15,2743,2681.4,2688.75,9981,27046473.4
2010-02-18,NESTLEIND,,,2688.75,2710,2645,2651.5,2203,5884105.85
