exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2010-04-23,,other,,,,,,Div-Fin Rs.12.5+Int Rs.9 Purpose Revised
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2010-11-03,2010-11-04,dividend,,,27,,,2nd Interim Dividend - Rs 27/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2011-04-21,,dividend,,,21.5,,,Final Dividend Rs.12.50/- Per Share And Interim Dividend Rs.9/- Per Share(Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2011-12-12,2011-12-13,dividend,,,27,,,2nd Interim Dividend Rs.27/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2012-03-21,,dividend,,,12.5,,,Annual General Meeting And Dividend - Rs.12.50/- Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2012-08-01,2012-08-02,dividend,,,18,,,Interim Dividend Rs 18 Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2012-12-12,2012-12-13,dividend,,,18,,,2nd Interim Dividend Rs.18/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2013-02-25,2013-02-26,dividend,,,12.5,,,Interim Dividend Rs 12.50 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2013-04-29,,agm,,,,,,Annual General Meeting
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2013-11-01,2013-11-05,dividend,,,18,,,2nd Interim Dividend Rs.18/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2014-05-15,,dividend,,,12.5,,,Annual General Meeting / Final Dividend - Rs 12.50/- Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2014-09-15,2014-09-16,dividend,,,30,,,2nd Interim Dividend Rs.30/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2014-12-08,2014-12-09,dividend,,,8,,,Third Interim Dividend - Rs 8/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2015-05-19,,dividend,,,26.5,,,Annual General Meeting/Final Dividend - Rs 12.50/- Per Share / Interim Dividend - Rs 14/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2015-12-11,2015-12-14,dividend,,,16,,,Interim Dividend-Rs 16/- Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2016-05-18,,dividend,,,30.5,,,Annual General Meeting/Final Dividend- Rs 18.50/- Per Share + Interim Dividend -Rs 12/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2016-08-05,2016-08-08,dividend,,,12,,,Interim Dividend - Re 12/- Per Share(Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2016-12-09,2016-12-13,dividend,,,16,,,Interim Dividend Rs 16/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2017-05-19,,dividend,,,38,,,Annual General Meeting/Dividend - Rs 23/- Per Share/Interim Dividend -Rs 15/- Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2017-08-02,2017-08-03,dividend,,,15,,,Interim Dividend Rs 15/- Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2017-12-11,2017-12-12,dividend,,,33,,,Interim Dividend - Rs 33/- Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2018-05-16,,dividend,,,43,,,Annual General Meeting/ Final Dividend - Rs 23 Per Share/ Interim Dividend - Rs 20 Per Share (Purpose Revised)
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2018-08-10,2018-08-13,dividend,,,20,,,Interim Dividend Rs 20 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2018-12-12,2018-12-13,dividend,,,50,,,Interim Dividend - Rs 50 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2019-04-30,,dividend,,,25,,,Annual General Meeting/ Dividend - Rs 25 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2019-05-06,2019-05-07,dividend,,,23,,,Interim Dividend - Rs 23 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2019-08-09,2019-08-13,dividend,,,203,,,Interim Dividend - Rs 23 Per Share/ Special Dividend - Rs180 Per Share
NSE,NESTLEIND,INE239A01016,Nestle India Limited,2019-12-10,2019-12-11,dividend,,,55,,,Interim Dividend - Rs 55 Per Share
