exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,NTPC,INE733E01010,NTPC Limited,2010-03-18,2010-03-19,other,,,,,,Int Div-Rs.3/- Per Share Purpose Revised
NSE,NTPC,INE733E01010,NTPC Limited,2010-09-08,,dividend,,,0.8,,,Annual General Meeting And Final Dividend Re.0.80 Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2011-02-04,2011-02-07,dividend,,,3,,,Interim Dividend-Rs.3/- Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2011-09-08,,dividend,,,0.8,,,Annual General Meeting And Dividend Re.0.80 Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2012-01-31,2012-02-01,dividend,,,3.5,,,Interim Dividend Rs.3.50 Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2012-09-06,,dividend,,,0.5,,,Annual General Meeting And Dividend Re.0.50 Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2013-03-01,2013-03-04,dividend,,,3.75,,,Interim Dividend Rs.3.75 Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2013-09-05,,dividend,,,2,,,Annual General Meeting/Final Dividend Re.0.75 Per Share And Special Dividend Rs.1.25 Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2014-01-31,2014-02-03,dividend,,,4,,,Interim Dividend - Rs 4/- Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2014-08-13,,dividend,,,1.75,,,Annual General Meeting / Final Dividend - Rs 1.75/- Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2015-02-04,2015-02-05,dividend,,,0.75,,,Interim Dividend - Re 0.75/- Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2015-03-20,2015-03-23,bonus,,,,,,Scheme Of Arrangement - Bonus Debentures 1:1
NSE,NTPC,INE733E01010,NTPC Limited,2015-09-03,,dividend,,,1.75,,,Annual General Meeting/ Dividend -  Rs 1.75/- Per Share
NSE,NTPC,INE733E01010,NTPC Limited,2016-02-05,2016-02-08,dividend,,,1.6,,,Interim Dividend - Rs 1.60/- Per Share (Purpose Revised)
NSE,NTPC,INE733E01010,NTPC Limited,2016-09-08,,dividend,,,1.75,,,Dividend - Rs 1.75 Per Share
