date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,ONGC,,,1177,1193,1176,1187.45,317627,377171630.85
2010-01-05,ONGC,,,1192.1,1215,1189.15,1208.25,776232,934217015.75
2010-01-06,ONGC,,,1212.1,1227,1207.2,1223.5,700615,854258284.55
2010-01-07,ONGC,,,1221,1234.9,1210,1224.8,1065756,1305555920.85
2010-01-08,ONGC,,,1225,1238.6,1210,1215.7,946442,1161218089
2010-01-11,ONGC,,,1230.35,1232.9,1213,1216.5,846341,1030880891.25
2010-01-12,ONGC,,,1205.5,1217.1,1187,1190.95,655492,784656347.95
2010-01-13,ONGC,,,1189,1206.45,1180,1195.3,532363,633664916.25
2010-01-14,ONGC,,,1201.95,1246.75,1197,1231.75,1430714,1765274139.75
2010-01-15,ONGC,,,1231.75,1237.4,1202.2,1209.8,1424450,1724111611.3
2010-01-18,ONGC,,,1208.7,1223,1201.15,1212.55,530375,642665765.2
2010-01-19,ONGC,,,1212,1216.9,1188,1196.8,971740,1161971524.6
2010-01-20,ONGC,,,1201.9,1214.8,1158,1161.15,1352219,1591655948.8
2010-01-21,ONGC,,,1165,1176.6,1131.1,1139.95,932365,1076745203.1
2010-01-22,ONGC,,,1129.4,1129.4,1100,1114.5,1746627,1943961974.85
2010-01-25,ONGC,,,1121.1,1126.8,1100.5,1121.05,561441,625942443.6
2010-01-27,ONGC,,,1114.4,1117.8,1102.8,1108.9,606291,672693683.6
2010-01-28,ONGC,,,1119,1133.6,1075,1102.35,1576260,1739794336
2010-01-29,ONGC,,,1101.1,1120,1090,1096.4,804619,884842677.7
2010-02-01,ONGC,,,1086,1108.75,1086,1101.55,449729,495543623.1
2010-02-02,ONGC,,,1110,1119.9,1092,1105.1,727018,801459024.45
2010-02-03,ONGC,,,1110.5,1141.1,1107,1133.8,505231,568156706.75
2010-02-04,ONGC,,,1139.95,1155,1125.3,1139.6,2138116,2436588125.95
2010-02-05,ONGC,,,1117.2,1127,1081.1,1087.65,1029542,1131534609.9
2010-02-08,ONGC,,,1084.9,1124.6,1074.1,1118.15,689218,757876083.9
2010-02-09,ONGC,,,1118.15,1128.85,1101.6,1106.25,450262,501309878.15
2010-02-10,ONGC,,,1111,1119,1084.75,1087,856976,938223260.05
2010-02-11,ONGC,,,1137,1137,1091,1100.25,555558,611439922.45
2010-02-15,ONGC,,,1101,1105.65,1078.15,1088.3,388192,421834396.8
2010-02-16,ONGC,,,1099.8,1110,1082.1,1103,406510,445437072.05
2010-02-17,ONGC,,,1114,1119,1095.15,1099.7,566407,627311855.6
2010-02-18,ONGC,,,1065,1109,1065,1103.5,539131,592516784.3
2010-02-19,ONGC,,,1094.95,1115,1087.75,1109.8,636833,704612084.35
2010-02-22,ONGC,,,1110,1120,1101.85,1107.5,663583,736072840.45
2010-02-23,ONGC,,,1103,1107,1092,1101.5,611179,672147868.2
2010-02-24,ONGC,,,1104.95,1107.85,1086.05,1101.25,344609,378454058
2010-02-25,ONGC,,,1101.25,1115.5,1090.05,1109.85,442896,488228041.8
2010-02-26,ONGC,,,1114.95,1133.6,1095,1117.6,836599,935989640.25
2010-03-02,ONGC,,,1120.1,1138.6,1102.6,1109.05,927884,1035627894.3
2010-03-03,ONGC,,,1113,1116.25,1088.6,1100.85,950879,1044140006.6
2010-03-04,ONGC,,,1092,1109,1090,1095.05,1065108,1165397472
2010-03-05,ONGC,,,1110,1110,1091,1094.5,1464437,1609884527
2010-03-08,ONGC,,,1105,1107.45,1098.55,1100.5,1091782,1202781713.5
2010-03-09,ONGC,,,1102.5,1105,1091,1096.2,593866,651171521.25
2010-03-10,ONGC,,,1091,1098.85,1083,1088.55,1205213,1316267930.25
2010-03-11,ONGC,,,1093,1093,1076.8,1083.75,798315,864578202.55
2010-03-12,ONGC,,,1085.25,1092.2,1081.1,1084.7,1122140,1217441385.15
2010-03-15,ONGC,,,1084.7,1087.25,1065.55,1069.8,429865,460218639.8
2010-03-16,ONGC,,,1077,1086.9,1067.35,1071.1,973439,1047051992.4
2010-03-17,ONGC,,,1079,1083.9,1070,1073.5,752020,811269740.3
2010-03-18,ONGC,,,1077.45,1077.45,1050,1054.2,1170057,1237927729.4
2010-03-19,ONGC,,,1058,1063,1045.15,1056.85,831004,873855249.15
2010-03-22,ONGC,,,1054,1069.2,1046.6,1059.15,691042,734322760.4
2010-03-23,ONGC,,,1062.25,1074.05,1058.3,1069.25,861409,919689180.5
2010-03-25,ONGC,,,1069,1070,1050.55,1056.65,1102967,1170016158.1
2010-03-26,ONGC,,,1060,1084,1060,1079.9,1197020,1290588973.4
2010-03-29,ONGC,,,1084.1,1098.9,1076.05,1093.05,487800,532222783.05
2010-03-30,ONGC,,,1096.5,1112.1,1092,1097.3,594149,655955318.35
2010-03-31,ONGC,,,1098.1,1111,1088.2,1098.7,1000780,1100869123.25
2010-04-01,ONGC,,,1101,1107,1079.75,1084.45,501226,544885700.4
2010-04-05,ONGC,,,1093,1110,1083.5,1096.95,420309,458599609.75
2010-04-06,ONGC,,,1097,1097,1078,1084.85,513289,556954846.6
2010-04-07,ONGC,,,1093.95,1096,1078.1,1082.9,499608,541668080.75
2010-04-08,ONGC,,,1086.7,1086.7,1057.1,1061.6,841797,898052200.35
2010-04-09,ONGC,,,1061,1072.5,1060.5,1063.8,499348,532259855.8
2010-04-12,ONGC,,,1074.5,1074.85,1045,1052.9,405461,427852685.55
2010-04-13,ONGC,,,1050.25,1060,1037.7,1040.35,701351,731877975.45
2010-04-15,ONGC,,,1045.3,1059,1037.5,1039.65,780411,814081071.3
2010-04-16,ONGC,,,1041,1041.9,1028.6,1031.4,468902,483799879.8
2010-04-19,ONGC,,,1025,1029,999.1,1003.8,1074953,1082599654.3
2010-04-20,ONGC,,,1014,1020,1000.65,1002.5,908610,918835090.45
2010-04-21,ONGC,,,1005.1,1013.8,999.95,1009.7,701278,706327692.7
2010-04-22,ONGC,,,1006,1028.2,996,1015.1,1125110,1135548242.55
2010-04-23,ONGC,,,1014,1024.7,1008,1017.9,687632,699063159.55
2010-04-26,ONGC,,,1005.1,1028.75,1002,1017.75,492987,502957013.7
2010-04-27,ONGC,,,1026.9,1049,1016,1044.9,816962,849135898.4
2010-04-28,ONGC,,,1040,1048,1026.1,1040.1,565603,587058658.65
2010-04-29,ONGC,,,1042,1051.85,1033.2,1046.85,696081,725746231.95
2010-04-30,ONGC,,,1050,1061.2,1034,1054.8,2123429,2232466525.65
