date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,RELIANCE,,,1091.1,1091.1,1021.85,1075.5,17520006,18298628322.9
2010-01-05,RELIANCE,,,1149.9,1149.9,1065.4,1070.7,4890040,5271634145.3
2010-01-06,RELIANCE,,,1079.9,1094.5,1070.65,1088,5415538,5873928244.6
2010-01-07,RELIANCE,,,1088,1115,1078,1106.05,5988404,6608116095.35
2010-01-08,RELIANCE,,,1108,1113.8,1096,1103.15,3453926,3815856311.45
2010-01-11,RELIANCE,,,1134.7,1149.7,1050,1081.5,43122135,45704342083.4
2010-01-12,RELIANCE,,,1095,1137.3,1077,1084.35,7495359,8186240369.85
2010-01-13,RELIANCE,,,1088,1092,1068.6,1088.6,3511078,3809736764.8
2010-01-14,RELIANCE,,,1086,1124.8,1086,1121.7,5610718,6249434087.35
2010-01-15,RELIANCE,,,1125.8,1138.9,1105.05,1110.75,4289733,4804503086.15
2010-01-18,RELIANCE,,,1107,1116.45,1091.95,1099.5,3239525,3581595518.05
2010-01-19,RELIANCE,,,1100,1106.05,1082.65,1085,2986363,3271918903.4
2010-01-20,RELIANCE,,,1095,1097.1,1072,1077.5,4418747,4791307048.8
2010-01-21,RELIANCE,,,1075,1077,1050.25,1054.05,4254235,4520472401.4
2010-01-22,RELIANCE,,,1041,1071,1029.5,1053.85,9113512,9597357852.85
2010-01-25,RELIANCE,,,1049.65,1054.4,1036.7,1042.05,3061478,3200781866.7
2010-01-27,RELIANCE,,,1034,1050,1020,1027.55,5678803,5864258165.5
2010-01-28,RELIANCE,,,1040,1046.45,1025,1037.15,7594324,7877958215
2010-01-29,RELIANCE,,,1032.9,1051.8,1018.1,1046.2,5333541,5521463818.4
2010-02-01,RELIANCE,,,1037.5,1055,1035.55,1045.4,2773369,2902438209.2
2010-02-02,RELIANCE,,,1052,1056.35,1024.1,1027.3,3942831,4090406190.4
2010-02-03,RELIANCE,,,1031.1,1048.4,1031.1,1033.95,3440695,3575495326.55
2010-02-04,RELIANCE,,,1038,1038,1014,1019.15,2737193,2812294718.4
2010-02-05,RELIANCE,,,975,1007.75,975,981.7,6830723,6766808195.35
2010-02-08,RELIANCE,,,985,1004.35,975,994.35,5919146,5848001751.55
2010-02-09,RELIANCE,,,993.75,998,982.7,993.25,3266918,3240343414.85
2010-02-10,RELIANCE,,,999.9,999.9,982,985.1,4174214,4130005663.35
2010-02-11,RELIANCE,,,989.25,1019.8,988.5,1015.15,5360299,5381468311.1
2010-02-15,RELIANCE,,,1027,1027,1007.6,1010,3085557,3135328369
