date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,SBIN,,,2275,2300,2275,2291.2,1103147,2527598934.65
2010-01-05,SBIN,,,2308,2310,2280.1,2292.05,1161374,2662775673.75
2010-01-06,SBIN,,,2297,2315,2285,2305.8,1452793,3343920269
2010-01-07,SBIN,,,2306,2310,2281.1,2292.9,857651,1965618310.7
2010-01-08,SBIN,,,2294,2303.9,2280.1,2286.05,1045382,2392960853.15
2010-01-11,SBIN,,,2297,2312.7,2263.25,2267.2,1414534,3238639760.95
2010-01-12,SBIN,,,2267,2270,2196.2,2203.2,2291772,5088262712.65
2010-01-13,SBIN,,,2195,2195,2158.1,2175.9,2171969,4720134116.25
2010-01-14,SBIN,,,2188,2199,2145.55,2157.35,2072399,4508974437.35
2010-01-15,SBIN,,,2168,2178.4,2136.8,2143.35,2061192,4435696255.25
2010-01-18,SBIN,,,2175,2183.05,2142.8,2156.4,1922217,4159385915.9
2010-01-19,SBIN,,,2169.8,2187,2157,2173.1,1227707,2666960744.55
2010-01-20,SBIN,,,2184,2186.6,2152.55,2159.85,1683072,3647947838.9
2010-01-21,SBIN,,,2159,2161.3,2112.3,2124.1,1926547,4122325222.75
2010-01-22,SBIN,,,2100.15,2106.5,2053.05,2087.35,2719318,5674787001.05
2010-01-25,SBIN,,,2055.55,2137,2055.55,2091.6,1537804,3224797720.85
2010-01-27,SBIN,,,2060,2068.4,1971.1,1987.65,3806891,7625764678.15
2010-01-28,SBIN,,,2100,2100,1991,2003.25,2795246,5637075905.3
2010-01-29,SBIN,,,1990,2067.4,1955.05,2056.6,4648719,9345875760.8
2010-02-01,SBIN,,,2148,2148,2015.5,2021.25,2204716,4470863715.7
2010-02-02,SBIN,,,2030.2,2045.2,1974.15,1978.35,2408626,4817308370.85
2010-02-03,SBIN,,,1986.3,2015.9,1983.5,1998.8,3045071,6090732845.75
2010-02-04,SBIN,,,1996,1996.7,1940,1947.9,3535712,6936577835.9
2010-02-05,SBIN,,,1930,1930,1863.1,1897.8,2687883,5085532200.85
2010-02-08,SBIN,,,1900,1947.8,1883.65,1936.55,1888513,3623301343.7
2010-02-09,SBIN,,,1931,1958,1925,1950.3,1383698,2691356343.95
2010-02-10,SBIN,,,1970,1970,1895,1911.85,1973193,3802708597.45
2010-02-11,SBIN,,,1923.9,1940,1911,1917.65,1242794,2392101450.75
2010-02-15,SBIN,,,1925,1925,1886.3,1895,1332501,2529710057.6
2010-02-16,SBIN,,,1914,1925,1895,1920.6,807015,1541810369.15
2010-02-17,SBIN,,,1935,1962.5,1927.25,1956.85,1346836,2620231783.5
2010-02-18,SBIN,,,1957.9,1960,1927.3,1942.4,1310323,2541733540.8
2010-02-19,SBIN,,,1925,1934,1890.05,1905.3,1586302,3020100081.9
