date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,SUNPHARMA,,,1538,1538,1501.1,1507.35,83117,125665311.5
2010-01-05,SUNPHARMA,,,1522,1558.8,1513.05,1552.65,123199,188624605.8
2010-01-06,SUNPHARMA,,,1555.05,1581.5,1532.1,1572.8,188249,294586839.2
2010-01-07,SUNPHARMA,,,1578.95,1578.95,1533.35,1548.85,92310,143754460.35
2010-01-08,SUNPHARMA,,,1555.8,1605,1550.05,1574.95,329808,521299132.45
2010-01-11,SUNPHARMA,,,1585.7,1594.4,1564.85,1574.7,103297,162609593.8
2010-01-12,SUNPHARMA,,,1574.7,1589.8,1548,1571.8,153408,240369965.5
2010-01-13,SUNPHARMA,,,1555,1573.65,1528.35,1547.8,93488,144561936.3
2010-01-14,SUNPHARMA,,,1570,1581,1550.25,1559.5,152030,237533188.75
2010-01-15,SUNPHARMA,,,1555,1567.5,1520,1525.1,116556,178651045.7
2010-01-18,SUNPHARMA,,,1525,1547.85,1510,1516.45,156122,239098730.6
2010-01-19,SUNPHARMA,,,1527,1527,1473.1,1485.9,85262,127780897.8
2010-01-20,SUNPHARMA,,,1480.05,1493.8,1465.8,1473.35,159656,235517401.8
2010-01-21,SUNPHARMA,,,1473,1493.8,1455,1464.85,141740,210008340.65
2010-01-22,SUNPHARMA,,,1450,1450,1400,1432,342349,488900103
2010-01-25,SUNPHARMA,,,1444.5,1456,1400,1444.5,219632,316162389.95
2010-01-27,SUNPHARMA,,,1436,1444.85,1402.9,1421,276758,393320652.6
2010-01-28,SUNPHARMA,,,1425,1489.95,1410.1,1446.2,339969,492977998.55
2010-01-29,SUNPHARMA,,,1420,1525,1420,1473.05,331405,480282698.85
2010-02-01,SUNPHARMA,,,1446.25,1524.9,1433.6,1506.5,268844,402089015.5
2010-02-02,SUNPHARMA,,,1518,1538.05,1485.1,1513.6,293951,445840340.6
2010-02-03,SUNPHARMA,,,1516,1535,1497.1,1501.45,122459,185952745.5
2010-02-04,SUNPHARMA,,,1512,1515,1470,1499.15,537830,806492296.85
2010-02-05,SUNPHARMA,,,1490,1499.7,1456,1473.9,362552,537828697.65
2010-02-08,SUNPHARMA,,,1498,1523,1471.1,1511.75,183397,274332645.4
2010-02-09,SUNPHARMA,,,1518,1551,1495,1542.35,162663,249280458.25
2010-02-10,SUNPHARMA,,,1535,1535.95,1503,1509.55,139032,211128841.35
2010-02-11,SUNPHARMA,,,1519,1534.5,1510,1520.35,84135,127885167.4
2010-02-15,SUNPHARMA,,,1518.85,1539.95,1506,1528.1,79053,120841251.8
2010-02-16,SUNPHARMA,,,1530.15,1563,1527.6,1544.45,168625,260746824.25
2010-02-17,SUNPHARMA,,,1543,1570,1529.1,1541.75,142758,222057407.15
2010-02-18,SUNPHARMA,,,1559,1559,1533.1,1545.1,49146,76025430.2
2010-02-19,SUNPHARMA,,,1532.1,1563.7,1517.15,1549.85,123427,190070971.9
2010-02-22,SUNPHARMA,,,1562,1566.8,1531.2,1535.8,58991,91388257.65
2010-02-23,SUNPHARMA,,,1535,1578.6,1535,1570.4,166449,260753030.6
2010-02-24,SUNPHARMA,,,1566,1571.9,1522,1527.5,154611,238462451
2010-02-25,SUNPHARMA,,,1520,1545,1505,1520.65,176306,267981436.6
2010-02-26,SUNPHARMA,,,1518,1579,1509,1539.7,160374,248087510.5
2010-03-02,SUNPHARMA,,,1547,1567.9,1531.15,1551.45,161666,250798395.25
2010-03-03,SUNPHARMA,,,1542,1578.5,1530.05,1561.85,265443,414788166.6
2010-03-04,SUNPHARMA,,,1558.5,1595,1550.15,1586.8,124995,196809598.55
2010-03-05,SUNPHARMA,,,1585,1618.2,1570.25,1612.7,143204,228769398.55
2010-03-08,SUNPHARMA,,,1620,1649.8,1611,1639.65,162210,265505921.35
2010-03-09,SUNPHARMA,,,1635,1662,1630.2,1654.8,132180,218432639.25
2010-03-10,SUNPHARMA,,,1655,1662,1640,1643.7,84676,139507769.6
2010-03-11,SUNPHARMA,,,1635.05,1705.9,1635.05,1693.15,226497,379549065.7
2010-03-12,SUNPHARMA,,,1700,1710,1644.95,1655.55,311646,523733630.95
2010-03-15,SUNPHARMA,,,1650,1663,1613.5,1623.05,166715,271731757.7
2010-03-16,SUNPHARMA,,,1638,1679.8,1613,1672.55,112645,185836492.65
2010-03-17,SUNPHARMA,,,1688,1722.9,1662,1687.75,259411,439166998
2010-03-18,SUNPHARMA,,,1687.25,1705.25,1685.25,1697.8,107876,182820291.3
2010-03-19,SUNPHARMA,,,1700,1704.8,1675,1698.1,123728,209401805.9
2010-03-22,SUNPHARMA,,,1682,1709,1676.1,1705.95,96197,163357256.1
2010-03-23,SUNPHARMA,,,1710,1717.95,1681.2,1690.35,138800,235039625.6
2010-03-25,SUNPHARMA,,,1690,1770,1690,1749.85,320256,554611212.8
2010-03-26,SUNPHARMA,,,1755,1785,1740.5,1769.7,139831,247464509.55
