date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,TATASTEEL,,,622,636.5,616.9,633.75,5569757,3501787576.85
2010-01-05,TATASTEEL,,,638.55,654.8,638.55,649.1,7801935,5060915931.75
2010-01-06,TATASTEEL,,,660,660,637,642.05,7350435,4743348971.15
2010-01-07,TATASTEEL,,,644.9,652.8,640.1,649.8,7635704,4936949381.15
2010-01-08,TATASTEEL,,,651,661.5,640.9,648.45,8199586,5335209123.35
2010-01-11,TATASTEEL,,,650,655.9,645.2,648.5,6640749,4323267657.1
2010-01-12,TATASTEEL,,,641.5,648.75,623.85,625.55,6832387,4337976765.35
2010-01-13,TATASTEEL,,,615,641.8,615,639.25,10315049,6516620937.45
2010-01-14,TATASTEEL,,,644.75,651.2,641.55,647.7,6642444,4291637325.7
2010-01-15,TATASTEEL,,,650,650.95,640,645.15,4292540,2766776693.55
2010-01-18,TATASTEEL,,,642,642,630.75,637.5,5948930,3782507345.6
2010-01-19,TATASTEEL,,,636,645.6,632,637.65,5015647,3207006885.35
2010-01-20,TATASTEEL,,,638,657.4,638,653.7,7929039,5145104382.25
2010-01-21,TATASTEEL,,,649.5,659.5,642.25,648,10916900,7108483682.7
2010-01-22,TATASTEEL,,,641.1,641.1,617,624.55,8780340,5496902317.25
2010-01-25,TATASTEEL,,,620,625.7,606.9,609.9,5328645,3270058827.2
2010-01-27,TATASTEEL,,,599.9,605.7,553.25,559.65,10905233,6303503713.75
2010-01-28,TATASTEEL,,,566,589.4,565,585.4,12582874,7251186530.45
2010-01-29,TATASTEEL,,,578,581,551.7,569.1,11590124,6560178436.15
2010-02-01,TATASTEEL,,,560,584.8,557.95,579.85,6917219,3982528232.55
2010-02-02,TATASTEEL,,,585,594.6,570.65,573.3,9193208,5364664914.65
2010-02-03,TATASTEEL,,,578,603.6,577.1,600.4,9026480,5367685069.7
2010-02-04,TATASTEEL,,,596,596,574,577.7,6958982,4072595007.75
2010-02-05,TATASTEEL,,,540,561.5,540,550.2,8789441,4841837916.2
2010-02-08,TATASTEEL,,,550,565.9,528.1,533.85,14263921,7704250274.05
2010-02-09,TATASTEEL,,,531,542.2,530,533.55,7347298,3942083115.5
2010-02-10,TATASTEEL,,,536,544.7,519.3,522.45,6927734,3707762079.15
2010-02-11,TATASTEEL,,,524.85,538.35,524.85,533.95,6424782,3421186136.6
2010-02-15,TATASTEEL,,,537.5,544.5,530.6,539.9,7261457,3906330588.2
2010-02-16,TATASTEEL,,,542,552,540.05,550.1,6424900,3517445289.4
2010-02-17,TATASTEEL,,,545.1,586.3,545.1,584.35,9588185,5548523656.55
2010-02-18,TATASTEEL,,,584,587,570.1,577.15,4882515,2809336954.95
2010-02-19,TATASTEEL,,,568,572.4,556.55,560.75,7575148,4269068757.65
2010-02-22,TATASTEEL,,,568,580.4,567,572.75,5758609,3305403484.6
2010-02-23,TATASTEEL,,,567.1,580.4,565.1,575.5,5695239,3267472245.8
2010-02-24,TATASTEEL,,,572,574.8,563.55,567.3,5146093,2930313092.8
2010-02-25,TATASTEEL,,,569,574,560.05,569.25,4366133,2470806996.15
2010-02-26,TATASTEEL,,,570,592.3,564,574.35,5474152,3165251257.2
2010-03-02,TATASTEEL,,,581.15,610.75,581.15,608.9,6672759,4011775179.75
2010-03-03,TATASTEEL,,,610,617.3,604.3,608.2,6214107,3800939742.6
2010-03-04,TATASTEEL,,,610,620.6,603.1,617.55,7308328,4472619192.95
2010-03-05,TATASTEEL,,,620,627.5,616,618.1,4629661,2878780399.45
2010-03-08,TATASTEEL,,,623.65,628,616.75,621.75,4379701,2725787845.85
2010-03-09,TATASTEEL,,,620,622.35,611,614.7,3760466,2314832471.25
2010-03-10,TATASTEEL,,,616.05,619.7,602.5,612.2,3534798,2161503765.05
2010-03-11,TATASTEEL,,,612,615,602.4,608.3,3344042,2030584972.55
2010-03-12,TATASTEEL,,,610,613.9,603.65,607.55,4003456,2436159697.25
2010-03-15,TATASTEEL,,,605.2,616.9,604.15,610.05,3397854,2081759573.2
2010-03-16,TATASTEEL,,,610.9,631,608.25,627.2,4462541,2760956425.95
2010-03-17,TATASTEEL,,,536,643.5,536,632.1,5722422,3644988555.1
2010-03-18,TATASTEEL,,,635,641.65,630.1,639.2,4070479,2587585601.15
2010-03-19,TATASTEEL,,,640.5,645.5,636.35,644.25,3444527,2210059566.2
2010-03-22,TATASTEEL,,,636.15,643.7,626.65,629.05,3846658,2446529301.4
2010-03-23,TATASTEEL,,,632,640.25,628.6,637.95,3779833,2403432714.9
2010-03-25,TATASTEEL,,,637,640.9,624.55,638.2,4284271,2715560357.7
2010-03-26,TATASTEEL,,,640,650,636.3,644.1,3672833,2370923128.6
2010-03-29,TATASTEEL,,,639.8,650.85,636.4,643.55,2553963,1651146448.05
2010-03-30,TATASTEEL,,,645,650,632.1,634.75,3017309,1941111895.7
2010-03-31,TATASTEEL,,,635,639.6,626.1,632.05,3943798,2495035312.6
2010-04-01,TATASTEEL,,,636,654,635.2,652.2,4256033,2749332826.35
2010-04-05,TATASTEEL,,,655.2,679.8,655.2,678.5,6019755,4037061574.05
2010-04-06,TATASTEEL,,,681.5,694.9,673,687.6,5850879,4003513431.15
2010-04-07,TATASTEEL,,,690,692.8,677.5,685.65,3908562,2678862055.8
2010-04-08,TATASTEEL,,,680,739,668.2,671.25,3890652,2632678898.1
2010-04-09,TATASTEEL,,,674,686,671.2,676.2,3158059,2144434164.95
2010-04-12,TATASTEEL,,,678,688.4,670.5,684.25,4104603,2800489393.9
2010-04-13,TATASTEEL,,,682.45,693.5,675.55,691.95,5211657,3572218917.75
2010-04-15,TATASTEEL,,,695.9,701.3,678.1,686.1,5249737,3643070975.2
2010-04-16,TATASTEEL,,,684,698.3,676,695.7,4318168,2966672070.95
2010-04-19,TATASTEEL,,,682.7,688,662.45,669.8,6370332,4275300565.45
2010-04-20,TATASTEEL,,,673,685,665.5,670.85,4387411,2946789312.85
2010-04-21,TATASTEEL,,,673.1,679.8,665.7,668.85,3137485,2107906176.25
2010-04-22,TATASTEEL,,,665.1,673.45,649.7,655.3,6551436,4338616026
2010-04-23,TATASTEEL,,,656,662.7,643.05,648.35,6395052,4160204648.3
2010-04-26,TATASTEEL,,,650,664.7,650,656.85,4236696,2794161926.75
2010-04-27,TATASTEEL,,,655.1,657.7,646.35,647.5,3649476,2378657412.65
2010-04-28,TATASTEEL,,,644,644,622.35,624.35,5097550,3216113637.25
2010-04-29,TATASTEEL,,,628,640.6,626.3,632.65,5230105,3319291171.45
2010-04-30,TATASTEEL,,,640.5,644,615,618.85,7474309,4687539220.05
2010-05-03,TATASTEEL,,,610,617.85,604,607.05,5477207,3345287822.2
2010-05-04,TATASTEEL,,,607,629.85,572.15,577.85,8712154,5167300384.75
2010-05-05,TATASTEEL,,,570,577.4,555.7,573.1,11731479,6635583377.3
2010-05-06,TATASTEEL,,,573,579.9,561.2,575.9,8053523,4604581651.9
2010-05-07,TATASTEEL,,,560,569,552.45,558.35,7095954,3977247808.6
2010-05-10,TATASTEEL,,,598.9,606,564,601.45,7652080,4501547959.4
2010-05-11,TATASTEEL,,,605,608.8,579,582.05,9110721,5398883603.7
2010-05-12,TATASTEEL,,,582,588,572,584.45,6387978,3710826661.3
2010-05-13,TATASTEEL,,,585,593.65,571.55,575.1,5536496,3223928852.2
2010-05-14,TATASTEEL,,,574,574,545.5,547.95,8098780,4523495455.8
2010-05-17,TATASTEEL,,,532.55,540.8,523,536.35,10980267,5829346534.35
2010-05-18,TATASTEEL,,,538.8,541.3,527.5,530.3,9404348,5017739655.9
2010-05-19,TATASTEEL,,,525,529.5,510.35,512.5,10840352,5641913122.8
2010-05-20,TATASTEEL,,,515,522,504,508.15,8859344,4545686556.95
2010-05-21,TATASTEEL,,,497.5,513,487.3,509.25,12330468,6158276522.5
2010-05-24,TATASTEEL,,,516,524,495.1,501.05,6739616,3457625164.55
2010-05-25,TATASTEEL,,,495,495,474.25,476.65,10992461,5323012345.8
2010-05-26,TATASTEEL,,,478,498.15,477.1,484.45,12786725,6198490765.75
2010-05-27,TATASTEEL,,,483,497.4,473.55,492.35,18578867,9030778295.85
2010-05-28,TATASTEEL,,,500,508.5,490.05,496.85,14624253,7324390188.85
