exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2010-01-27,2010-01-28,other,,,,,,3rd Int Div-Rs.2/- Pr Shr
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2010-06-15,,dividend,,,14,,,Final Dividend Rs.4/- Per Share And Special Dividend Rs.10/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2010-07-29,2010-07-30,dividend,,,2,,,Interim Dividend Rs.2/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2010-11-01,2010-11-02,dividend,,,2,,,2nd Interim Dividend-Rs.2/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2011-01-27,2011-01-28,dividend,,,2,,,3rd Interim Dividend-Rs.2/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2011-06-08,,dividend,,,8,,,Dividend-Rs.8/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2011-07-28,2011-07-29,dividend,,,3,,,Interim Dividend Rs.3/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2011-10-25,2011-10-29,dividend,,,3,,,Interim Dividend - Rs. 3/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2012-01-25,2012-01-28,dividend,,,3,,,3rd Interim Dividend Rs.3/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2012-06-07,,dividend,,,16,,,Annual General Meeting / Final Dividend - Rs.8/- / Special Dividend - Rs.8/-
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2012-07-23,2012-07-24,dividend,,,3,,,Interim Dividend Rs.3/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2012-10-31,2012-11-01,dividend,,,3,,,2nd Interim Dividend Rs 3 Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2013-01-23,2013-01-24,dividend,,,,,,Interim Dividend 3 Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2013-06-06,,dividend,,,13,,,Annual General Meeting And Dividend Rs.13/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2013-07-29,2013-07-30,dividend,,,4,,,Interim Dividend - Rs 4/- Per Equity Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2013-10-25,2013-10-28,dividend,,,4,,,2nd Interim Dividend Rs.4/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2014-01-27,2014-01-28,dividend,,,4,,,Interim Dividend Rs.4/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2014-06-06,,dividend,,,20,,,Annual General Meeting / Dividend - Rs. 20/- Per Equity Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2014-07-28,2014-07-30,dividend,,,45,,,Interim Dividend - Rs 5/- Per Share + Special Dividend - Rs 40/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2014-10-29,2014-10-30,dividend,,,5,,,2nd Interim Dividend Rs.5/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2015-01-27,2015-01-28,dividend,,,5,,,Third Interim Dividend - Rs 5/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2015-06-05,,dividend,,,24,,,Annual General Meeting /Dividend - Rs 24/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2015-07-20,2015-07-21,dividend,,,5.5,,,Interim Dividend - Rs 5.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2015-10-23,2015-10-26,dividend,,,5.5,,,Interim Dividend - Rs 5.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2016-01-21,2016-01-22,dividend,,,5.5,,,Interim Dividend - Rs 5.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2016-06-06,,dividend,,,27,,,Annual General Meeting/Dividend Rs 27/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2016-07-25,2016-07-26,dividend,,,6.5,,,Interim Dividend - Rs 6.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2016-10-24,2016-10-25,dividend,,,6.5,,,Interim Dividend- Rs 6.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2017-01-23,2017-01-24,dividend,,,6.5,,,Interim Dividend Rs 6.50 Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2017-05-05,2017-05-08,buyback,,,,,,Buyback
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2017-06-13,,dividend,,,27.5,,,Annual General Meeting/Dividend - Rs 27.50/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2017-07-24,2017-07-25,dividend,,,7,,,Interim Dividend - Rs 7/- Per Share
NSE,TCS,INE467B01029,Tata Consultancy Services Limited,2017-10-25,2017-10-26,dividend,,,7,,,Interim Dividend Rs 7/- Per Share
