date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,TITAN,,,1425,1449,1407.2,1421.5,24544,34865853.4
2010-01-05,TITAN,,,1449,1462,1424,1450.65,64133,92939778.1
2010-01-06,TITAN,,,1471,1488,1465,1474,65925,97270988.8
2010-01-07,TITAN,,,1465,1533,1465,1510.65,160917,242846655.45
2010-01-08,TITAN,,,1525,1525,1456.55,1496.7,23912,35817266
2010-01-11,TITAN,,,1520,1520,1478.9,1484.6,20314,30390458.75
2010-01-12,TITAN,,,1504.9,1504.9,1474,1480.8,19693,29361929.25
2010-01-13,TITAN,,,1480,1491,1460,1469.3,26264,38649778.3
2010-01-14,TITAN,,,1484.5,1524.9,1477,1517.3,56431,85155553.2
2010-01-15,TITAN,,,1520,1529.9,1496.6,1515.65,32970,49997288.4
2010-01-18,TITAN,,,1529,1529,1486,1505.8,11959,18049406.45
2010-01-19,TITAN,,,1476.6,1568,1411,1534.15,112559,174534339.15
2010-01-20,TITAN,,,1547,1580,1536,1555.55,127497,198124352.1
2010-01-21,TITAN,,,1556.5,1559.7,1508,1524.1,43412,66678433.55
2010-01-22,TITAN,,,1495,1528.9,1436,1520.65,27865,41627207.7
2010-01-25,TITAN,,,1501.1,1513.5,1490,1502.65,14343,21508687.65
2010-01-27,TITAN,,,1473.6,1514,1473.6,1498.75,38845,57765697.75
2010-01-28,TITAN,,,1470,1539,1456.05,1524.65,75162,111988548.5
2010-01-29,TITAN,,,1515,1530,1475,1500.9,22107,33050468.05
2010-02-01,TITAN,,,1525,1727,1524.75,1708.5,373420,621138288.85
2010-02-02,TITAN,,,1715,1740,1658,1670.25,158146,267904520.75
2010-02-03,TITAN,,,1680,1777,1678,1732.85,296856,518551924.85
2010-02-04,TITAN,,,1748,1775,1677.1,1702.4,196283,340746819.35
2010-02-05,TITAN,,,1670,1719,1650.45,1682.65,124577,210147315.55
2010-02-08,TITAN,,,1709,1739,1676.55,1700.35,112866,192329536.2
2010-02-09,TITAN,,,1708.8,1723.7,1685.15,1701.3,82786,141142933.9
2010-02-10,TITAN,,,1709,1780,1709,1723.65,203996,356360936.4
2010-02-11,TITAN,,,1740.4,1755,1718.3,1737.2,80234,139221604.65
2010-02-15,TITAN,,,1728.95,1753.5,1711.35,1717,34625,59919029.8
2010-02-16,TITAN,,,1740,1742,1712.1,1727.5,23264,40194600.2
2010-02-17,TITAN,,,1739,1819,1733.3,1797.25,213417,380503434.85
2010-02-18,TITAN,,,1795,1850,1790.05,1825.65,208558,382359395.3
2010-02-19,TITAN,,,1800,1847,1795.1,1811.55,68911,125428541.45
2010-02-22,TITAN,,,1829.9,1853.55,1755,1763.1,173619,312583045.7
2010-02-23,TITAN,,,1750,1774,1728.6,1747.4,171298,300008802.7
2010-02-24,TITAN,,,1730,1762,1725,1735.6,41359,72173269.05
2010-02-25,TITAN,,,1725,1749.7,1718,1723.55,52990,91738352.9
2010-02-26,TITAN,,,1737.8,1774,1701.55,1746.25,116519,203903415.15
2010-03-02,TITAN,,,1768,1800,1760.05,1791.45,54525,97379981.2
2010-03-03,TITAN,,,1797.4,1827,1797.4,1814.2,42772,77546613.4
2010-03-04,TITAN,,,1816,1877.9,1808,1867.35,135134,250794241.45
2010-03-05,TITAN,,,1880,1902,1822.5,1830.5,104248,194166686.5
2010-03-08,TITAN,,,1849,1859,1805.05,1810.2,86205,156705904.5
2010-03-09,TITAN,,,1810,1834.9,1792.05,1814.4,82861,150566167.7
2010-03-10,TITAN,,,1801.05,1842,1792.05,1798.75,103177,187733815.8
2010-03-11,TITAN,,,1767,1825,1767,1812.1,52475,94405428.6
2010-03-12,TITAN,,,1817.9,1832.95,1796.3,1803.9,81268,147381493.7
2010-03-15,TITAN,,,1797,1814.9,1785,1790.85,48339,86811623.35
2010-03-16,TITAN,,,1810,1812.8,1786.55,1802.15,73883,133153616.3
2010-03-17,TITAN,,,1805,1848,1797.35,1807.45,119386,218332243.3
2010-03-18,TITAN,,,1834,1834,1808,1811.95,42566,77396447.6
2010-03-19,TITAN,,,1821,1847.5,1811,1823.5,47550,86938478.65
2010-03-22,TITAN,,,1800,1825,1781.35,1787.35,41769,75185440.2
2010-03-23,TITAN,,,1797.4,1820,1773.65,1780.85,60985,109183146.85
2010-03-25,TITAN,,,1777.1,1807.85,1765.8,1775.35,125499,223204953.55
2010-03-26,TITAN,,,1785,1833.8,1785,1816.7,71067,129034815.5
2010-03-29,TITAN,,,1825,1852,1815,1847.35,69728,128344597.6
2010-03-30,TITAN,,,1860,1865,1830,1832.5,49592,91588855.9
2010-03-31,TITAN,,,1821,1853,1821,1840.6,63928,117732579.2
2010-04-01,TITAN,,,1840,1879,1838,1872.6,63460,118168535.2
2010-04-05,TITAN,,,1894.9,1894.9,1861,1871.55,36710,68840612.1
2010-04-06,TITAN,,,1880,1880,1852,1870.65,20217,37683714.8
2010-04-07,TITAN,,,1880,1890,1865,1880.3,104009,195557883.35
2010-04-08,TITAN,,,1884.8,1921.8,1870.3,1886.45,84591,160711164.7
2010-04-09,TITAN,,,1930,1930,1890.05,1905.5,29551,56369371.6
2010-04-12,TITAN,,,1909,1918.8,1890,1906.2,21046,40127569
2010-04-13,TITAN,,,1902,1933,1891,1905.95,47752,91305147.05
2010-04-15,TITAN,,,1905.95,1980,1905.95,1964.45,154407,301764316.15
2010-04-16,TITAN,,,1970,2068.7,1960.1,2056.1,319144,644663332.6
2010-04-19,TITAN,,,2023.1,2078.35,2015.2,2051.25,169899,349196113.8
2010-04-20,TITAN,,,2060,2067.8,2036.6,2049.7,56811,116237079.8
2010-04-21,TITAN,,,2049.7,2074,2038.2,2052.35,35578,73135934.1
2010-04-22,TITAN,,,2035.2,2055,2025.25,2047.85,35036,71584800.9
2010-04-23,TITAN,,,2035.2,2088,2032,2065.75,82663,171194776.6
2010-04-26,TITAN,,,2080,2087,2047,2063.2,37180,76914317.4
2010-04-27,TITAN,,,2064.9,2078.2,2051,2068.5,55297,114492568.3
2010-04-28,TITAN,,,2045.25,2068.7,2030,2049.25,69164,141993585.2
2010-04-29,TITAN,,,2057.75,2123.9,2040,2108.9,172825,361977870.65
2010-04-30,TITAN,,,2126,2158,2121.6,2129.25,95894,204970380.6
2010-05-03,TITAN,,,2145,2207.4,2110,2189.75,302439,660983520.7
2010-05-04,TITAN,,,2198,2199.1,2131,2145.65,96087,209250188.1
2010-05-05,TITAN,,,2140,2229.95,2096,2194.8,162344,354837552.7
2010-05-06,TITAN,,,2198,2208,2152,2171.55,137715,300146233.8
2010-05-07,TITAN,,,2168,2202,2113,2159,62902,135759009.8
2010-05-10,TITAN,,,2170,2209.95,2145.25,2177.85,55308,120574499.9
2010-05-11,TITAN,,,2170,2190,2132.6,2168.25,45902,99411770.7
2010-05-12,TITAN,,,2123.6,2204.4,2100,2168.75,69178,151080749.65
2010-05-13,TITAN,,,2172.15,2254,2165,2236.05,190042,421356088.65
2010-05-14,TITAN,,,2246,2294,2240,2278.55,130605,296732184.6
2010-05-17,TITAN,,,2262,2268,2205,2250.2,53817,120373976.2
2010-05-18,TITAN,,,2270,2327.2,2256.65,2305.55,101227,232999793.05
2010-05-19,TITAN,,,2290,2298.9,2252.55,2261.55,43621,99023548
2010-05-20,TITAN,,,2267,2289,2229.35,2251.55,26674,60435284
2010-05-21,TITAN,,,2220,2248,2166.05,2236.6,32170,71507116.1
2010-05-24,TITAN,,,2338,2338,2216,2228.7,24701,55413379.7
2010-05-25,TITAN,,,2217,2219.65,2148,2156.3,62626,135792335.1
2010-05-26,TITAN,,,2189.4,2197.8,2113.1,2129.05,66535,142367769.45
2010-05-27,TITAN,,,2198,2236,2110.1,2181.25,46903,101119491.35
2010-05-28,TITAN,,,2200,2238,2176.05,2220.85,70040,155214084.45
2010-05-31,TITAN,,,2218,2238,2201,2222,31940,71043443
2010-06-01,TITAN,,,2216,2253,2185,2214.2,54508,121158090.8
2010-06-02,TITAN,,,2220,2234.9,2175.6,2205.55,42210,93111600.75
2010-06-03,TITAN,,,2223.85,2247,2211.05,2220.05,32829,73188427.95
2010-06-04,TITAN,,,2241,2268,2216.1,2248.85,82903,186547834.2
2010-06-07,TITAN,,,2220.1,2269.85,2212.1,2248.45,66234,149169365.6
2010-06-08,TITAN,,,2258,2260,2225.3,2235.25,27405,61599812.3
2010-06-09,TITAN,,,2237,2262.7,2220.15,2225.9,23684,53054518.6
2010-06-10,TITAN,,,2225,2243.9,2213.05,2231.55,37934,84514013.05
2010-06-11,TITAN,,,2241,2252.9,2217.3,2222.35,22864,50946280.35
2010-06-14,TITAN,,,2257.9,2257.9,2224.8,2239.1,16301,36507538.2
2010-06-15,TITAN,,,2239,2255,2230,2239.25,11078,24853078.1
2010-06-16,TITAN,,,2227,2268,2214.15,2221.55,53700,120655061.65
2010-06-17,TITAN,,,2225,2243.9,2188.2,2200.55,72145,159451331.9
2010-06-18,TITAN,,,2220,2222.7,2185.05,2197.4,25646,56573283.75
2010-06-21,TITAN,,,2205,2228,2181.2,2197.55,67632,149117319.9
2010-06-22,TITAN,,,2208.5,2220,2165,2206.15,66197,145705663.05
2010-06-23,TITAN,,,2210,2228,2192.05,2208.8,22799,50532080.5
2010-06-24,TITAN,,,2195.5,2260,2195.5,2243.9,70725,157686038.65
2010-06-25,TITAN,,,2257.95,2278,2244,2264,32672,74028762.35
2010-06-28,TITAN,,,2270,2350,2255,2335.2,63036,145201443.1
2010-06-29,TITAN,,,2340,2384,2325,2352.2,97676,230539334.55
2010-06-30,TITAN,,,2341,2385,2323.1,2370.25,37192,87919895.5
2010-07-01,TITAN,,,2360,2367.75,2341,2349.7,47019,110595156.15
2010-07-02,TITAN,,,2350,2365,2316.5,2322.7,20921,49027943.1
2010-07-05,TITAN,,,2344.9,2344.9,2301.55,2330.45,15499,36140870.1
2010-07-06,TITAN,,,2331,2403.5,2313,2385,46262,109723087.05
2010-07-07,TITAN,,,2390,2425.5,2367,2406.95,191220,456536813.95
2010-07-08,TITAN,,,2423.8,2515,2416,2490.75,127279,313453637.8
2010-07-09,TITAN,,,2495,2513.65,2452,2505.25,78594,196267773.6
2010-07-12,TITAN,,,2510,2520.2,2485,2508.5,41209,103067590.35
2010-07-13,TITAN,,,2508.5,2683.4,2491.05,2627.55,140385,362598591.25
2010-07-14,TITAN,,,2650,2739,2610,2638.35,200179,536975228.35
2010-07-15,TITAN,,,2590,2754.95,2590,2691.65,196325,528187061.8
2010-07-16,TITAN,,,2686.5,2717.7,2658.8,2672.1,89154,239643396.7
2010-07-19,TITAN,,,2670,2689,2640,2648.6,78379,209095021.65
2010-07-20,TITAN,,,2650,2680,2650,2664.5,85227,227244353.9
2010-07-21,TITAN,,,2688,2688,2666.15,2671.55,38798,103677946.1
2010-07-22,TITAN,,,2671,2750,2670.5,2741.2,185082,505573918.2
2010-07-23,TITAN,,,2801,2801,2739,2772.7,120352,332769787.35
2010-07-26,TITAN,,,2798.45,2813,2771.5,2797.2,119432,333682011.2
2010-07-27,TITAN,,,2800,2872.95,2742,2830.25,287846,811855283.15
2010-07-28,TITAN,,,2870,2888,2825.55,2842.8,196739,562124868.5
2010-07-29,TITAN,,,2830,2847.9,2802.6,2812.55,62358,176354129.75
2010-07-30,TITAN,,,2824,2855,2796,2805.8,78967,223484491.8
2010-08-02,TITAN,,,2801.15,2850,2779.45,2816.95,45869,129597024.65
2010-08-03,TITAN,,,2837,2837,2805,2817.8,33974,95713927.15
2010-08-04,TITAN,,,2822,2825,2792.05,2808.85,18374,51618514.5
2010-08-05,TITAN,,,2801,2836.9,2773,2786.95,98514,275999004.65
2010-08-06,TITAN,,,2785,2815,2780,2806.2,90082,252460354.15
2010-08-09,TITAN,,,2820,2839.7,2791,2818,40876,115350845.45
2010-08-10,TITAN,,,2820,2830,2805,2812.8,35702,100608158.8
2010-08-11,TITAN,,,2800,2829.9,2751.1,2772.85,44284,123525244.9
2010-08-12,TITAN,,,2751.1,2843.7,2742,2835.85,99166,279742302.8
2010-08-13,TITAN,,,2835,3025,2821.05,2983.85,384137,1137892628.75
2010-08-16,TITAN,,,3001,3078.9,2980.5,3004.1,232432,706228657.7
2010-08-17,TITAN,,,3010,3039.95,2936.55,2944.25,138608,412959493.15
2010-08-18,TITAN,,,2959.4,2967.2,2840.5,2892.15,233858,674917890.9
2010-08-19,TITAN,,,2910,2954.65,2851.4,2895.25,142348,414812409.9
2010-08-20,TITAN,,,2900,2920,2850.15,2863.05,87819,253166321.35
2010-08-23,TITAN,,,2889.65,3055,2869,3031.3,438679,1317302808.45
2010-08-24,TITAN,,,3015.5,3078,2960,3035.95,287251,868641998.2
2010-08-25,TITAN,,,3030,3074.9,2984,3006.15,333931,1014859299.55
2010-08-26,TITAN,,,3020,3039,2965,2980.15,265524,796476649.05
2010-08-27,TITAN,,,2985,3024,2971,2982.35,116955,351050461.05
2010-08-30,TITAN,,,3010,3030.2,2980.35,2998.55,50717,152095570.8
2010-08-31,TITAN,,,2999.8,3004.9,2917.7,2931.6,149607,441801423.75
2010-09-01,TITAN,,,2956,2984,2942,2956.25,86514,256272091.85
2010-09-02,TITAN,,,2976,3044.7,2951.25,3000.35,198117,598362952.75
2010-09-03,TITAN,,,3010,3044.75,2991.15,2998.15,96393,290866670.45
2010-09-06,TITAN,,,3010,3055.9,2997,3030.2,104805,317409404.35
2010-09-07,TITAN,,,3045,3045,3001,3003.9,66206,199771066.3
2010-09-08,TITAN,,,3000,3030,2956,2962.4,140444,420236826.55
2010-09-09,TITAN,,,2970,2997,2945,2951.05,67256,199101982.2
2010-09-13,TITAN,,,2960,3007,2932.05,2976.95,89912,267053283.2
2010-09-14,TITAN,,,2980,3127.8,2959.1,3100.9,481048,1478193225.55
2010-09-15,TITAN,,,3130,3184,3106.05,3124.9,434891,1371438226.1
2010-09-16,TITAN,,,3139.1,3163.6,3101.15,3111.35,145299,455192605.8
2010-09-17,TITAN,,,3128,3219.8,3126,3202.7,313341,999939337.2
2010-09-20,TITAN,,,3224,3228,3170,3181.35,114239,365014802.3
2010-09-21,TITAN,,,3199,3215,3147.15,3158.3,83282,264118381.3
2010-09-22,TITAN,,,3170,3234,3170,3223.2,231433,741529664.15
2010-09-23,TITAN,,,3230,3306.7,3195.05,3291.35,305308,994688072.55
2010-09-24,TITAN,,,3300,3365,3251.65,3347.55,228754,760260294.85
2010-09-27,TITAN,,,3345,3419.95,3310,3396.8,150504,511124960.5
2010-09-28,TITAN,,,3416,3418,3351,3364.35,146505,495007780.15
2010-09-29,TITAN,,,3388,3402.9,3301.2,3312.2,111531,374071561.9
2010-09-30,TITAN,,,3320.15,3336,3258.6,3273.95,155770,512009997.2
2010-10-01,TITAN,,,3291,3354,3291,3309.9,136562,453643132.4
2010-10-04,TITAN,,,3340,3355,3290.05,3305.1,58140,193219341.5
2010-10-05,TITAN,,,3330,3355,3290,3308.55,69198,230071918
2010-10-06,TITAN,,,3324.25,3430,3315.3,3415.35,260814,884771300.05
2010-10-07,TITAN,,,3425.1,3457.95,3345,3365.05,169931,581135213.25
2010-10-08,TITAN,,,3390,3390,3313,3331.8,65203,217928877.25
2010-10-11,TITAN,,,3363,3393,3350,3371.05,48132,162388465.5
2010-10-12,TITAN,,,3375.15,3376,3281,3300.85,64152,212922063.3
2010-10-13,TITAN,,,3325,3344.35,3295,3318.85,108379,360287668.65
2010-10-14,TITAN,,,3334,3361.8,3295.1,3320.3,98398,327493629.3
2010-10-15,TITAN,,,3349.45,3354,3270.4,3289.3,84198,279593311.35
2010-10-18,TITAN,,,3280,3324.95,3196,3216,92349,298938324.5
2010-10-19,TITAN,,,3234.3,3258.7,3165,3186.6,59798,192731890.85
2010-10-20,TITAN,,,3186.6,3216.7,3163,3171.75,50144,160061749.05
2010-10-21,TITAN,,,3172.85,3257,3172.85,3214.5,68886,221345757.65
2010-10-22,TITAN,,,3220,3254.95,3175,3205.1,50261,162209437.8
2010-10-25,TITAN,,,3219,3312,3219,3289.9,179763,590355354.4
2010-10-26,TITAN,,,3310,3514.5,3310,3491.05,701576,2410015310.8
2010-10-27,TITAN,,,3485,3604.8,3485,3587.95,464403,1650253801.4
2010-10-28,TITAN,,,3599,3639.8,3455,3480.7,283161,996514976.6
2010-10-29,TITAN,,,3480,3564,3450,3552.15,197495,697620088.85
2010-11-01,TITAN,,,3577,3829,3564.95,3792.5,433334,1609477529.05
2010-11-02,TITAN,,,3827.95,3877,3787,3818.7,464243,1783071237.25
2010-11-03,TITAN,,,3850,3866.05,3813.1,3833.05,161323,619067115.35
