date,symbol,series,isin,open,high,low,close,volume,turnover
2010-01-04,WIPRO,,,685,697,675.95,693.8,767166,530176676.95
2010-01-05,WIPRO,,,696.3,708,693.55,704.75,1120433,783548578.3
2010-01-06,WIPRO,,,706,710,687,690.5,1029382,713837262.95
2010-01-07,WIPRO,,,695,695.5,675,678.25,1031096,700577210.85
2010-01-08,WIPRO,,,679,680,666,668.05,642789,430471095.6
2010-01-11,WIPRO,,,667,681.1,656.25,661.4,1277525,851066049.3
2010-01-12,WIPRO,,,672,703.8,672,693.8,2338854,1618134447.95
2010-01-13,WIPRO,,,696.95,720,688.45,715.6,2538808,1799740510
2010-01-14,WIPRO,,,719.8,752.7,708.2,741.1,4383044,3220920981.7
2010-01-15,WIPRO,,,723,746.6,722,735.9,3302495,2434157727.65
2010-01-18,WIPRO,,,735,751.2,730.1,747.5,1799851,1336709113.1
2010-01-19,WIPRO,,,755.85,755.85,730.1,738.95,922176,681279122.8
2010-01-20,WIPRO,,,750,750,721.55,726.55,2344389,1717393446.45
2010-01-21,WIPRO,,,728,739,706.1,709.45,1928658,1397830448.9
2010-01-22,WIPRO,,,700,715,695.55,700.05,1717686,1204821642.6
2010-01-25,WIPRO,,,695,704,685.8,695.1,898483,624723237.15
2010-01-27,WIPRO,,,690,690.2,650.25,655.4,1848422,1235568621.7
2010-01-28,WIPRO,,,674,688.8,655.5,673.45,1531589,1026987300
2010-01-29,WIPRO,,,665,666,631.5,647.95,2210514,1426361314.25
2010-02-01,WIPRO,,,643.75,674.7,633.1,668.3,1224195,801811012.8
2010-02-02,WIPRO,,,688,694,651,653.2,936220,623359042.8
2010-02-03,WIPRO,,,655.1,673.9,653,671.65,769763,512644428.95
2010-02-04,WIPRO,,,666,671.5,651,655.2,739314,486251851.95
2010-02-05,WIPRO,,,635.1,654.05,635.1,644.05,1420319,916308882.15
2010-02-08,WIPRO,,,643.5,650,630.15,636.2,1066849,681517904.8
2010-02-09,WIPRO,,,632,658.3,632,654.3,999924,650289452.1
2010-02-10,WIPRO,,,660,664,644.35,647.7,769139,500613457.9
2010-02-11,WIPRO,,,653.35,662.25,650,655.7,479044,314946838
2010-02-15,WIPRO,,,654,666,654,659.9,627911,414997467.15
2010-02-16,WIPRO,,,661,670.5,654.25,669.95,640257,426560484.45
2010-02-17,WIPRO,,,680,680,662.05,671.4,831526,557592921.6
2010-02-18,WIPRO,,,675,677,664.1,667.9,486424,325648382.5
2010-02-19,WIPRO,,,662,672.5,658,665.8,1440901,962009708.15
2010-02-22,WIPRO,,,667,680.5,665.2,668.15,443931,299004104.2
2010-02-23,WIPRO,,,666.9,679.2,661,676.35,553498,373512133.95
2010-02-24,WIPRO,,,678,680.95,668.75,672.2,816936,551736442
2010-02-25,WIPRO,,,677,682,665.15,669.4,960636,644935408.2
2010-02-26,WIPRO,,,671.1,688.1,665,677.5,730767,494287588
2010-03-02,WIPRO,,,675,703,675,701.25,1071441,742582133.45
2010-03-03,WIPRO,,,705,708,692.35,698.5,847091,591698031.65
2010-03-04,WIPRO,,,697.5,700.7,689.5,693.75,938007,650678773.5
2010-03-05,WIPRO,,,695,701,683.05,685.85,647301,446718670.95
2010-03-08,WIPRO,,,687,704.65,685.85,697.7,828407,578389338.05
2010-03-09,WIPRO,,,702,712.5,700,702.05,742189,525026421.8
2010-03-10,WIPRO,,,702,707.9,693.6,696.3,526087,368530974.4
2010-03-11,WIPRO,,,702,714,699,709.4,1126965,793375645
2010-03-12,WIPRO,,,714.8,716.9,707.4,710.05,957997,680276635.65
2010-03-15,WIPRO,,,715,731,708,728.65,1340014,969417749.75
2010-03-16,WIPRO,,,731,735.05,722.25,727.7,777028,564579404.75
2010-03-17,WIPRO,,,734,742,729.9,739.1,678102,500120357.2
2010-03-18,WIPRO,,,745,750,724.2,728.95,546634,399090998.1
2010-03-19,WIPRO,,,731.9,736.1,724.1,726.5,532244,387733349.45
2010-03-22,WIPRO,,,719.7,734.3,715,728,503196,367315290.85
2010-03-23,WIPRO,,,720,734.9,718.15,720.25,598038,432800129.85
2010-03-25,WIPRO,,,715,725,710,719.15,1055224,757039524.15
2010-03-26,WIPRO,,,726,729.15,712.25,717.5,602528,432933011.4
2010-03-29,WIPRO,,,718,723,709.5,715.6,658065,469645442.9
2010-03-30,WIPRO,,,710,719,695.35,701.6,1657965,1175122112.45
2010-03-31,WIPRO,,,702,709.9,699.4,706.95,1780851,1258433676.7
2010-04-01,WIPRO,,,711,725.5,708,721.35,642890,463101761.45
2010-04-05,WIPRO,,,723,726.8,713.05,722.15,390240,280304353.6
2010-04-06,WIPRO,,,725,726,710.35,715.2,461997,329787785.2
2010-04-07,WIPRO,,,720,720,707,714.75,800067,569037320.9
2010-04-08,WIPRO,,,715,724.9,710,716.75,627844,450798599.65
2010-04-09,WIPRO,,,718,722.05,708.2,710.55,1024411,731954881.1
2010-04-12,WIPRO,,,715,715,695.8,701.75,612270,430394382
2010-04-13,WIPRO,,,702,723.5,700,719.75,1447118,1036370878.55
2010-04-15,WIPRO,,,721.7,734.4,718.65,722.15,1305928,948399914.8
2010-04-16,WIPRO,,,722.15,725.85,718,722.1,466035,336267850.4
2010-04-19,WIPRO,,,717,719.9,701.1,704.1,466980,330678014.1
2010-04-20,WIPRO,,,707,714.4,692.35,695.65,980227,688522135.15
2010-04-21,WIPRO,,,699.5,707.6,688.1,705,726116,508472993.55
2010-04-22,WIPRO,,,702.9,714.9,697.55,704.25,618418,436610371.65
2010-04-23,WIPRO,,,715.25,729.5,690.1,691.9,4843155,3421952852.85
2010-04-26,WIPRO,,,695,704.5,693.3,699.1,929794,651304165.2
2010-04-27,WIPRO,,,705,705,694.5,698.4,884698,616979152.25
2010-04-28,WIPRO,,,694,695,687,690.8,1742957,1205607804.25
2010-04-29,WIPRO,,,693,693,682.15,689.85,1298363,892938141.65
2010-04-30,WIPRO,,,695,695.75,670,671.5,1860347,1262835803.35
2010-05-03,WIPRO,,,668.9,678.75,660,674.65,994782,668751045.15
2010-05-04,WIPRO,,,681.4,681.4,657.4,660,512859,342649358.95
2010-05-05,WIPRO,,,655,675,647.4,671.4,691584,459039302.15
2010-05-06,WIPRO,,,671,685,655,659.45,623350,412327576.8
2010-05-07,WIPRO,,,650,655,631,637.7,1061285,681516695
2010-05-10,WIPRO,,,649,677.5,640.15,672.3,1375078,907636528.75
2010-05-11,WIPRO,,,676,676,657.25,668.05,629113,418328186.8
2010-05-12,WIPRO,,,672.75,683.35,666.25,680.9,1111053,753435790.75
2010-05-13,WIPRO,,,687.9,692.7,669.3,673.3,1113302,749530401.55
2010-05-14,WIPRO,,,678.8,680,659.1,666.4,703165,473550875.2
2010-05-17,WIPRO,,,652,660,637,645.45,1436577,923526887
