exchange,symbol,isin,company,ex_date,record_date,type,ratio_num,ratio_den,cash_amount,face_value_from,face_value_to,raw_subject
NSE,WIPRO,INE075A01022,Wipro Limited,2010-06-15,2010-06-16,bonus,2,3,,,,Bonus 2:3 And Final Dividend Rs.6/- Per Share
NSE,WIPRO,INE075A01022,Wipro Limited,2010-07-15,,agm,,,,,,Annual General Meeting
NSE,WIPRO,INE075A01022,Wipro Limited,2011-01-27,2011-01-28,dividend,,,2,,,Interim Dividend-Rs.2/- Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2011-06-29,,dividend,,,4,,,Annual General Meeting And Dividend Rs.4/- Per Share
NSE,WIPRO,INE075A01022,Wipro Limited,2012-01-24,2012-01-25,dividend,,,2,,,Interim Dividend Rs.2/- Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2012-06-28,,dividend,,,4,,,Annual General Meeting And Dividend Rs.4/- Per Share
NSE,WIPRO,INE075A01022,Wipro Limited,2013-01-23,2013-01-25,dividend,,,2,,,Interim Dividend Rs 2 Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2013-04-09,2013-04-11,other,,,,,,Scheme Of Arrangement
NSE,WIPRO,INE075A01022,Wipro Limited,2013-06-27,,dividend,,,5,,,Annual General Meeting / Final Dividend Rs.5 Per Equity Share
NSE,WIPRO,INE075A01022,Wipro Limited,2014-01-22,2014-01-23,dividend,,,3,,,Interim Dividend - Rs 3/- Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2014-07-21,,dividend,,,5,,,Annual General Meeting And Final Dividend- Rs.5/- Per Share (Bc Start Date Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2015-01-22,2015-01-23,dividend,,,5,,,Interim Dividend - Rs 5/- Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2015-07-20,,dividend,,,7,,,Annual General Meeting/ Dividend - Rs 7/- Per Share
NSE,WIPRO,INE075A01022,Wipro Limited,2016-01-25,2016-01-27,dividend,,,5,,,Interim Dividend - Rs 5/- Per Share (Purpose Revised)
NSE,WIPRO,INE075A01022,Wipro Limited,2016-05-05,2016-05-06,buyback,,,,,,Buyback Of Shares
