date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-09-29,BAJFINANCE,INE296A01016,,780.0,805.0,770.0,774.6,26000,20369029.1,0.018273907719895205,14.154968919830827
2010-09-30,BAJFINANCE,INE296A01016,,775.0,783.45,766.25,773.55,17350,13434686.25,0.018273907719895205,14.135781316724936
2010-10-01,BAJFINANCE,INE296A01016,,763.0,797.3,760.25,774.95,35941,28041955.8,0.018273907719895205,14.16136478753279
2010-10-04,BAJFINANCE,INE296A01016,,788.0,795.0,775.0,783.4,31160,24519305.25,0.018273907719895205,14.315779307765903
2010-10-05,BAJFINANCE,INE296A01016,,775.1,788.0,772.05,779.0,32141,25031172.6,0.018273907719895205,14.235374113798365
2010-10-06,BAJFINANCE,INE296A01016,,812.0,812.0,773.0,799.45,69177,55132177.9,0.018273907719895205,14.609075526670223
2010-10-07,BAJFINANCE,INE296A01016,,791.0,807.0,778.2,783.85,38093,30335235.6,0.018273907719895205,14.324002566239857
2010-10-08,BAJFINANCE,INE296A01016,,780.0,799.0,776.55,779.25,20060,15730440.9,0.018273907719895205,14.239942590728338
2010-10-11,BAJFINANCE,INE296A01016,,782.5,798.0,782.5,793.65,16798,13334333.65,0.018273907719895205,14.503086861894829
2010-10-12,BAJFINANCE,INE296A01016,,782.1,803.95,782.1,798.15,22402,17769739.75,0.018273907719895205,14.585319446634358
2010-10-13,BAJFINANCE,INE296A01016,,791.0,805.0,791.0,797.6,36541,29216753.05,0.018273907719895205,14.575268797388416
2010-10-14,BAJFINANCE,INE296A01016,,798.0,807.0,798.0,805.4,47108,37872126.3,0.018273907719895205,14.717805277603597
2010-10-15,BAJFINANCE,INE296A01016,,795.0,806.0,782.05,784.9,14809,11740839.45,0.018273907719895205,14.343190169345746
2010-10-18,BAJFINANCE,INE296A01016,,799.0,799.0,745.0,759.95,64137,49038191.15,0.018273907719895205,13.887256171734363
2010-10-19,BAJFINANCE,INE296A01016,,775.0,775.0,747.0,751.2,52109,39746941.65,0.018273907719895205,13.727359479185278
2010-10-20,BAJFINANCE,INE296A01016,,760.0,775.0,757.0,765.8,26636,20462442.85,0.018273907719895205,13.994158531895748
2010-10-21,BAJFINANCE,INE296A01016,,770.0,774.0,768.0,771.6,24106,18583003.8,0.018273907719895205,14.100147196671141
2010-10-22,BAJFINANCE,INE296A01016,,777.0,777.0,770.0,772.9,8814,6810001.9,0.018273907719895205,14.123903276707004
2010-10-25,BAJFINANCE,INE296A01016,,772.0,797.25,770.0,791.2,18209,14338078.0,0.018273907719895205,14.458315787981087
2010-10-26,BAJFINANCE,INE296A01016,,788.0,797.9,775.2,783.95,8898,7023637.35,0.018273907719895205,14.325829957011846
2010-10-27,BAJFINANCE,INE296A01016,,784.2,789.85,770.0,777.35,7409,5775392.65,0.018273907719895205,14.205222166060539
2010-10-28,BAJFINANCE,INE296A01016,,771.0,780.0,770.1,770.6,5769,4470513.35,0.018273907719895205,14.081873288951245
2010-10-29,BAJFINANCE,INE296A01016,,768.45,790.0,739.8,774.45,36854,28267062.4,0.018273907719895205,14.152227833672843
2010-11-01,BAJFINANCE,INE296A01016,,790.0,801.0,781.5,798.6,22483,17879454.3,0.018273907719895205,14.59354270510831
2010-11-02,BAJFINANCE,INE296A01016,,805.0,838.0,799.0,806.4,158531,130217391.4,0.018273907719895205,14.736079185323494
