date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,HINDUNILVR,INE030A01027,,264.8,266.2,264.1,264.7,668858,177173707.05,0.7371848041874038,195.13281766840578
2010-01-05,HINDUNILVR,INE030A01027,,265.75,266.4,262.5,263.85,1392726,367440410.3,0.7371848041874038,194.5062105848465
2010-01-06,HINDUNILVR,INE030A01027,,264.75,266.0,262.6,265.35,1682107,444825799.4,0.7371848041874038,195.61198779112763
2010-01-07,HINDUNILVR,INE030A01027,,265.1,267.25,264.15,264.8,2723548,722890739.9,0.7371848041874038,195.20653614882454
2010-01-08,HINDUNILVR,INE030A01027,,265.1,267.0,264.15,265.95,4000986,1060757449.25,0.7371848041874038,196.05429867364003
2010-01-11,HINDUNILVR,INE030A01027,,266.6,268.35,265.6,266.1,2251471,601211584.15,0.7371848041874038,196.1648763942682
2010-01-12,HINDUNILVR,INE030A01027,,266.0,266.75,260.55,262.15,3826930,1005553272.05,0.7371848041874038,193.2529964177279
2010-01-13,HINDUNILVR,INE030A01027,,262.0,263.75,260.75,262.5,1917571,502866619.9,0.7371848041874038,193.5110110991935
2010-01-14,HINDUNILVR,INE030A01027,,262.6,263.6,255.3,256.05,3583983,925186696.75,0.7371848041874038,188.75616911218475
2010-01-15,HINDUNILVR,INE030A01027,,257.75,258.75,255.9,256.4,4361271,1121070727.9,0.7371848041874038,189.01418379365032
2010-01-18,HINDUNILVR,INE030A01027,,256.5,258.35,254.55,257.3,1088348,278328934.7,0.7371848041874038,189.677650117419
2010-01-19,HINDUNILVR,INE030A01027,,257.75,257.75,254.6,255.45,1122943,287088244.1,0.7371848041874038,188.3138582296723
2010-01-20,HINDUNILVR,INE030A01027,,256.0,258.6,253.5,257.8,2198874,562443848.5,0.7371848041874038,190.04624251951273
2010-01-21,HINDUNILVR,INE030A01027,,258.0,261.1,255.65,256.75,3093875,800676460.4,0.7371848041874038,189.27219847511594
2010-01-22,HINDUNILVR,INE030A01027,,253.0,259.15,251.95,257.95,5117085,1314884425.7,0.7371848041874038,190.1568202401408
2010-01-25,HINDUNILVR,INE030A01027,,258.7,264.55,255.5,263.95,4355123,1140984758.4,0.7371848041874038,194.57992906526525
2010-01-27,HINDUNILVR,INE030A01027,,263.0,263.0,254.7,259.35,9203979,2389099661.0,0.7371848041874038,191.18887896600322
2010-01-28,HINDUNILVR,INE030A01027,,258.2,261.75,253.35,255.3,5049389,1299912339.75,0.7371848041874038,188.20328050904422
2010-01-29,HINDUNILVR,INE030A01027,,251.55,252.2,241.05,242.3,6496604,1588100371.15,0.7371848041874038,178.61987805460797
2010-02-01,HINDUNILVR,INE030A01027,,243.8,243.8,234.75,237.25,4987343,1183924191.6,0.7371848041874038,174.89709479346155
2010-02-02,HINDUNILVR,INE030A01027,,238.5,240.0,235.0,236.5,6004275,1421786712.2,0.7371848041874038,174.34420619032102
2010-02-03,HINDUNILVR,INE030A01027,,237.75,238.5,235.3,236.45,1595241,377389716.4,0.7371848041874038,174.30734695011162
2010-02-04,HINDUNILVR,INE030A01027,,237.1,239.35,230.5,231.05,3017883,708151539.2,0.7371848041874038,170.32654900749966
2010-02-05,HINDUNILVR,INE030A01027,,229.5,234.4,227.0,229.05,4345866,1003020413.45,0.7371848041874038,168.85217939912485
2010-02-08,HINDUNILVR,INE030A01027,,231.0,238.2,229.75,236.5,3139856,734929406.0,0.7371848041874038,174.34420619032102
2010-02-09,HINDUNILVR,INE030A01027,,238.0,238.0,232.3,232.6,2435031,570394136.4,0.7371848041874038,171.46918545399012
2010-02-10,HINDUNILVR,INE030A01027,,233.5,233.95,229.15,230.1,2864300,661160659.4,0.7371848041874038,169.6262234435216
2010-02-11,HINDUNILVR,INE030A01027,,230.5,234.45,230.5,233.4,2299826,534911485.1,0.7371848041874038,172.05893329734005
2010-02-15,HINDUNILVR,INE030A01027,,233.4,234.85,229.0,229.75,1594781,368200104.45,0.7371848041874038,169.36820876205604
2010-02-16,HINDUNILVR,INE030A01027,,230.0,238.55,229.3,237.15,2253497,528573009.0,0.7371848041874038,174.82337631304281
2010-02-17,HINDUNILVR,INE030A01027,,238.5,244.65,238.5,240.55,3428957,829179020.25,0.7371848041874038,177.32980464728
2010-02-18,HINDUNILVR,INE030A01027,,240.6,243.9,238.3,242.5,955635,230544220.1,0.7371848041874038,178.76731501544543
2010-02-19,HINDUNILVR,INE030A01027,,242.0,245.45,237.15,241.0,4582596,1103888862.5,0.7371848041874038,177.66153780916432
2010-02-22,HINDUNILVR,INE030A01027,,244.0,247.35,242.0,246.15,2280787,557246760.05,0.7371848041874038,181.45803955072947
2010-02-23,HINDUNILVR,INE030A01027,,244.0,245.9,242.75,244.9,908983,222153437.6,0.7371848041874038,180.5365585454952
2010-02-24,HINDUNILVR,INE030A01027,,244.0,245.2,241.0,242.15,1102320,268033698.1,0.7371848041874038,178.50930033397984
2010-02-25,HINDUNILVR,INE030A01027,,241.15,242.95,232.65,235.2,2791186,656595372.7,0.7371848041874038,173.38586594487737
2010-02-26,HINDUNILVR,INE030A01027,,239.85,241.45,235.0,236.2,1519988,361040205.15,0.7371848041874038,174.1230507490648
2010-03-02,HINDUNILVR,INE030A01027,,234.0,238.0,232.9,234.45,1784738,418187559.95,0.7371848041874038,172.83297734173684
2010-03-03,HINDUNILVR,INE030A01027,,235.0,240.0,235.0,239.1,2569749,612290326.1,0.7371848041874038,176.26088668120826
2010-03-04,HINDUNILVR,INE030A01027,,239.1,244.35,235.8,243.45,2585303,623732420.05,0.7371848041874038,179.46764057942346
2010-03-05,HINDUNILVR,INE030A01027,,242.1,244.4,241.15,243.0,588200,142890833.85,0.7371848041874038,179.13590741753913
2010-03-08,HINDUNILVR,INE030A01027,,243.0,244.7,237.55,238.75,2970886,713956356.2,0.7371848041874038,176.00287199974267
2010-03-09,HINDUNILVR,INE030A01027,,238.0,239.95,235.0,236.05,1719797,407055309.55,0.7371848041874038,174.0124730284367
