date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2011-06-29,INFY,INE009A01021,,2868.0,2907.0,2868.0,2881.75,600094,1732005042.3,0.08676922090154736,250.0472023330341
2011-06-30,INFY,INE009A01021,,2886.05,2919.0,2881.5,2910.45,1417730,4116331796.9,0.08676922090154736,252.5374789729085
2011-07-01,INFY,INE009A01021,,2935.0,2969.95,2924.1,2934.15,800308,2354984926.8,0.08676922090154736,254.5939095082752
2011-07-04,INFY,INE009A01021,,2966.65,2977.0,2935.0,2938.95,514324,1516229154.65,0.08676922090154736,255.0104017686026
2011-07-05,INFY,INE009A01021,,2957.0,2969.9,2926.0,2956.45,802966,2370122227.25,0.08676922090154736,256.52886313437966
2011-07-06,INFY,INE009A01021,,2947.0,2972.45,2937.1,2953.7,430028,1270130012.65,0.08676922090154736,256.2902477769004
2011-07-07,INFY,INE009A01021,,2955.2,3000.0,2943.0,2995.7,718934,2138882305.35,0.08676922090154736,259.9345550547654
2011-07-08,INFY,INE009A01021,,3000.0,3023.9,2967.25,2976.55,708724,2124589696.75,0.08676922090154736,258.2729244745008
2011-07-11,INFY,INE009A01021,,2953.9,2976.1,2888.55,2921.15,1150815,3357121889.25,0.08676922090154736,253.46590963655507
2011-07-12,INFY,INE009A01021,,2850.0,2850.0,2746.8,2791.55,3706582,10288243312.9,0.08676922090154736,242.22061860771456
2011-07-13,INFY,INE009A01021,,2766.0,2807.35,2761.05,2777.3,1667271,4633541979.85,0.08676922090154736,240.9841572098675
2011-07-14,INFY,INE009A01021,,2760.25,2764.0,2731.0,2740.35,1361403,3733324187.15,0.08676922090154736,237.7780344975553
2011-07-15,INFY,INE009A01021,,2744.0,2762.95,2720.0,2731.35,799078,2184706123.6,0.08676922090154736,236.99711150944137
2011-07-18,INFY,INE009A01021,,2735.0,2743.25,2707.35,2713.4,1176082,3196869135.5,0.08676922090154736,235.43960399425862
2011-07-19,INFY,INE009A01021,,2721.0,2762.0,2716.65,2750.5,1040553,2852627971.25,0.08676922090154736,238.658742089706
2011-07-20,INFY,INE009A01021,,2772.8,2772.8,2745.0,2752.45,777839,2141877865.5,0.08676922090154736,238.82794207046402
2011-07-21,INFY,INE009A01021,,2745.2,2784.5,2736.8,2768.1,737136,2038782014.1,0.08676922090154736,240.18588037757323
2011-07-22,INFY,INE009A01021,,2784.3,2844.0,2770.0,2828.25,968703,2732423644.75,0.08676922090154736,245.4050490148013
2011-07-25,INFY,INE009A01021,,2818.0,2825.05,2791.1,2807.75,925532,2597171267.45,0.08676922090154736,243.6262799863196
2011-07-26,INFY,INE009A01021,,2809.0,2824.0,2787.5,2801.8,856092,2399752847.9,0.08676922090154736,243.1100031219554
2011-07-27,INFY,INE009A01021,,2801.0,2835.9,2791.2,2796.65,1063305,2983630087.75,0.08676922090154736,242.66314163431244
2011-07-28,INFY,INE009A01021,,2765.0,2773.9,2734.5,2751.1,1185172,3257377350.95,0.08676922090154736,238.71080362224694
2011-07-29,INFY,INE009A01021,,2741.0,2782.45,2725.4,2775.9,1219699,3373433129.75,0.08676922090154736,240.86268030060532
2011-08-01,INFY,INE009A01021,,2780.1,2823.8,2780.1,2815.1,761869,2142165734.5,0.08676922090154736,244.26403375994596
2011-08-02,INFY,INE009A01021,,2798.55,2798.55,2745.0,2750.95,616566,1703336361.45,0.08676922090154736,238.6977882391117
2011-08-03,INFY,INE009A01021,,2735.0,2739.7,2708.5,2732.6,705761,1923305128.7,0.08676922090154736,237.1055730355683
2011-08-04,INFY,INE009A01021,,2740.0,2759.95,2704.0,2709.15,816236,2234599895.75,0.08676922090154736,235.07083480542704
2011-08-05,INFY,INE009A01021,,2643.6,2643.6,2525.0,2591.2,1969759,5094113237.1,0.08676922090154736,224.8364052000895
2011-08-08,INFY,INE009A01021,,2500.0,2500.0,2431.0,2470.5,2021280,4988238841.4,0.08676922090154736,214.36336023727276
2011-08-09,INFY,INE009A01021,,2351.0,2439.95,2350.2,2374.55,2106218,5027836391.7,0.08676922090154736,206.03785349176928
2011-08-10,INFY,INE009A01021,,2448.0,2476.4,2411.1,2447.1,1744495,4267894188.75,0.08676922090154736,212.33296046817654
2011-08-11,INFY,INE009A01021,,2432.0,2469.0,2414.95,2440.6,1025779,2504194980.05,0.08676922090154736,211.76896053231647
2011-08-12,INFY,INE009A01021,,2488.0,2488.0,2342.35,2375.2,1762260,4205870031.4,0.08676922090154736,206.09425348535527
2011-08-16,INFY,INE009A01021,,2430.0,2438.25,2372.3,2399.3,1268338,3042398652.15,0.08676922090154736,208.18539170908258
2011-08-17,INFY,INE009A01021,,2396.0,2465.5,2396.0,2448.95,1066416,2598315460.2,0.08676922090154736,212.4934835268444
2011-08-18,INFY,INE009A01021,,2465.0,2468.1,2343.0,2354.1,1334333,3170740174.85,0.08676922090154736,204.26342292433262
2011-08-19,INFY,INE009A01021,,2274.0,2274.0,2171.6,2224.7,3612400,7974712910.15,0.08676922090154736,193.0354857396724
2011-08-22,INFY,INE009A01021,,2213.9,2245.1,2175.0,2194.6,1963509,4341687819.2,0.08676922090154736,190.42373219053582
2011-08-23,INFY,INE009A01021,,2201.25,2302.65,2194.0,2276.95,2142930,4823516417.9,0.08676922090154736,197.56917753177825
2011-08-24,INFY,INE009A01021,,2280.0,2284.95,2230.0,2250.9,1075768,2421530186.35,0.08676922090154736,195.30883932729296
2011-08-25,INFY,INE009A01021,,2250.2,2265.1,2161.5,2183.4,3356719,7368166870.55,0.08676922090154736,189.4519169164385
2011-08-26,INFY,INE009A01021,,2186.5,2252.9,2182.65,2202.55,2627745,5834295429.7,0.08676922090154736,191.11354749670315
2011-08-29,INFY,INE009A01021,,2239.0,2312.25,2232.0,2296.25,1402816,3210809450.55,0.08676922090154736,199.24382349517813
2011-08-30,INFY,INE009A01021,,2331.0,2360.0,2280.0,2342.95,1517865,3536696496.1,0.08676922090154736,203.29594611128036
2011-09-02,INFY,INE009A01021,,2385.0,2385.0,2275.3,2319.2,1870113,4330415037.15,0.08676922090154736,201.2351771148686
2011-09-05,INFY,INE009A01021,,2293.7,2293.7,2240.2,2265.1,1362818,3075534555.55,0.08676922090154736,196.5409622640949
2011-09-06,INFY,INE009A01021,,2253.9,2320.0,2222.25,2302.55,1352087,3057395604.95,0.08676922090154736,199.79046958685788
2011-09-07,INFY,INE009A01021,,2297.9,2314.3,2267.65,2291.45,1644679,3769050046.65,0.08676922090154736,198.82733123485067
2011-09-08,INFY,INE009A01021,,2300.0,2354.0,2299.0,2338.45,1378484,3222464571.8,0.08676922090154736,202.9054846172234
2011-09-09,INFY,INE009A01021,,2328.1,2328.1,2261.0,2274.3,1549013,3544058268.15,0.08676922090154736,197.33923909638918
2011-09-12,INFY,INE009A01021,,2208.0,2217.35,2180.65,2198.45,1024783,2252261767.65,0.08676922090154736,190.75779369100678
2011-09-13,INFY,INE009A01021,,2223.1,2259.7,2195.75,2222.05,1295652,2892601366.95,0.08676922090154736,192.80554730428332
2011-09-14,INFY,INE009A01021,,2251.0,2366.9,2249.0,2351.65,2154610,4977673918.35,0.08676922090154736,204.05083833312386
2011-09-15,INFY,INE009A01021,,2378.0,2428.5,2330.0,2409.9,1712932,4067005129.55,0.08676922090154736,209.105145450639
2011-09-16,INFY,INE009A01021,,2457.9,2457.9,2373.6,2395.15,1413013,3391365603.35,0.08676922090154736,207.82529944234116
2011-09-19,INFY,INE009A01021,,2399.0,2411.6,2356.1,2362.65,819804,1947667004.2,0.08676922090154736,205.00529976304088
2011-09-20,INFY,INE009A01021,,2377.0,2440.0,2375.15,2436.55,1126113,2728234231.5,0.08676922090154736,211.41754518766524
2011-09-21,INFY,INE009A01021,,2440.0,2454.9,2420.0,2435.65,925310,2254693052.2,0.08676922090154736,211.33945288885383
2011-09-22,INFY,INE009A01021,,2384.0,2411.8,2336.65,2352.6,1129732,2691267745.55,0.08676922090154736,204.1332690929803
