date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,KOTAKBANK,INE237A01028,,813.1,824.9,806.0,822.9,276374,225809497.3,0.049337263215954746,40.59963390040916
2010-01-05,KOTAKBANK,INE237A01028,,827.0,833.7,821.1,831.05,355682,294492858.7,0.049337263215954746,41.00173259561919
2010-01-06,KOTAKBANK,INE237A01028,,832.0,844.6,825.2,841.15,696510,583900918.7,0.049337263215954746,41.50003895410033
2010-01-07,KOTAKBANK,INE237A01028,,845.0,854.8,834.5,850.6,1040006,879935211.65,0.049337263215954746,41.96627609149111
2010-01-08,KOTAKBANK,INE237A01028,,854.0,854.05,838.0,845.35,372397,314459811.35,0.049337263215954746,41.707255459607346
2010-01-11,KOTAKBANK,INE237A01028,,856.0,861.7,842.0,848.6,324502,276984131.15,0.049337263215954746,41.867601565059196
2010-01-12,KOTAKBANK,INE237A01028,,848.6,849.9,820.0,823.05,566215,470330540.15,0.049337263215954746,40.607034489891554
2010-01-13,KOTAKBANK,INE237A01028,,815.0,821.85,806.3,813.0,770173,625901692.4,0.049337263215954746,40.11119499457121
2010-01-14,KOTAKBANK,INE237A01028,,821.4,840.25,812.7,824.4,604401,500868409.95,0.049337263215954746,40.67363979523309
2010-01-15,KOTAKBANK,INE237A01028,,825.0,829.9,815.3,821.9,626308,515371815.65,0.049337263215954746,40.550296637193206
2010-01-18,KOTAKBANK,INE237A01028,,812.9,858.55,810.2,851.85,725178,609261870.9,0.049337263215954746,42.027947670511054
2010-01-19,KOTAKBANK,INE237A01028,,860.0,876.0,855.8,858.55,1042562,903785875.45,0.049337263215954746,42.35850733405795
2010-01-20,KOTAKBANK,INE237A01028,,861.0,879.8,855.9,875.25,780441,680148878.5,0.049337263215954746,43.18243962976439
2010-01-21,KOTAKBANK,INE237A01028,,872.0,872.0,836.0,844.35,679732,577880737.8,0.049337263215954746,41.65791819639139
2010-01-22,KOTAKBANK,INE237A01028,,825.0,835.0,804.0,809.7,1252282,1021504250.3,0.049337263215954746,39.94838202595856
2010-01-25,KOTAKBANK,INE237A01028,,804.0,805.0,774.25,778.1,944138,739292550.9,0.049337263215954746,38.38932450833439
2010-01-27,KOTAKBANK,INE237A01028,,769.0,822.0,752.5,765.05,637593,487855358.25,0.049337263215954746,37.745473223366176
2010-01-28,KOTAKBANK,INE237A01028,,772.7,794.45,770.15,780.9,790201,619106082.9,0.049337263215954746,38.52746884533906
2010-01-29,KOTAKBANK,INE237A01028,,765.0,792.45,743.0,778.9,980802,756869368.2,0.049337263215954746,38.42879431890715
2010-02-01,KOTAKBANK,INE237A01028,,768.2,797.45,765.2,784.95,748967,589348700.0,0.049337263215954746,38.72728476136368
2010-02-02,KOTAKBANK,INE237A01028,,799.0,799.0,749.9,753.85,412035,318574750.65,0.049337263215954746,37.19289587534749
2010-02-03,KOTAKBANK,INE237A01028,,749.0,784.5,749.0,779.6,665296,515805393.55,0.049337263215954746,38.463330403158324
2010-02-04,KOTAKBANK,INE237A01028,,779.0,780.0,745.3,749.05,313172,238779034.7,0.049337263215954746,36.9560770119109
2010-02-05,KOTAKBANK,INE237A01028,,720.0,732.4,711.15,716.3,607115,436873735.5,0.049337263215954746,35.34028164158838
2010-02-08,KOTAKBANK,INE237A01028,,728.0,748.45,713.4,738.05,673386,494657944.1,0.049337263215954746,36.4133671165354
2010-02-09,KOTAKBANK,INE237A01028,,738.05,751.8,729.2,743.95,541257,402270918.7,0.049337263215954746,36.704456969509536
2010-02-10,KOTAKBANK,INE237A01028,,749.6,752.0,722.8,727.45,338884,250229710.5,0.049337263215954746,35.89039212644628
2010-02-11,KOTAKBANK,INE237A01028,,734.0,745.9,728.5,735.3,553983,407564635.05,0.049337263215954746,36.27768964269152
2010-02-15,KOTAKBANK,INE237A01028,,804.0,804.0,725.2,727.7,218294,159940715.4,0.049337263215954746,35.90272644225027
2010-02-16,KOTAKBANK,INE237A01028,,732.0,742.95,726.85,739.8,237732,174520226.7,0.049337263215954746,36.49970732716332
2010-02-17,KOTAKBANK,INE237A01028,,741.8,763.85,741.0,758.25,501180,378062494.85,0.049337263215954746,37.40997983349769
2010-02-18,KOTAKBANK,INE237A01028,,758.0,760.45,745.55,751.45,557618,419901185.85,0.049337263215954746,37.0744864436292
2010-02-19,KOTAKBANK,INE237A01028,,745.7,745.7,725.0,730.0,256154,187894419.6,0.049337263215954746,36.016202147646965
2010-02-22,KOTAKBANK,INE237A01028,,759.8,759.8,713.6,716.15,283681,206680800.05,0.049337263215954746,35.33288105210599
2010-02-23,KOTAKBANK,INE237A01028,,714.0,723.95,702.1,705.55,866515,618486246.75,0.049337263215954746,34.80990606201687
2010-02-24,KOTAKBANK,INE237A01028,,695.55,712.0,695.55,708.0,357478,252661418.9,0.049337263215954746,34.93078235689596
2010-02-25,KOTAKBANK,INE237A01028,,810.1,810.1,713.9,729.95,1265368,921412243.1,0.049337263215954746,36.01373528448617
2010-02-26,KOTAKBANK,INE237A01028,,737.9,758.4,726.2,744.25,725522,539802908.35,0.049337263215954746,36.71925814847432
2010-03-02,KOTAKBANK,INE237A01028,,751.1,755.8,741.35,749.25,406096,304505462.35,0.049337263215954746,36.96594446455409
2010-03-03,KOTAKBANK,INE237A01028,,755.0,766.9,748.6,759.1,442050,336153090.35,0.049337263215954746,37.451916507231246
