date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,MARUTI,INE585B01010,,1565.0,1586.7,1546.15,1551.45,534231,832988541.45,0.873906551595198,1355.82231947237
2010-01-05,MARUTI,INE585B01010,,1563.5,1567.55,1510.0,1515.85,1407407,2153559340.25,0.873906551595198,1324.7112462355808
2010-01-06,MARUTI,INE585B01010,,1518.0,1522.8,1460.0,1461.65,1571353,2316258235.95,0.873906551595198,1277.3455111391213
2010-01-07,MARUTI,INE585B01010,,1468.0,1485.0,1450.0,1453.3,901165,1319864360.3,0.873906551595198,1270.0483914333013
2010-01-08,MARUTI,INE585B01010,,1459.0,1463.8,1421.1,1433.15,1294429,1860132265.5,0.873906551595198,1252.4391744186582
2010-01-11,MARUTI,INE585B01010,,1442.0,1462.25,1438.0,1454.75,478942,697111959.0,0.873906551595198,1271.3155559331144
2010-01-12,MARUTI,INE585B01010,,1454.75,1462.0,1435.0,1441.0,767986,1110491530.1,0.873906551595198,1259.2993408486805
2010-01-13,MARUTI,INE585B01010,,1437.0,1449.5,1410.8,1428.75,612474,874919857.5,0.873906551595198,1248.5939855916392
2010-01-14,MARUTI,INE585B01010,,1439.0,1443.25,1411.0,1414.85,480493,685110725.75,0.873906551595198,1236.4466845244658
2010-01-15,MARUTI,INE585B01010,,1410.0,1442.9,1408.15,1413.45,723389,1031365931.15,0.873906551595198,1235.2232153522327
2010-01-18,MARUTI,INE585B01010,,1409.0,1447.0,1407.0,1429.35,916180,1312907219.6,0.873906551595198,1249.1183295225962
2010-01-19,MARUTI,INE585B01010,,1435.0,1450.0,1413.1,1419.3,1009858,1444625652.7,0.873906551595198,1240.3355686790646
2010-01-20,MARUTI,INE585B01010,,1428.8,1465.0,1421.0,1458.35,1376326,1988403870.35,0.873906551595198,1274.4616195188569
2010-01-21,MARUTI,INE585B01010,,1445.0,1480.0,1440.0,1452.75,1220211,1783746740.95,0.873906551595198,1269.5677428299239
2010-01-22,MARUTI,INE585B01010,,1440.0,1457.0,1405.0,1444.45,650256,932634815.0,0.873906551595198,1262.314318451684
2010-01-25,MARUTI,INE585B01010,,1412.0,1475.0,1412.0,1446.2,851324,1237717063.6,0.873906551595198,1263.8436549169755
2010-01-27,MARUTI,INE585B01010,,1431.0,1447.0,1350.3,1369.8,1180230,1647997954.05,0.873906551595198,1197.0771943751022
2010-01-28,MARUTI,INE585B01010,,1377.0,1399.0,1362.05,1378.3,835498,1153736670.65,0.873906551595198,1204.5054000636615
2010-01-29,MARUTI,INE585B01010,,1374.4,1399.0,1332.0,1389.45,468949,645324680.8,0.873906551595198,1214.2494581139479
2010-02-01,MARUTI,INE585B01010,,1389.0,1419.7,1375.25,1398.95,584347,818810790.45,0.873906551595198,1222.5515703541023
2010-02-02,MARUTI,INE585B01010,,1418.25,1418.25,1360.0,1373.55,573306,796861711.7,0.873906551595198,1200.3543439435841
2010-02-03,MARUTI,INE585B01010,,1365.0,1384.9,1360.2,1377.25,594119,816539293.35,0.873906551595198,1203.5877981844865
2010-02-04,MARUTI,INE585B01010,,1370.0,1385.0,1355.0,1365.15,453970,622458238.75,0.873906551595198,1193.0135289101847
2010-02-05,MARUTI,INE585B01010,,1349.5,1378.05,1320.25,1358.9,471270,637415363.2,0.873906551595198,1187.5516129627147
2010-02-08,MARUTI,INE585B01010,,1375.1,1388.8,1347.2,1362.05,555655,758306035.9,0.873906551595198,1190.3044186002394
2010-02-09,MARUTI,INE585B01010,,1355.0,1374.0,1342.5,1352.75,491001,666276041.75,0.873906551595198,1182.177087670404
2010-02-10,MARUTI,INE585B01010,,1355.0,1368.6,1328.25,1333.9,433681,585353496.95,0.873906551595198,1165.7039491728347
2010-02-11,MARUTI,INE585B01010,,1330.1,1363.5,1330.1,1356.35,289022,390748150.15,0.873906551595198,1185.3231512561467
2010-02-15,MARUTI,INE585B01010,,1364.0,1368.8,1330.1,1336.0,288768,389126006.55,0.873906551595198,1167.5391529311846
2010-02-16,MARUTI,INE585B01010,,1339.7,1370.45,1334.0,1357.35,322869,434847697.75,0.873906551595198,1186.1970578077419
2010-02-17,MARUTI,INE585B01010,,1369.95,1386.9,1365.3,1380.25,371999,512794303.85,0.873906551595198,1206.2095178392722
2010-02-18,MARUTI,INE585B01010,,1390.0,1390.0,1349.0,1359.65,323684,440083872.3,0.873906551595198,1188.2070428764112
2010-02-19,MARUTI,INE585B01010,,1354.0,1381.0,1335.0,1371.0,399798,547464142.55,0.873906551595198,1198.1258822370164
2010-02-22,MARUTI,INE585B01010,,1380.0,1403.0,1378.3,1386.25,385247,536626244.85,0.873906551595198,1211.4529571488433
2010-02-23,MARUTI,INE585B01010,,1369.85,1389.0,1317.7,1335.75,484780,657212436.0,0.873906551595198,1167.3206762932857
2010-02-24,MARUTI,INE585B01010,,1325.0,1388.85,1317.65,1365.4,827260,1115283371.35,0.873906551595198,1193.2320055480834
2010-02-25,MARUTI,INE585B01010,,1374.2,1407.9,1358.0,1399.9,794244,1099196907.75,0.873906551595198,1223.3817815781179
2010-02-26,MARUTI,INE585B01010,,1398.8,1490.0,1375.0,1459.95,1711733,2460957705.3,0.873906551595198,1275.8598700014095
2010-03-02,MARUTI,INE585B01010,,1472.0,1501.0,1462.55,1491.1,1321957,1966384074.2,0.873906551595198,1303.0820590835997
2010-03-03,MARUTI,INE585B01010,,1496.0,1500.9,1460.65,1476.5,809671,1194894152.1,0.873906551595198,1290.3230234303098
2010-03-04,MARUTI,INE585B01010,,1477.0,1489.0,1452.1,1457.15,413804,604529528.35,0.873906551595198,1273.4129316569429
2010-03-05,MARUTI,INE585B01010,,1467.0,1474.4,1447.7,1457.05,353414,515948659.8,0.873906551595198,1273.3255410017832
2010-03-08,MARUTI,INE585B01010,,1473.7,1492.3,1463.0,1478.15,515595,760588040.3,0.873906551595198,1291.764969240442
2010-03-09,MARUTI,INE585B01010,,1480.0,1509.15,1471.0,1499.5,875543,1311014704.15,0.873906551595198,1310.4228741169995
2010-03-10,MARUTI,INE585B01010,,1508.0,1519.8,1470.0,1479.85,976355,1460072510.75,0.873906551595198,1293.2506103781536
2010-03-11,MARUTI,INE585B01010,,1470.05,1484.95,1455.0,1464.2,554034,812948498.75,0.873906551595198,1279.573972845689
2010-03-12,MARUTI,INE585B01010,,1470.0,1487.5,1460.0,1463.6,334671,492610994.7,0.873906551595198,1279.0496289147318
2010-03-15,MARUTI,INE585B01010,,1464.0,1464.8,1426.15,1446.1,445078,642419690.0,0.873906551595198,1263.7562642618159
2010-03-16,MARUTI,INE585B01010,,1459.8,1462.8,1436.45,1458.8,256298,371704413.65,0.873906551595198,1274.8548774670749
2010-03-17,MARUTI,INE585B01010,,1465.0,1473.75,1428.65,1433.5,648678,938843570.7,0.873906551595198,1252.7450417117163
2010-03-18,MARUTI,INE585B01010,,1444.0,1446.0,1409.0,1421.7,631915,897452353.2,0.873906551595198,1242.432944402893
2010-03-19,MARUTI,INE585B01010,,1428.0,1434.3,1421.0,1429.3,286967,410131965.0,0.873906551595198,1249.0746341950164
2010-03-22,MARUTI,INE585B01010,,1420.0,1423.8,1391.0,1397.45,470482,661483696.05,0.873906551595198,1221.2407105267096
2010-03-23,MARUTI,INE585B01010,,1404.95,1412.2,1388.0,1393.4,313873,439123737.5,0.873906551595198,1217.7013889927491
2010-03-25,MARUTI,INE585B01010,,1390.0,1397.85,1360.0,1370.15,656336,900849248.8,0.873906551595198,1197.3830616681607
2010-03-26,MARUTI,INE585B01010,,1372.0,1413.0,1368.05,1396.85,576501,806923897.25,0.873906551595198,1220.7163665957523
2010-03-29,MARUTI,INE585B01010,,1409.8,1437.8,1397.2,1427.45,628028,890579326.2,0.873906551595198,1247.4579070745656
2010-03-30,MARUTI,INE585B01010,,1400.0,1446.0,1400.0,1407.65,354798,505415151.3,0.873906551595198,1230.1545573529806
2010-03-31,MARUTI,INE585B01010,,1391.55,1423.5,1349.0,1417.95,320921,453798520.45,0.873906551595198,1239.1557948344112
2010-04-01,MARUTI,INE585B01010,,1425.0,1429.0,1386.25,1393.15,477130,667846651.7,0.873906551595198,1217.4829123548502
2010-04-05,MARUTI,INE585B01010,,1399.5,1409.0,1386.3,1397.35,409185,570824875.65,0.873906551595198,1221.15331987155
2010-04-06,MARUTI,INE585B01010,,1410.0,1410.0,1373.25,1376.65,343707,475436110.25,0.873906551595198,1203.0634542535295
2010-04-07,MARUTI,INE585B01010,,1389.7,1407.0,1368.0,1402.9,634823,884911390.3,0.873906551595198,1226.0035012329033
2010-04-08,MARUTI,INE585B01010,,1247.7,1412.0,1247.7,1384.1,410233,572553790.35,0.873906551595198,1209.5740580629135
