date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,TATAMOTORS,INE155A01014,,789.9,829.0,789.3,826.45,5522060,4504043975.3,0.18246098610134923,150.79488196346009
2010-01-05,TATAMOTORS,INE155A01014,,820.0,844.7,774.45,812.05,4683627,3856628583.2,0.18246098610134923,148.16744376360063
2010-01-06,TATAMOTORS,INE155A01014,,819.7,823.4,805.1,813.3,2966347,2416823372.3,0.18246098610134923,148.3955199962273
2010-01-07,TATAMOTORS,INE155A01014,,814.5,818.3,780.0,785.5,4496180,3551081037.65,0.18246098610134923,143.32310458260983
2010-01-08,TATAMOTORS,INE155A01014,,790.0,804.8,785.05,789.8,3264144,2594286241.45,0.18246098610134923,144.1076868228456
2010-01-11,TATAMOTORS,INE155A01014,,799.0,799.0,782.25,790.15,2330275,1841016694.4,0.18246098610134923,144.1715481679811
2010-01-12,TATAMOTORS,INE155A01014,,788.0,797.0,781.05,786.3,2108807,1663643866.05,0.18246098610134923,143.46907337149088
2010-01-13,TATAMOTORS,INE155A01014,,785.0,794.4,772.1,784.95,3494394,2735803596.8,0.18246098610134923,143.22275104025408
2010-01-14,TATAMOTORS,INE155A01014,,786.0,792.3,779.55,782.15,1706935,1339941413.65,0.18246098610134923,142.71186027917028
2010-01-15,TATAMOTORS,INE155A01014,,783.0,803.5,775.0,797.2,3750935,2972466583.6,0.18246098610134923,145.4578981199956
2010-01-18,TATAMOTORS,INE155A01014,,793.65,813.7,785.25,810.85,3711513,2983541818.3,0.18246098610134923,147.948490580279
2010-01-19,TATAMOTORS,INE155A01014,,813.0,818.8,802.05,806.7,2287394,1855307041.85,0.18246098610134923,147.19127748795842
2010-01-20,TATAMOTORS,INE155A01014,,810.0,812.4,799.05,804.95,2015455,1622787106.25,0.18246098610134923,146.87197076228108
2010-01-21,TATAMOTORS,INE155A01014,,799.7,803.65,780.3,782.75,1838675,1453899473.15,0.18246098610134923,142.82133687083112
