date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,TATASTEEL,INE081A01012,,622.0,636.5,616.9,633.75,5569757,3501787576.85,0.06542587079405904,41.46364561573492
2010-01-05,TATASTEEL,INE081A01012,,638.55,654.8,638.55,649.1,7801935,5060915931.75,0.06542587079405904,42.467932732423726
2010-01-06,TATASTEEL,INE081A01012,,660.0,660.0,637.0,642.05,7350435,4743348971.15,0.06542587079405904,42.006680343325606
2010-01-07,TATASTEEL,INE081A01012,,644.9,652.8,640.1,649.8,7635704,4936949381.15,0.06542587079405904,42.51373084197956
2010-01-08,TATASTEEL,INE081A01012,,651.0,661.5,640.9,648.45,8199586,5335209123.35,0.06542587079405904,42.425405916407584
2010-01-11,TATASTEEL,INE081A01012,,650.0,655.9,645.2,648.5,6640749,4323267657.1,0.06542587079405904,42.42867720994729
2010-01-12,TATASTEEL,INE081A01012,,641.5,648.75,623.85,625.55,6832387,4337976765.35,0.06542587079405904,40.927153475223626
2010-01-13,TATASTEEL,INE081A01012,,615.0,641.8,615.0,639.25,10315049,6516620937.45,0.06542587079405904,41.82348790510224
2010-01-14,TATASTEEL,INE081A01012,,644.75,651.2,641.55,647.7,6642444,4291637325.7,0.06542587079405904,42.37633651331204
2010-01-15,TATASTEEL,INE081A01012,,650.0,650.95,640.0,645.15,4292540,2766776693.55,0.06542587079405904,42.20950054278719
2010-01-18,TATASTEEL,INE081A01012,,642.0,642.0,630.75,637.5,5948930,3782507345.6,0.06542587079405904,41.70899263121264
2010-01-19,TATASTEEL,INE081A01012,,636.0,645.6,632.0,637.65,5015647,3207006885.35,0.06542587079405904,41.718806511831744
2010-01-20,TATASTEEL,INE081A01012,,638.0,657.4,638.0,653.7,7929039,5145104382.25,0.06542587079405904,42.7688917380764
2010-01-21,TATASTEEL,INE081A01012,,649.5,659.5,642.25,648.0,10916900,7108483682.7,0.06542587079405904,42.39596427455026
2010-01-22,TATASTEEL,INE081A01012,,641.1,641.1,617.0,624.55,8780340,5496902317.25,0.06542587079405904,40.86172760442957
2010-01-25,TATASTEEL,INE081A01012,,620.0,625.7,606.9,609.9,5328645,3270058827.2,0.06542587079405904,39.90323859729661
2010-01-27,TATASTEEL,INE081A01012,,599.9,605.7,553.25,559.65,10905233,6303503713.75,0.06542587079405904,36.61558858989514
2010-01-28,TATASTEEL,INE081A01012,,566.0,589.4,565.0,585.4,12582874,7251186530.45,0.06542587079405904,38.30030476284216
