date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,TCS,INE467B01029,,754.8,758.9,749.05,751.65,981841,739655531.35,0.348334414053964,261.82556232366204
2010-01-05,TCS,INE467B01029,,755.0,759.55,746.55,751.85,1007244,756969381.7,0.348334414053964,261.89522920647283
2010-01-06,TCS,INE467B01029,,751.85,752.2,733.0,734.85,1674588,1236423767.8,0.348334414053964,255.97354416755545
2010-01-07,TCS,INE467B01029,,735.5,739.4,711.0,714.4,3237446,2323274542.95,0.348334414053964,248.85010540015185
2010-01-08,TCS,INE467B01029,,716.0,718.5,696.5,699.8,3024089,2131007862.2,0.348334414053964,243.76442295496398
2010-01-11,TCS,INE467B01029,,704.0,720.1,700.4,714.2,2159204,1532223874.75,0.348334414053964,248.78043851734108
2010-01-12,TCS,INE467B01029,,732.0,754.0,727.0,750.05,4513845,3358845930.2,0.348334414053964,261.2682272611757
2010-01-13,TCS,INE467B01029,,745.0,796.4,744.65,788.55,5455136,4226821098.7,0.348334414053964,274.67910220225326
2010-01-14,TCS,INE467B01029,,798.45,798.45,769.35,779.85,5163807,4030540161.95,0.348334414053964,271.6485927999838
2010-01-15,TCS,INE467B01029,,796.0,799.6,772.25,791.4,3972504,3141278026.25,0.348334414053964,275.6718552823071
2010-01-18,TCS,INE467B01029,,800.0,829.0,793.0,802.2,3630542,2913486456.9,0.348334414053964,279.4338669540899
2010-01-19,TCS,INE467B01029,,802.2,802.2,778.65,780.7,2577425,2027855856.95,0.348334414053964,271.9446770519297
2010-01-20,TCS,INE467B01029,,792.2,792.2,770.9,779.4,2173527,1689569382.35,0.348334414053964,271.4918423136595
2010-01-21,TCS,INE467B01029,,772.25,791.95,767.9,770.65,2544752,1987082650.6,0.348334414053964,268.44391619068733
2010-01-22,TCS,INE467B01029,,761.0,765.0,744.7,757.85,3787495,2862010289.4,0.348334414053964,263.9852356907966
2010-01-25,TCS,INE467B01029,,757.5,765.5,741.15,756.2,1504143,1132560772.55,0.348334414053964,263.41048390760756
2010-01-27,TCS,INE467B01029,,750.0,759.7,740.15,743.3,2422199,1813292938.65,0.348334414053964,258.9169699663114
2010-01-28,TCS,INE467B01029,,749.5,757.95,727.7,741.75,3268598,2427651257.15,0.348334414053964,258.3770516245278
2010-01-29,TCS,INE467B01029,,734.0,739.8,712.15,736.2,2736663,1983095245.15,0.348334414053964,256.4437956265283
2010-02-01,TCS,INE467B01029,,734.35,762.8,720.0,746.15,1689006,1241345965.1,0.348334414053964,259.90972304636523
2010-02-02,TCS,INE467B01029,,755.0,762.65,735.0,738.4,2369594,1783313585.55,0.348334414053964,257.210131337447
