date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,TITAN,INE280A01010,,1425.0,1449.0,1407.2,1421.5,24544,34865853.4,0.09197562559359962,130.74335178130187
2010-01-05,TITAN,INE280A01010,,1449.0,1462.0,1424.0,1450.65,64133,92939778.1,0.09197562559359962,133.4244412673553
2010-01-06,TITAN,INE280A01010,,1471.0,1488.0,1465.0,1474.0,65925,97270988.8,0.09197562559359962,135.57207212496584
2010-01-07,TITAN,INE280A01010,,1465.0,1533.0,1465.0,1510.65,160917,242846655.45,0.09197562559359962,138.94297880297128
2010-01-08,TITAN,INE280A01010,,1525.0,1525.0,1456.55,1496.7,23912,35817266.0,0.09197562559359962,137.65991882594057
2010-01-11,TITAN,INE280A01010,,1520.0,1520.0,1478.9,1484.6,20314,30390458.75,0.09197562559359962,136.547013756258
2010-01-12,TITAN,INE280A01010,,1504.9,1504.9,1474.0,1480.8,19693,29361929.25,0.09197562559359962,136.1975063790023
2010-01-13,TITAN,INE280A01010,,1480.0,1491.0,1460.0,1469.3,26264,38649778.3,0.09197562559359962,135.13978668467593
2010-01-14,TITAN,INE280A01010,,1484.5,1524.9,1477.0,1517.3,56431,85155553.2,0.09197562559359962,139.55461671316868
2010-01-15,TITAN,INE280A01010,,1520.0,1529.9,1496.6,1515.65,32970,49997288.4,0.09197562559359962,139.40285693093927
2010-01-18,TITAN,INE280A01010,,1529.0,1529.0,1486.0,1505.8,11959,18049406.45,0.09197562559359962,138.4968970188423
2010-01-19,TITAN,INE280A01010,,1476.6,1568.0,1411.0,1534.15,112559,174534339.15,0.09197562559359962,141.10440600442087
2010-01-20,TITAN,INE280A01010,,1547.0,1580.0,1536.0,1555.55,127497,198124352.1,0.09197562559359962,143.07268439212388
2010-01-21,TITAN,INE280A01010,,1556.5,1559.7,1508.0,1524.1,43412,66678433.55,0.09197562559359962,140.18005096720518
2010-01-22,TITAN,INE280A01010,,1495.0,1528.9,1436.0,1520.65,27865,41627207.7,0.09197562559359962,139.86273505890728
2010-01-25,TITAN,INE280A01010,,1501.1,1513.5,1490.0,1502.65,14343,21508687.65,0.09197562559359962,138.20717379822247
2010-01-27,TITAN,INE280A01010,,1473.6,1514.0,1473.6,1498.75,38845,57765697.75,0.09197562559359962,137.84846885840744
2010-01-28,TITAN,INE280A01010,,1470.0,1539.0,1456.05,1524.65,75162,111988548.5,0.09197562559359962,140.23063756128167
2010-01-29,TITAN,INE280A01010,,1515.0,1530.0,1475.0,1500.9,22107,33050468.05,0.09197562559359962,138.0462164534337
2010-02-01,TITAN,INE280A01010,,1525.0,1727.0,1524.75,1708.5,373420,621138288.85,0.09197562559359962,157.14035632666494
2010-02-02,TITAN,INE280A01010,,1715.0,1740.0,1658.0,1670.25,158146,267904520.75,0.09197562559359962,153.62228864770975
2010-02-03,TITAN,INE280A01010,,1680.0,1777.0,1678.0,1732.85,296856,518551924.85,0.09197562559359962,159.37996280986908
2010-02-04,TITAN,INE280A01010,,1748.0,1775.0,1677.1,1702.4,196283,340746819.35,0.09197562559359962,156.579305010544
2010-02-05,TITAN,INE280A01010,,1670.0,1719.0,1650.45,1682.65,124577,210147315.55,0.09197562559359962,154.76278640507041
2010-02-08,TITAN,INE280A01010,,1709.0,1739.0,1676.55,1700.35,112866,192329536.2,0.09197562559359962,156.3907549780771
2010-02-09,TITAN,INE280A01010,,1708.8,1723.7,1685.15,1701.3,82786,141142933.9,0.09197562559359962,156.47813182239102
