exchange,rebalance_date,valid_to,rank,symbol,isin,name,avg_turnover_63d
NSE,2010-05-03,2010-05-31,1,RELIANCE,,,4517670086.603174
NSE,2010-05-03,2010-05-31,2,ICICIBANK,,,3832199982.3904757
NSE,2010-05-03,2010-05-31,3,SBIN,,,3562095329.8849206
NSE,2010-05-03,2010-05-31,4,TATAMOTORS,,,3441390590.746825
NSE,2010-05-03,2010-05-31,5,TATASTEEL,,,3434066419.2174606
NSE,2010-05-03,2010-05-31,9,AXISBANK,,,2088881404.5
NSE,2010-05-03,2010-05-31,11,LT,,,1989611006.0809524
NSE,2010-05-03,2010-05-31,13,BHARTIARTL,,,1919472798.5539682
NSE,2010-05-03,2010-05-31,18,HDFCBANK,,,1529908895.3111112
NSE,2010-05-03,2010-05-31,20,TCS,,,1473665500.1603174
NSE,2010-05-03,2010-05-31,29,M&M,,,1017098706.6420636
NSE,2010-05-03,2010-05-31,32,ITC,,,967105180.423016
NSE,2010-05-03,2010-05-31,34,ONGC,,,854114290.4880953
NSE,2010-05-03,2010-05-31,37,MARUTI,,,801116620.2531747
NSE,2010-05-03,2010-05-31,39,HINDUNILVR,,,740121845.0285715
NSE,2010-05-03,2010-05-31,43,WIPRO,,,672126254.0428572
NSE,2010-05-03,2010-05-31,44,NTPC,,,661128044.25873
NSE,2010-05-03,2010-05-31,57,KOTAKBANK,,,487186289.08888894
NSE,2010-05-03,2010-05-31,65,DRREDDY,,,435405047.984127
NSE,2010-05-03,2010-05-31,75,CIPLA,,,374652870.67619044
NSE,2010-05-03,2010-05-31,78,HCLTECH,,,368359562.5857142
NSE,2010-05-03,2010-05-31,85,SUNPHARMA,,,344392790.8388889
NSE,2010-05-03,2010-05-31,131,TITAN,,,187188166.81904763
NSE,2010-05-03,2010-05-31,137,ULTRACEMCO,,,177219110.16825396
NSE,2010-05-03,2010-05-31,157,POWERGRID,,,157095685.3888889
NSE,2010-05-03,2010-05-31,162,ADANIENT,,,152018304.25952378
NSE,2010-05-03,2010-05-31,215,ASIANPAINT,,,96617256.42698412
NSE,2010-05-03,2010-05-31,326,NESTLEIND,,,47026264.0
NSE,2010-06-01,2010-06-30,1,RELIANCE,,,4929097846.822222
NSE,2010-06-01,2010-06-30,2,TATAMOTORS,,,4034567308.292063
NSE,2010-06-01,2010-06-30,3,ICICIBANK,,,3904190388.0373015
NSE,2010-06-01,2010-06-30,4,TATASTEEL,,,3736528274.443651
NSE,2010-06-01,2010-06-30,5,SBIN,,,3550404263.674603
NSE,2010-06-01,2010-06-30,10,AXISBANK,,,2189273301.334921
NSE,2010-06-01,2010-06-30,12,LT,,,1995521586.5452383
NSE,2010-06-01,2010-06-30,13,BHARTIARTL,,,1771583885.279365
NSE,2010-06-01,2010-06-30,18,TCS,,,1462042963.3460317
