symbol,rows,date_start,date_end,origins,log_mae_timesfm,log_mae_persistence,log_rmse_timesfm,log_rmse_persistence,five_day_return_mae_timesfm,five_day_return_mae_persistence,directional_accuracy_timesfm,directional_base_rate,q10_q90_width_h5_spearman_vs_abs_move
RELIANCE,4117,2010-01-04,2026-09-18,40,0.014473068714141845,0.015181717872619628,0.018804632019372342,0.019277996300557463,0.018440282344818114,0.020059704780578613,0.65,0.375,-0.2628517823639775
TCS,4117,2010-01-04,2026-09-18,40,0.028949644565582276,0.025072646141052247,0.03884944241944228,0.03188997222740533,0.04180593490600586,0.03399026393890381,0.5,0.4,-0.2876172607879925
HDFCBANK,4117,2010-01-04,2026-09-18,40,0.015743134021759034,0.015138804912567139,0.02276768846248866,0.022388332217150447,0.01982424259185791,0.018872904777526855,0.375,0.275,0.2101313320825516
INFY,3744,2011-06-29,2026-09-18,40,0.030233845710754395,0.026496541500091553,0.042452247376944176,0.0359076546415416,0.04508455991744995,0.03589175939559937,0.5,0.525,-0.5945590994371482
ICICIBANK,4117,2010-01-04,2026-09-18,40,0.012823207378387451,0.012170069217681885,0.01620943697272119,0.015500385260484938,0.016875064373016356,0.015822219848632812,0.45,0.375,-0.27936210131332084
SBIN,4117,2010-01-04,2026-09-18,40,0.016943938732147217,0.016114327907562256,0.0213138846148329,0.02056683039015095,0.02418009042739868,0.022886574268341064,0.45,0.3,-0.36866791744840527
ITC,4117,2010-01-04,2026-09-18,40,0.014276187419891357,0.013595166206359864,0.018357177360499202,0.01782341909702261,0.018614208698272704,0.01828892230987549,0.625,0.4,-0.26060037523452156
BHARTIARTL,4117,2010-01-04,2026-09-18,40,0.015273466110229492,0.014565217494964599,0.019483907633518288,0.018750671987854635,0.018955707550048828,0.017725515365600585,0.45,0.375,-0.21069418386491556
LT,4117,2010-01-04,2026-09-18,40,0.01095933437347412,0.012163705825805664,0.013577708952078217,0.016040759057068008,0.013212037086486817,0.01645345687866211,0.75,0.5,-0.0031894934333958724
AXISBANK,4117,2010-01-04,2026-09-18,40,0.017265498638153076,0.015384480953216553,0.02309175153980303,0.020994647848638102,0.022032392024993897,0.019068598747253418,0.55,0.5,-0.10037523452157598
KOTAKBANK,4117,2010-01-04,2026-09-18,40,0.013702900409698486,0.014188640117645264,0.019859163393534704,0.019563295487969572,0.0187103271484375,0.019591367244720458,0.55,0.6,-0.36397748592870544
HINDUNILVR,4117,2010-01-04,2026-09-18,40,0.014217414855957032,0.013368496894836426,0.018417776086644373,0.018339741815062455,0.01833837032318115,0.016290819644927977,0.3,0.15,-0.013320825515947467
MARUTI,4117,2010-01-04,2026-09-18,40,0.017199015617370604,0.0157918119430542,0.02311271587995409,0.02108677148610202,0.025841021537780763,0.024003815650939942,0.525,0.225,-0.15947467166979362
SUNPHARMA,4117,2010-01-04,2026-09-18,40,0.012876691818237305,0.012791728973388672,0.016494337676444412,0.016478619963717675,0.017171144485473633,0.01704651117324829,0.55,0.425,0.006378986866791745
