symbol,rows,date_start,date_end,folds,origins_per_fold,total_origins,mean_log_mae_diff_timesfm_minus_persistence,mean_log_rmse_diff_timesfm_minus_persistence,mean_five_day_return_mae_diff_timesfm_minus_persistence,mean_directional_excess,mean_interval_rho,folds_with_mae_improvement,folds_with_rmse_improvement
RELIANCE,4117,2010-01-04,2026-09-18,4,40,160,0.0005084228515625003,0.001063017552530133,0.0012309730052947995,0.018750000000000003,0.010928705440900563,1,0
TCS,4117,2010-01-04,2026-09-18,4,40,160,0.000908606052398681,0.0010275033800877633,0.0009076982736587512,-0.13125,0.034099437148217636,1,0
HDFCBANK,4117,2010-01-04,2026-09-18,4,40,160,0.0008987474441528322,0.0008118408382813093,0.001294133067131044,0.0062500000000000056,0.15436210131332082,0,2
INFY,3744,2011-06-29,2026-09-18,4,40,160,0.001139394640922547,0.001332700302764664,0.0014848202466964727,-0.12499999999999999,0.06627579737335834,1,1
ICICIBANK,4117,2010-01-04,2026-09-18,4,40,160,0.00039907395839691197,0.001021172856008605,0.0007036387920379633,-0.031249999999999986,0.13799249530956847,1,1
SBIN,4117,2010-01-04,2026-09-18,4,40,160,0.001575133800506591,0.00032574591950299773,0.002889108657836914,-0.11249999999999996,0.021622889305816136,0,2
ITC,4117,2010-01-04,2026-09-18,4,40,160,0.001258279681205749,0.0019050309937419874,0.0013800084590911872,-0.07499999999999998,0.15797373358348968,0,0
BHARTIARTL,4117,2010-01-04,2026-09-18,4,40,160,0.0013011676073074333,0.0012664109797408092,0.0014723896980285648,0.012499999999999983,-0.01683864915572232,0,0
LT,4117,2010-01-04,2026-09-18,4,40,160,0.002188408970832825,0.0026395252331282435,0.004354751110076904,-0.08750000000000001,0.2128517823639775,0,0
AXISBANK,4117,2010-01-04,2026-09-18,4,40,160,0.0009096628427505489,0.0009547710010176617,0.001631617546081542,0.018749999999999975,0.08874296435272044,1,1
KOTAKBANK,4117,2010-01-04,2026-09-18,4,40,160,0.0012696748971939087,0.001808404605459093,0.0026991024613380443,-0.018749999999999975,0.030487804878048773,1,1
HINDUNILVR,4117,2010-01-04,2026-09-18,4,40,160,0.001267277598381042,0.0012641752780602668,0.0014060854911804206,0.04375,0.15863039399624768,0,0
MARUTI,4117,2010-01-04,2026-09-18,4,40,160,0.001874719858169555,0.0025182637283168085,0.00330517590045929,-0.03749999999999998,0.017213883677298307,0,0
SUNPHARMA,4117,2010-01-04,2026-09-18,4,40,160,0.001050267219543456,0.0008872869614724131,0.0017540395259857174,0.012499999999999997,0.050750469043151954,0,1
BAJFINANCE,3932,2010-09-29,2026-09-18,4,40,160,0.0027418690919876094,0.004339250368932259,0.004626704752445221,-0.03749999999999999,0.06777673545966229,0,0
ASIANPAINT,4117,2010-01-04,2026-09-18,4,40,160,0.0013757133483886719,0.0010292135125347483,0.0023151874542236316,-0.03749999999999999,0.23287992495309567,0,1
TITAN,4117,2010-01-04,2026-09-18,4,40,160,0.0012439072132110597,0.0020599495399784788,0.0023100584745407125,-0.06249999999999996,0.07879924953095685,0,0
HCLTECH,4117,2010-01-04,2026-09-18,4,40,160,0.0012604695558547973,0.0016967235955992086,0.0026100993156433095,-0.15000000000000002,0.01524390243902439,1,0
WIPRO,4117,2010-01-04,2026-09-18,4,40,160,0.0010838860273361195,0.0019242048975325072,0.0019408836960792533,-0.11874999999999997,0.09460600375234521,0,0
ULTRACEMCO,4117,2010-01-04,2026-09-18,4,40,160,0.001548241972923279,0.0017953521347211336,0.0024295240640640255,-0.025000000000000036,0.14713883677298312,0,0
NESTLEIND,4113,2010-01-08,2026-09-18,4,40,160,0.0009000986814498902,0.0012799983268393586,0.002048096060752868,-0.01874999999999999,0.13184803001876172,0,0
M&M,4117,2010-01-04,2026-09-18,4,40,160,0.0007158917188644391,0.0010063680312323775,0.0011192411184310913,0.0000000000000000278,0.16622889305816133,1,1
NTPC,4117,2010-01-04,2026-09-18,4,40,160,0.0006469398736953721,0.0006548490139105185,0.0019061148166656496,0.0,0.08789868667917447,1,0
ONGC,4117,2010-01-04,2026-09-18,4,40,160,0.0006601324677467353,0.0009294150907719909,0.0005668133497238178,0.006250000000000019,0.15276735459662288,2,1
POWERGRID,4117,2010-01-04,2026-09-18,4,40,160,0.0008518692851066591,0.0011014241433077452,0.000886960327625275,0.03750000000000003,0.04704502814258911,0,0
TATAMOTORS,3898,2010-01-04,2025-10-23,4,40,160,0.0008841437101364154,0.002287805631406535,0.0017211467027664178,0.006249999999999992,0.030769230769230767,1,0
TATASTEEL,4117,2010-01-04,2026-09-18,4,40,160,0.00025396853685379084,0.0006208182544591035,-0.0005147919058799758,0.056249999999999994,0.03067542213883677,2,1
ADANIENT,4117,2010-01-04,2026-09-18,4,40,160,0.0024067801237106336,0.0022836856062605874,0.0034952998161315914,-0.03125000000000003,0.07284240150093808,1,1
CIPLA,4117,2010-01-04,2026-09-18,4,40,160,0.0009924179315567022,0.0019240067556580065,0.0020246356725692758,0.04375000000000001,0.17138836772983115,0,0
DRREDDY,4117,2010-01-04,2026-09-18,4,40,160,0.00021247923374175925,0.0003542526666929875,0.0005355328321456918,-0.031250000000000014,0.08475609756097563,1,1
